sign,side,neighbour,weighted_count,enrichment
001,prev,002,18.0,1.54
001,prev,005,14.0,2.57
001,prev,280,13.0,3.83
001,prev,001,12.0,0.79
001,prev,700,11.0,1.57
001,prev,600,9.0,1.05
001,next,001,17.0,1.12
001,next,009,14.0,6.46
001,next,000,14.0,1.36
001,next,380,12.0,3.03
001,next,005,11.0,2.02
001,next,002,10.0,0.85
002,prev,002,28.0,2.38
002,prev,004,23.0,2.27
002,prev,000,11.0,1.07
002,prev,001,10.0,0.65
002,prev,005,8.0,1.46
002,prev,200,7.0,0.92
002,next,001,27.0,1.77
002,next,002,26.0,2.21
002,next,200,9.0,1.18
002,next,005,8.0,1.46
002,next,022,8.0,1.06
002,next,004,8.0,0.79
004,prev,080,14.0,46.96
004,prev,004,10.0,1.80
004,prev,081,10.0,11.38
004,prev,002,8.0,1.24
004,prev,600,7.0,1.48
004,prev,760,5.0,8.85
004,next,002,17.0,2.64
004,next,600,11.0,2.33
004,next,280,8.0,4.28
004,next,004,8.0,1.44
004,next,760,8.0,14.16
004,next,522,7.0,5.44
020,prev,020,9.0,12.56
020,prev,700,7.0,4.76
020,prev,710,6.0,30.44
020,prev,002,3.0,1.22
020,prev,044,3.0,8.66
020,prev,739,3.0,8.51
020,next,020,9.0,12.56
020,next,080,7.0,61.67
020,next,004,5.0,2.36
020,next,700,5.0,3.40
020,next,710,5.0,25.36
020,next,001,3.0,0.94
090,prev,380,5.0,5.38
090,prev,071,5.0,9.01
090,prev,090,5.0,5.02
090,prev,000,5.0,2.08
090,prev,755,4.0,8.43
090,prev,006,3.0,2.72
090,next,090,11.0,11.04
090,next,700,6.0,3.65
090,next,999,5.0,7.71
090,next,001,4.0,1.12
090,next,430,3.0,3.25
090,next,200,2.0,1.12
003,prev,002,5.0,4.87
003,prev,001,3.0,2.25
003,prev,003,2.0,10.83
003,prev,020,2.0,6.68
003,prev,060,1.0,5.27
003,prev,381,1.0,4.66
003,next,001,5.0,3.75
003,next,730,2.0,21.65
003,next,306,2.0,11.96
003,next,005,1.0,2.10
003,next,144,1.0,10.54
003,next,600,1.0,1.33
005,prev,001,10.0,1.56
005,prev,002,9.0,1.82
005,prev,005,5.0,2.17
005,prev,004,5.0,1.17
005,prev,050,4.0,2.86
005,prev,700,4.0,1.35
005,next,001,12.0,1.87
005,next,002,8.0,1.62
005,next,005,5.0,2.17
005,next,004,4.0,0.94
005,next,254,3.0,5.09
005,next,306,3.0,3.72
009,prev,001,10.0,4.04
009,prev,008,2.0,4.45
009,prev,062,2.0,9.80
009,prev,050,2.0,3.72
009,prev,144,2.0,11.35
009,prev,002,2.0,1.05
009,next,005,4.0,4.52
009,next,004,3.0,1.83
009,next,090,3.0,4.34
009,next,607,2.0,7.84
009,next,066,2.0,6.64
009,next,000,2.0,1.20
022,prev,022,19.0,4.58
022,prev,015,12.3,25.31
022,prev,004,7.0,1.26
022,prev,200,5.0,1.19
022,prev,522,5.0,3.88
022,prev,001,5.0,0.60
022,next,022,18.0,4.34
022,next,700,9.0,2.33
022,next,025,5.0,7.57
022,next,006,5.0,1.93
022,next,004,5.0,0.90
022,next,050,5.0,2.74
600,prev,007,13.0,5.11
600,prev,200,11.0,2.20
600,prev,004,9.0,1.36
600,prev,600,9.0,1.60
600,prev,700,7.0,1.52
600,prev,002,6.0,0.78
600,next,200,11.0,2.20
600,next,600,10.0,1.77
600,next,004,9.0,1.36
600,next,001,9.0,0.90
600,next,000,8.0,1.19
600,next,090,7.0,2.51
700,prev,700,16.0,4.05
700,prev,022,10.0,2.36
700,prev,001,8.0,0.93
700,prev,027,5.3,4.31
700,prev,004,5.0,0.88
700,prev,073,5.0,3.62
700,next,700,17.0,4.30
700,next,001,13.0,1.51
700,next,600,8.0,1.65
700,next,020,6.0,3.11
700,next,280,5.0,2.61
700,next,430,5.0,2.25
200,prev,200,8.0,3.43
200,prev,000,5.0,1.59
200,prev,002,4.0,1.11
200,prev,001,3.0,0.64
200,prev,065,3.0,4.84
200,prev,047,3.0,10.73
200,next,000,13.0,4.13
200,next,600,5.0,1.90
200,next,200,4.0,1.71
200,next,004,4.0,1.29
200,next,076,4.0,5.26
200,next,002,2.0,0.56
006,prev,040,6.0,6.05
006,prev,001,5.0,1.31
006,prev,026,5.0,58.42
006,prev,430,4.0,4.06
006,prev,008,3.0,4.34
006,prev,000,3.0,1.17
006,next,000,8.0,3.12
006,next,700,5.0,2.85
006,next,430,4.0,4.06
006,next,400,4.0,7.48
006,next,006,4.0,3.40
006,next,124,4.0,50.98
040,prev,040,27.0,19.45
040,prev,001,7.0,1.31
040,prev,760,6.0,16.69
040,prev,004,3.0,0.85
040,prev,008,3.0,3.10
040,prev,600,2.0,0.67
040,next,040,25.0,18.01
040,next,300,9.0,8.42
040,next,006,6.0,3.64
040,next,004,5.0,1.41
040,next,700,5.0,2.04
040,next,390,5.0,38.52
380,prev,000,2.0,10.39
380,prev,040,1.0,13.45
380,prev,054,1.0,143.79
380,prev,022,1.0,7.08
380,next,002,1.0,4.55
380,next,290,1.0,36.65
380,next,001,1.0,3.50
380,next,054,1.0,143.79
380,next,000,1.0,5.19
380,next,008,1.0,19.27
