rare,count,series_mate,mate_count,mate_rank,of,best_overall,catalogue_shape,print_cross,print_within_mate,print_n
0,2,067,50,2,104,204,nan,nan,nan,0/33
012,5,090,133,1,104,090,0.418,nan,nan,0/17
014,7,002,361,1,104,002,0.475,0.182,0.213,1/40
016,11,002,361,1,104,002,0.389,0.180,0.213,10/40
024,11,001,432,2,104,600,0.702,0.188,0.175,2/40
026,9,001,432,1,104,001,0.399,0.178,0.175,5/40
031,9,005,160,1,104,005,0.194,0.220,0.244,5/40
032,5,001,432,1,104,001,0.531,0.157,0.175,2/40
033,11,022,219,1,104,022,0.291,0.165,0.183,5/40
035,9,090,133,1,104,090,0.419,0.202,0.165,6/17
036,7,002,361,2,104,600,0.406,0.187,0.213,2/40
037,9,020,89,1,104,020,0.531,0.155,0.174,4/40
038,4,007,114,1,104,007,0.373,0.222,0.213,1/40
039,5,004,291,2,104,200,0.150,0.142,0.175,2/40
042,3,007,114,1,104,007,0.073,0.217,0.213,2/40
043,6,004,291,1,104,004,0.016,0.174,0.175,6/40
051,11,002,361,3,104,700,0.360,0.159,0.213,1/40
052,8,001,432,2,104,600,0.678,0.149,0.175,2/40
054,11,004,291,1,104,004,0.330,0.191,0.175,9/40
056,12,001,432,1,104,001,0.371,0.190,0.175,9/40
058,3,001,432,1,104,001,0.362,nan,nan,0/215
075,4,076,82,1,104,076,0.443,nan,nan,0/6
078,8,002,361,1,104,002,0.346,0.178,0.213,10/40
082,4,027,58,1,104,027,0.556,0.187,0.175,3/32
083,3,020,89,2,104,700,0.541,0.171,0.174,3/40
085,5,007,114,1,104,007,0.438,0.236,0.213,1/40
088,7,001,432,1,104,001,0.408,0.183,0.175,7/40
089,6,001,432,1,104,001,0.444,0.181,0.175,3/40
094,4,007,114,1,104,007,0.522,0.189,0.213,2/40
096,6,002,361,1,104,002,0.558,0.182,0.213,2/40
097,7,002,361,2,104,200,0.337,0.148,0.213,2/40
098,8,001,432,1,104,001,0.255,0.141,0.175,4/40
1,4,091,57,2,104,301,nan,nan,nan,0/27
100,4,144,22,52,104,760,0.384,0.184,0.169,2/18
102,7,144,22,79,104,600,0.347,nan,nan,0/18
103,3,144,22,29,104,070,0.274,0.199,0.169,1/18
107,3,144,22,24,104,059,0.390,0.191,0.169,1/18
109,4,144,22,14,104,001,0.256,0.195,0.169,3/18
11,6,069,39,2,104,301,nan,nan,nan,0/13
110,4,144,22,76,104,053,0.547,0.186,0.169,3/18
111,2,144,22,87,104,700,0.358,0.193,0.169,2/18
114,2,144,22,25,104,081,nan,nan,nan,0/18
115,2,144,22,89,104,700,0.516,nan,nan,0/18
116,5,144,22,93,104,001,0.153,0.159,0.169,3/18
117,12,144,22,96,104,004,0.540,0.160,0.169,2/18
120,2,144,22,64,104,005,0.248,0.174,0.169,1/18
123,6,144,22,41,104,001,0.417,0.170,0.169,5/18
124,11,144,22,91,104,430,0.372,nan,nan,0/18
125,4,144,22,72,104,600,0.239,0.136,0.169,2/18
126,9,144,22,75,104,700,0.311,0.139,0.169,1/18
127,2,144,22,60,104,680,0.180,0.078,0.169,1/18
128,6,144,22,75,104,700,0.569,nan,nan,0/18
129,6,144,22,55,104,071,0.238,nan,nan,0/18
130,3,144,22,67,104,400,0.500,nan,nan,0/18
132,3,144,22,53,104,007,0.321,0.171,0.169,3/18
133,4,144,22,23,104,006,0.486,0.196,0.169,3/18
134,3,144,22,75,104,002,0.564,0.193,0.169,1/18
139,2,144,22,10,104,001,0.609,nan,nan,0/18
140,3,144,22,38,104,600,0.478,0.206,0.169,2/18
141,7,144,22,35,104,200,0.572,0.173,0.169,2/18
145,3,144,22,31,104,076,0.489,nan,nan,0/18
146,7,144,22,79,104,600,0.520,0.190,0.169,1/18
148,3,144,22,39,104,090,0.516,nan,nan,0/18
149,3,144,22,66,104,067,0.558,nan,nan,0/18
150,5,144,22,98,104,700,0.546,nan,nan,0/18
151,2,144,22,37,104,040,0.609,0.208,0.169,1/18
153,2,144,22,58,104,022,0.576,0.143,0.169,2/18
159,2,144,22,56,104,600,0.385,0.119,0.169,1/18
160,5,144,22,22,104,002,0.435,nan,nan,0/18
161,6,144,22,66,104,090,0.509,nan,nan,0/18
162,2,144,22,49,104,001,0.579,0.125,0.169,2/18
163,2,144,22,73,104,001,0.632,0.157,0.169,2/18
164,2,144,22,77,104,300,0.629,nan,nan,0/18
165,4,144,22,92,104,002,0.603,0.168,0.169,1/18
166,5,144,22,7,104,022,0.624,0.191,0.169,4/18
167,3,144,22,25,104,002,0.307,0.166,0.169,2/18
168,6,144,22,95,104,071,0.059,nan,nan,0/18
170,2,144,22,26,104,090,0.268,nan,nan,0/18
174,2,144,22,48,104,073,0.412,nan,nan,0/18
175,2,144,22,84,104,071,0.394,nan,nan,0/18
178,3,144,22,58,104,090,0.252,nan,nan,0/18
181,2,144,22,83,104,008,0.311,nan,nan,0/18
182,2,144,22,5,104,048,0.514,nan,nan,0/18
187,2,144,22,11,104,002,0.242,nan,nan,0/18
190,5,144,22,99,104,002,0.123,0.122,0.169,2/18
191,4,144,22,88,104,200,0.251,0.160,0.169,2/18
193,2,144,22,80,104,380,0.284,nan,nan,0/18
201,8,200,188,2,104,001,0.510,0.217,0.215,2/40
209,12,200,188,3,104,700,0.125,0.184,0.215,12/40
21,2,020,89,2,104,451,nan,nan,nan,0/49
211,9,200,188,7,104,048,0.367,0.212,0.215,4/40
212,3,200,188,3,104,004,0.331,0.196,0.215,1/40
214,6,200,188,9,104,001,0.261,0.204,0.215,8/40
215,11,280,94,7,104,001,0.485,0.162,0.174,6/40
216,7,280,94,4,104,002,0.320,0.157,0.174,6/40
222,8,200,188,5,104,001,0.321,0.230,0.215,3/40
224,8,200,188,7,104,600,0.299,0.228,0.215,4/40
225,4,200,188,9,104,700,0.372,nan,nan,0/109
226,9,280,94,8,104,002,0.348,0.179,0.174,6/40
230,4,200,188,9,104,011,0.678,0.208,0.215,2/40
232,5,200,188,8,104,007,0.125,0.201,0.215,4/40
235,4,200,188,2,104,002,0.420,0.182,0.215,3/40
242,3,200,188,14,104,003,0.329,nan,nan,0/109
243,2,280,94,5,104,700,0.319,0.189,0.174,1/40
245,3,200,188,13,104,001,0.378,0.220,0.215,2/40
246,5,280,94,9,104,002,0.336,0.188,0.174,4/40
25,2,027,58,1,104,027,nan,nan,nan,0/32
252,2,200,188,4,104,001,0.300,0.254,0.215,2/40
253,3,280,94,23,104,022,0.287,0.139,0.174,1/40
255,5,200,188,1,104,200,0.368,0.193,0.215,3/40
263,4,200,188,1,104,200,0.294,0.260,0.215,3/40
27,3,061,20,2,104,300,nan,nan,nan,0/6
270,3,200,188,1,104,200,0.614,0.196,0.215,2/40
275,3,280,94,13,104,600,0.541,0.178,0.174,3/40
276,4,200,188,2,104,600,0.295,0.216,0.215,2/40
279,3,290,42,12,104,034,0.539,0.166,0.187,2/15
281,2,204,27,14,104,381,0.358,0.165,0.208,3/18
282,3,200,188,2,104,002,0.361,0.214,0.215,1/40
286,4,200,188,3,104,007,0.293,nan,nan,0/109
291,12,205,55,15,104,600,0.638,0.212,0.210,4/31
292,2,208,33,4,104,600,0.458,0.211,0.150,2/8
294,4,280,94,10,104,430,0.292,0.156,0.174,2/40
295,2,205,55,21,104,090,0.668,nan,nan,0/31
296,2,290,42,2,104,065,0.308,0.117,0.187,1/15
298,7,260,25,15,104,700,0.520,0.194,0.169,1/20
299,2,280,94,1,104,280,0.463,nan,nan,0/52
302,9,300,87,13,104,007,0.426,0.161,0.199,3/40
303,3,300,87,2,104,079,0.369,0.222,0.199,2/40
304,6,380,109,16,104,600,0.229,0.193,0.229,6/40
307,3,381,60,5,104,700,0.334,0.231,0.177,1/40
308,5,381,60,7,104,600,0.412,0.146,0.177,4/40
309,5,380,109,9,104,001,0.205,0.185,0.229,3/40
311,3,386,30,10,104,700,0.465,nan,nan,0/7
315,2,300,87,11,104,001,0.423,0.197,0.199,2/40
316,8,380,109,12,104,001,0.196,0.206,0.229,5/40
321,4,300,87,21,104,006,0.354,0.124,0.199,1/40
322,3,380,109,2,104,002,0.349,0.158,0.229,1/40
324,9,300,87,2,104,004,0.336,0.197,0.199,5/40
325,6,300,87,20,104,001,0.397,0.139,0.199,1/40
340,2,380,109,4,104,007,0.336,0.192,0.229,1/40
356,5,305,25,8,104,002,0.359,0.147,0.148,2/7
366,3,380,109,4,104,600,0.282,0.218,0.229,1/40
370,4,380,109,2,104,001,0.582,0.183,0.229,1/40
371,4,380,109,11,104,001,0.433,0.262,0.229,2/40
372,2,300,87,34,104,003,0.295,0.133,0.199,1/40
