head,components_a,components_b,count
022,-,380,8
200,050,132,6
008,-,078.711,3
050,010,-,3
004,430,-,3
004,-,430,3
027,006,-,3
011,209,-,3
004,-,000,3
022,343,243,2
078,308,308.034,2
066,009.549,009,2
066,006.549,006,2
004,600,-,2
380,001.003,001,2
063,061,-,2
380,001,001.003,2
001,061,-,2
700,600,400,2
001,009.005,-,2
595,001,002,2
040,010,-,2
660,-,005,2
022,380,-,2
001,006.109,006.711,2
001,010,074,2
005,037,-,2
008,078.711,-,2
300,-,040,2
300,024,028,2
022,430,-,2
200,050,022,2
360,041,040,2
670,-,003,1
065,-,006,1
700,-,006,1
200,015,070,1
027,280,290,1
226,041,-,1
005,082,008,1
008,006,006.015,1
045,052,027,1
048,081,008,1
200,710,-,1
001,200.050,240.132,1
022,242,-,1
290,001,-,1
019,069,-,1
004,052,010,1
324,711.711,711,1
002,-,076,1
200,001,001.360.001,1
609,-,063,1
002,062,010,1
600,004,-,1
380,001.003,022,1
004,077,078,1
004,006,064,1
200,055,000,1
020,440,-,1
200,202,206,1
200,063,063.000,1
001,240.050,200.050,1
022,-,242,1
001,240.050,240.132,1
065,-,022,1
066,095,095.711,1
066,049.066,048,1
005,010,062,1
005,010,-,1
025,300.009,-,1
001,008,082,1
090,-,001,1
306,-,003,1
280,-,025,1
301,-,004,1
380,001,001.052,1
002,-,450,1
002,109,-,1
022,291,-,1
004,004.206,004,1
001,069,-,1
060,069,-,1
006,549,-,1
067,010.107,010.062,1
65,3,450,1
65,3,9,1
65,95,6,1
002,049,-,1
306,108,-,1
079,-,074,1
300,074,088,1
001,052,-,1
067,010,022,1
067,-,022,1
606,074,-,1
004,074,-,1
050,010.037,010,1
200,052,560,1
200,052,560.001,1
600,-,532.070,1
004,431,430,1
200,450,-,1
001,009,200.009,1
005,-,037,1
062,006,000,1
001,-,062,1
380,001.003,001.052,1
306,124,700,1
002,109,076,1
009,-,244,1
060,-,001.069,1
060,069,001.069,1
200,081,-,1
381,072,010,1
200,560,600.069,1
001,240.050,-,1
381,549,-,1
205,549,-,1
200,730,440,1
071,-,065.071,1
700,400,600,1
001,200.009,009,1
700,006,-,1
200,070,001,1
200,015,063,1
001,200.050,-,1
200,132,022,1
001,240.132,-,1
001,086,635,1
001,086,-,1
001,635,-,1
090,021,090,1
