line,tablet,start,head,repeats,fillers,distinct_fillers,simple_fillers,kind,text
Qv01,Q,19,710,8,739 020 020 001 090 020 710.062,5,5,affix-like,710f-739c-710f-020Va-710f-020y-710f-001-710f-090fj-710f-020ay-710-710.062-710f
Aa01,A,13,22,6,551.61 552 551 301.82 8.451,5,1,list-like,22b-551.61c-22by-552-22by-551-22by-301.82-22by-8a.451V-22b
Gr02,G,1,073.006,6,670 206 200 222 451,5,0,list-like,073.006-670-073.006-206s-073.006-200-073.006-222-073V.006-451-073.006
Br06,B,13,063,5,004.064 043.050 004 061.022.061,4,4,affix-like,063-004.064-063-043:050-063-004-063-061.022.061-063
Er06,E,19,450,5,730 730 407 608,3,0,list-like,450-730-450-730-450-407-450-608-450
Ev07,E,2,035,5,070 400 071.065.071 010.067,4,3,affix-like,035-070-035-400-035-071.065.071-035-010.067-035
Ev07,E,17,092,5,001 009 005 005,3,4,affix-like,092-001-092-009-092-005-092-005-092
Hr10,H,40,700,5,020 001 090 020,3,4,affix-like,700f-020y-700f-001-700f-090fj-700f-020gy-700
Kr02,K,13,073.006,5,206 200 222 451,4,0,list-like,073.006-206s-073.006-200-073.006-222-073V.006-451-073.006
Kr05,K,0,380.001.003,5,005.006.010 315 090.001 316,4,2,list-like,380.001.003-005.006.010-380.001.003-315-380.001.003-090.001-380.001.003-316s-380.001.003
La01,L,35,051,5,020.010 011 011 048,3,4,affix-like,051-020.010-051-011-051-011-051-048-051
Br03,B,32,745,4,569 001 016,3,2,affix-like,745-569-745-001-745-016-745
Bv07,B,24,320.048,4,017 017 019,2,3,affix-like,320.048-017-320.048-017-320.048-019-320.048
Ma02,M,3,006,4,691 022 022,2,2,affix-like,006-691-006-022?-006-022?-006
Na01,N,3,004.064,4,034.006 034.009 034.006,2,3,affix-like,004.064-034.006-004.064-034.009-004.064-034.006-004.064
Rb03,R,7,680,4,254 002 002,2,2,affix-like,680-254-680-002-680-002-680
Aa05,A,31,058,3,001 001,1,2,affix-like,058-001-058-001-058
Aa06,A,36,097,3,069 069,1,2,affix-like,097a-069a-097-069-097
Aa08,A,59,774,3,093 020,2,2,affix-like,774-093f-774-020f-774b
Ab02,A,26,600,3,666 060.003,2,1,list-like,600f-666-600af-060a.003a-600
Ab06,A,43,001.450,3,605 096,2,1,list-like,001.450-605-001.450-096-001.450
Br01,B,37,430,3,053 017,2,2,affix-like,430-053-430-017-430
Br03,B,26,384,3,004 061.022.061,2,2,affix-like,384-004-384-061.022.061-384
Br06,B,32,063,3,020.006 618,2,1,list-like,063-020.006-063-618-063
Ca04,C,14,005,3,048.001 010.001,2,2,affix-like,005-048f.001-005-010f.001-005
Ca14,C,16,290,3,001 020,2,2,affix-like,290-001-290-020-290
Cb04,C,12,660.005,3,064 064,1,2,affix-like,660.005-064h-660.005-064h-660.005
Cb09,C,14,060,3,002 002,1,2,affix-like,060-002-060-002-060
Er02,E,13,203,3,001 016,2,2,affix-like,203s-001-203-016-203
Er02,E,27,203,3,004.062 063,2,2,affix-like,203-004?.062?-203-063x-203
Er05,E,5,005,3,204 205,2,0,list-like,005-204s-005-205s-005
Er07,E,15,670,3,002 002,1,2,affix-like,670-002-670-002-670
Ev07,E,30,092,3,022 090,2,2,affix-like,092-022-092-090f-092
Ev08,E,36,019,3,057 107,2,1,list-like,019-057-019-107-019
Gr04,G,3,380.001.003,3,005.006.010 315,2,1,list-like,380.001.003-005.006.010-380.001.003-315-380.001.003
Gr06,G,15,380.001.003,3,256.003 633,2,0,list-like,380.001.003-256.003-380.001.003-633-380.001.003
Gv05,G,16,700,3,001.006 430,2,1,list-like,700-001.006-700-430-700
Hr02,H,6,066,3,004 006.004,2,2,affix-like,066y-004-066b-006.004-066
Hr03,H,18,062.006,3,001 001,1,2,affix-like,062y.006-001-062y.006-001-062y.006
Hv04,H,30,755,3,381 381,1,0,list-like,755a-381fy-755a-381ay-755a
Hv05,H,28,046,3,004 004.052,2,2,affix-like,046-004-046-004.052-046
Hv08,H,34,006,3,683 027,2,1,list-like,006-683-006-027-006
Hv09,H,59,084,3,200.571 730.069,2,0,list-like,084a-200.571-084a-730.069h-084a
Hv10,H,32,022,3,045 002,2,2,affix-like,022-045a-022-002a-022
Hv11,H,10,007,3,360.001 600,2,0,list-like,007-360.001d-007-600-007
Kv03,K,5,380.001.003,3,003.246.003 400,2,1,list-like,380.001.003-003.246.003-380.001.003-400V-380.001.003
Na03,N,4,280,3,001 001,1,2,affix-like,280?-001-280?-001?-280?
Nb01,N,1,125,3,600 600,1,0,list-like,125-600-125-600-125
Pr03,P,11,062.006,3,001 001,1,2,affix-like,062y.006-001-062y.006-001t-062y.006
Pv07,P,11,045,3,004 004.052,2,2,affix-like,045-004-045-004.052-045
Pv07,P,58,078,3,386.078 386.078,1,0,list-like,078y-386.078-078y-386V.078-078
Pv08,P,15,053,3,381 381,1,0,list-like,053ay-381b-053a-381c-053y
Pv08,P,41,280,3,606.711 606.711,1,0,list-like,280e-606a.711-280-606a.711-280
Qr03,Q,5,062.006,3,001 001,1,2,affix-like,062.006-001-062.006-001-062.006
Qr06,Q,10,385,3,090 025,2,2,affix-like,385-090f-385-025-385!
Qv08,Q,12,045,3,004 001.052,2,2,affix-like,045-004-045-001.052-045
Sa04,S,2,046,3,522 022,2,1,list-like,046-522f-046-022f-046
Sa05,S,9,068,3,607 607,1,0,list-like,068-607-068-607-068
Sa08,S,1,028,3,670 006,2,1,list-like,028?-670?-028?-006-028?
Sb05,S,42,070,3,000 060,2,2,affix-like,070t-000!-070t-060?-070
Sb08,S,8,091,3,316 050,2,1,list-like,091t?-316-091-050V-091
