index,line,pos,unit,class,run,marker_group
0,Ca06,0,005,other,,
1,Ca06,1,005,other,,
2,Ca06,2,001.006,other,,
3,Ca06,3,005f,other,,
4,Ca06,4,002V?,other,,
5,Ca06,5,002V?,other,,
6,Ca06,6,002V?,other,,
7,Ca06,7,001.006,other,,
8,Ca06,8,381f,other,,
9,Ca06,9,381f,other,,
10,Ca06,10,381f,other,,
11,Ca06,11,001.006,other,,
12,Ca06,12,774.067.774?,other,,
13,Ca06,13,070,other,,
14,Ca06,14,600V,other,,
15,Ca06,15,773,other,,
16,Ca06,16,280,other,,
17,Ca06,17,001.006,other,,
18,Ca06,18,390.041,marker,,1
19,Ca06,19,315y,marker,,
20,Ca06,20,041,marker,,
21,Ca06,21,670,marker,,
22,Ca06,22,008.078.711,marker,,
23,Ca06,23,040.010,crescent,1,
24,Ca06,24,040,crescent,1,
25,Ca06,25,030a,other,1,
26,Ca06,26,390.041,marker,,2
27,Ca06,27,375,marker,,
28,Ca06,28,041,marker,,
29,Ca07,0,040,crescent,2,
30,Ca07,1,040,crescent,2,
31,Ca07,2,040,crescent,2,
32,Ca07,3,040,crescent,2,
33,Ca07,4,040,crescent,2,
34,Ca07,5,040,crescent,2,
35,Ca07,6,390.041,marker,,3
36,Ca07,7,378,marker,,
37,Ca07,8,041,marker,,
38,Ca07,9,670,marker,,
39,Ca07,10,008.078.711,marker,,
40,Ca07,11,040,crescent,3,
41,Ca07,12,074f.040,crescent,3,
42,Ca07,13,059f,other,3,
43,Ca07,14,040,crescent,3,
44,Ca07,15,390.041,marker,,4
45,Ca07,16,378y,marker,,
46,Ca07,17,041h,marker,,
47,Ca07,18,670,marker,,
48,Ca07,19,008.078.711,marker,,
49,Ca07,20,044.040,crescent,4,
50,Ca07,21,040,crescent,4,
51,Ca07,22,143,other,4,
52,Ca07,23,152,other,4,
53,Ca07,24,600.390.041,marker,,5
54,Ca07,25,378y,marker,,
55,Ca07,26,041,marker,,
56,Ca07,27,670y,marker,,
57,Ca07,28,008,marker,,
58,Ca07,29,078.711,marker,,
59,Ca07,30,040,crescent,5,
60,Ca07,31,040,crescent,5,
61,Ca08,0,040,crescent,5,
62,Ca08,1,040,crescent,5,
63,Ca08,2,040,crescent,5,
64,Ca08,3,390.041,marker,,6
65,Ca08,4,378y,marker,,
66,Ca08,5,041h,marker,,
67,Ca08,6,670,marker,,
68,Ca08,7,008.078.711,marker,,
69,Ca08,8,040,crescent,6,
70,Ca08,9,040,crescent,6,
71,Ca08,10,003.040,crescent,6,
72,Ca08,11,390.041,marker,,7
73,Ca08,12,378y,marker,,
74,Ca08,13,041,marker,,
75,Ca08,14,670,marker,,
76,Ca08,15,008.078.711,marker,,
77,Ca08,16,600,other,7,
78,Ca08,17,040,crescent,7,
79,Ca08,18,040,crescent,7,
80,Ca08,19,040,crescent,7,
81,Ca08,20,040,crescent,7,
82,Ca08,21,040,crescent,7,
83,Ca08,22,390.041,marker,,8
84,Ca08,23,378y,marker,,
85,Ca08,24,041,marker,,
86,Ca08,25,670,marker,,
87,Ca08,26,008.078.711,marker,,
88,Ca08,27,280,other,,
89,Ca08,28,385y,other,,
90,Ca08,29,385,other,,
91,Ca09,0,040,crescent,,
92,Ca09,1,040,crescent,,
93,Ca09,2,520,other,,
94,Ca09,3,070,other,,
95,Ca09,4,670,other,,
96,Ca09,5,670,other,,
97,Ca09,6,637,other,,
98,Ca09,7,034V,other,,
99,Ca09,8,017,other,,
100,Ca09,9,325y,other,,
101,Ca09,10,041,other,,
102,Ca09,11,630,other,,
103,Ca09,12,054,other,,
104,Ca09,13,630,other,,
105,Ca09,14,047,other,,
106,Ca09,15,006.011,other,,
107,Ca09,16,299,other,,
108,Ca09,17,002,other,,
109,Ca09,18,002,other,,
110,Ca09,19,200,other,,
111,Ca09,20,215.002,other,,
112,Ca09,21,010.002,other,,
113,Ca09,22,005,other,,
114,Ca09,23,002,other,,
115,Ca09,24,069,other,,
116,Ca09,25,002,other,,
117,Ca09,26,200.200.205,other,,
