n,A,B,C,content_words
1,atua matariri,taporo,poporo,4
2,ahimahima marao,takihi tupufema kapu kihiaoevai ai kiroto kava kohe koe,koe,12
3,matua anua,kappipiri haitau,miro,5
4,augingieai,humutoti,maluta,3
5,hiti,heta,ti,3
6,atura,katei,monku uta,4
7,ahan,vava,tureme,3
8,ahekai,hepeue,mataa,3
9,viri koue,ariugarehe uruharero,runa,5
10,atua metua,kariritunarai,niu,4
11,atua metua,kite vuhi atua,toromiro,6
12,atua metna,tapuhavaoatua,moana,4
13,heuru,hetomu,marikuru,3
14,taveke,pouhutuhututerevaimangaro,veke,3
15,hahamea,hohio,takure,3
16,aukia,moremanga,ngarava,3
17,avia moko,viatea,kena,4
18,tereheue,viaraupa,kaupa,3
19,heroe,unhipura,ro,3
20,tahatoi,kateapiairiroro,to,3
21,trapupue,irakaka,pia,3
22,mangeongeo,herakiraki,kape,3
23,hen,pana,hue,3
24,heima,kairui kairui hakamarni,raa,5
25,huruan,hiuaoio,moa,3
26,hikua,hiuaoioi,uruara,3
27,tingahae,parararabikutea,niuki,3
28,hikue,hiuaoioi,tabraha,3
29,tikitehatu,hibohihokiteturn,paroko,3
30,tikitehatu,hiuapopoia,hiuakuhara,3
31,tikitehatu,maea,heraherakitomea,3
32,tikitehatu,ruruatikitehatu,teririkatea,3
33,haugai it takoua,tukouo,poopoo,5
34,uku,karori,ngaatu,3
35,kuhikia,taurari,ngaatu,3
36,kuhikia,ruperoa,turi,3
37,taaria,taaria,taueehu,3
38,haiuge,hatukuti,evea,3
39,pauaroroko,hakukuti,taerongoveteve,3
40,hiuitirerire,kanohotatataporo,roporo,3
