a,b,count,sides,expected,freq_a,freq_b,G2,PMI,collocation,kind
040,040,29,7,1.75,123,123,121.77,4.05,True,sign + sign
330,330,7,1,0.02,13,13,77.79,8.49,True,sign + sign
65,65,6,1,0.01,9,9,76.37,9.32,True,sign + sign
080,004,14,3,0.64,19,291,74.07,4.45,True,sign + stroke
098,007,8,2,0.11,8,114,69.84,6.25,True,sign + sign
378,041,6,1,0.02,6,34,67.59,7.99,True,sign + sign
390,378,5,1,0.01,12,6,62.85,9.23,True,sign + sign
166,068,5,2,0.01,5,22,60.98,8.62,True,sign + sign
048,048,11,5,0.57,70,70,47.72,4.28,True,sign + sign
090,090,17,3,2.04,133,133,45.69,3.06,True,stroke chain
124,098,4,1,0.01,11,8,43.93,8.62,True,sign + sign
440,440,5,2,0.04,18,18,42.06,7.06,True,sign + sign
020,080,7,2,0.20,89,19,39.86,5.16,True,stroke + sign
015,022,8,1,0.38,15,219,38.73,4.40,True,sign + stroke
700,700,24,11,5.34,215,215,38.27,2.17,True,sign + sign
079,079,6,5,0.12,32,32,37.67,5.66,True,sign + sign
067,067,7,6,0.29,50,50,33.11,4.60,True,sign + sign
300,300,10,3,0.87,87,87,32.49,3.52,True,sign + sign
066,760,6,1,0.19,47,35,31.59,4.98,True,sign + sign
041,670,7,1,0.34,34,87,30.90,4.36,True,sign + sign
002,002,39,11,15.06,361,361,29.80,1.37,True,stroke chain
081,004,10,1,1.14,34,291,28.58,3.13,True,sign + stroke
385,003,6,1,0.25,33,66,28.15,4.58,True,sign + stroke
064,660,4,1,0.06,18,27,27.79,6.15,True,sign + sign
605,605,5,4,0.14,35,35,27.35,5.14,True,sign + sign
001,009,15,4,3.05,432,61,26.93,2.30,True,stroke chain
040,390,5,2,0.17,123,12,26.63,4.87,True,sign + sign
090,070,11,3,1.51,133,98,26.43,2.87,True,stroke + sign
004,022,24,4,7.36,291,219,25.81,1.70,True,stroke chain
090,013,5,1,0.20,133,13,24.86,4.65,True,stroke + sign
091,091,6,5,0.38,57,57,23.17,4.00,True,sign + sign
005,005,14,8,2.96,160,160,23.04,2.24,True,stroke chain
027,077,4,4,0.11,58,16,22.48,5.22,True,sign + sign
660,081,4,1,0.11,27,34,22.31,5.24,True,sign + sign
007,600,14,10,3.07,114,233,22.29,2.19,True,sign + sign
020,020,8,4,0.92,89,89,21.69,3.13,True,stroke chain
007,067,7,6,0.66,114,50,21.62,3.41,True,sign + sign
040,300,9,1,1.24,123,87,21.44,2.86,True,sign + sign
022,203,6,1,0.48,219,19,21.23,3.64,True,stroke + sign
010,760,5,1,0.28,69,35,20.42,4.16,True,sign + sign
026,006,4,3,0.16,9,150,20.35,4.68,True,sign + sign
760,040,6,1,0.50,35,123,20.06,3.59,True,sign + sign
607,607,5,5,0.29,50,50,20.01,4.11,True,sign + sign
001,380,18,7,5.44,432,109,19.93,1.73,True,stroke + sign
095,095,5,4,0.30,51,51,19.62,4.06,True,sign + sign
076,071,7,1,0.78,82,82,19.31,3.17,True,sign + sign
670,008,7,1,0.79,87,79,19.02,3.14,True,sign + sign
022,022,18,11,5.54,219,219,18.99,1.70,True,stroke chain
072,010,4,2,0.17,21,69,18.69,4.58,True,sign + sign
004,760,8,3,1.18,291,35,18.66,2.76,True,stroke + sign
071,604,4,1,0.17,82,18,18.65,4.55,True,sign + sign
200,200,15,8,4.08,188,188,18.53,1.88,True,sign + sign
280,001,16,10,4.69,94,432,18.45,1.77,True,sign + stroke
006,124,4,1,0.19,150,11,18.36,4.39,True,sign + sign
755,050,6,5,0.58,56,89,18.17,3.38,True,sign + sign
741,091,4,2,0.19,29,57,17.51,4.39,True,sign + sign
300,004,12,3,2.93,87,291,17.04,2.04,True,sign + stroke
381,381,5,3,0.42,60,60,16.42,3.59,True,sign + sign
208,007,5,4,0.43,33,114,16.15,3.52,True,sign + sign
045,010,4,2,0.23,29,69,16.00,4.11,True,sign + sign
066,066,4,1,0.26,47,47,15.14,3.97,True,sign + sign
