a,b,count,sides,expected,freq_a,freq_b,G2,PMI
040,040,27,7,1.30,106,106,126.34,4.38
004.430,022.380,10,1,0.02,15,13,122.11,8.79
080,004,14,3,0.34,19,155,92.17,5.36
300.028,004.430,7,1,0.01,8,15,86.92,8.98
098,007,8,2,0.09,8,98,72.36,6.46
390.041,378,5,1,0.00,7,6,70.78,10.01
260.001,004.711,5,2,0.01,11,5,69.40,9.62
378,041,6,1,0.02,6,30,69.26,8.17
385,003.065.200,6,1,0.02,30,7,63.52,7.95
166,068,5,2,0.01,5,20,62.07,8.76
670,008.078.711,6,1,0.05,74,6,57.64,6.87
010.070,760,5,1,0.02,5,31,57.17,8.12
045.009.037,010.001,4,2,0.00,5,8,53.34,9.76
071.076,010.079,5,1,0.02,16,9,52.33,8.23
020,080,7,2,0.11,49,19,48.59,6.02
440,440,5,2,0.02,14,14,48.08,7.79
015,022,8,1,0.24,13,158,47.31,5.07
040,300.028,6,1,0.10,106,8,44.22,5.94
124,098,4,1,0.01,11,8,43.93,8.62
081,004,10,1,0.57,32,155,42.09,4.12
020,020,8,4,0.28,49,49,40.93,4.85
090.076,013,5,1,0.07,64,10,35.67,6.08
041,670,7,1,0.26,30,74,35.10,4.77
022.380,203,4,1,0.03,13,17,34.86,7.29
090.076,070,9,2,0.64,64,87,32.77,3.81
007,600,13,9,1.96,98,173,29.18,2.73
062.006,001,4,2,0.13,4,276,27.62,4.97
022,022,15,9,2.89,158,158,27.19,2.38
026,006,4,3,0.07,8,76,27.07,5.83
007,067.010,4,3,0.08,98,7,26.51,5.66
200.052,600,4,1,0.10,5,173,26.43,5.32
040,390.041,4,1,0.09,106,7,25.88,5.54
001,009,10,2,1.31,276,41,25.65,2.93
660,081,4,1,0.08,21,32,24.98,5.69
006,124,4,1,0.10,76,11,23.79,5.37
090.076,071,6,1,0.37,64,50,23.36,4.02
760,040,6,1,0.38,31,106,23.29,3.98
090,090.076,6,2,0.46,62,64,20.79,3.71
741,091,4,2,0.13,23,49,20.67,4.94
091,091,5,4,0.28,49,49,20.42,4.17
066,760,4,1,0.14,38,31,20.23,4.88
280,001,12,8,2.62,82,276,19.29,2.20
004,760,6,2,0.56,155,31,18.91,3.43
090.076,020.010,4,1,0.16,64,22,18.90,4.62
208,007,4,3,0.18,16,98,18.28,4.46
088,001,4,4,0.22,7,276,18.25,4.16
004,660,5,2,0.38,155,21,17.89,3.73
071,090,5,1,0.36,50,62,17.89,3.80
004,002,17,7,5.30,155,296,17.65,1.68
076,071,5,1,0.40,69,50,16.85,3.65
700,700,12,7,3.03,162,162,16.12,1.98
090,090,5,2,0.44,62,62,15.79,3.49
002,034,7,4,1.09,296,32,15.50,2.68
022,025,4,2,0.31,158,17,14.04,3.69
760,004,5,2,0.56,31,155,13.90,3.17
048,048,4,2,0.30,51,51,13.86,3.73
001,380.001.003,6,1,0.96,276,30,12.97,2.65
091,008,4,3,0.34,49,60,12.92,3.56
040,006,6,1,0.93,106,76,12.82,2.69
430.076,006,4,1,0.35,40,76,12.69,3.51
022,068,4,3,0.37,158,20,12.68,3.45
072,002,4,1,0.41,12,296,12.33,3.28
011,076,4,1,0.39,49,69,11.86,3.36
002,002,22,7,10.13,296,296,11.41,1.12
046,004,4,3,0.43,24,155,11.36,3.22
022,055,4,4,0.44,158,24,11.22,3.19
670,004.064,4,3,0.43,74,50,11.18,3.23
004.064,670,4,4,0.43,50,74,11.18,3.23
007,059,4,2,0.44,98,39,10.98,3.18
