condition,log_likelihood_per_pair
"real, Rapa Nui",-3.7617
"reversed, Rapa Nui",-3.7576
"shuffled, Rapa Nui, mean",-3.8263
"shuffled, Rapa Nui, max",-3.8057
"real, English letters (24 signs)",-3.4390
"shuffled, English letters (24 signs), mean",-3.4679
"real, Rapa Nui (24 signs)",-3.3553
"shuffled, Rapa Nui (24 signs), mean",-3.3937
"positive control: Apai syllables as unknown signs, searched",-3.3967
positive control: Apai under the true assignment,-3.5611
"positive control: Apai shuffled, searched",-3.6051
Rapa Nui text under its own model,-2.9560
shuffled Rapa Nui text under its own model,-3.7755
