sign,tokens,coverage,precision,decomposes,n_parts,parts
086,14,0.997,0.605,False,2,009@1.0 + 095m@0.8
525,1,0.996,0.531,False,3,070m@1.0 + 071m@0.4 + 025m@1.0
122,1,0.995,0.444,False,3,093@1.0 + 006m@0.4 + 093@1.0
034,35,0.995,0.462,False,3,008m@1.0 + 001m@1.0 + 005@1.0
079,32,0.994,0.496,False,3,005@1.0 + 430@0.4 + 063@1.0
132,3,0.994,0.688,False,3,060m@1.0 + 044m@0.5 + 076m@0.5
080,19,0.994,0.585,False,2,070m@1.0 + 021@0.65
568,2,0.993,0.525,False,3,008@1.0 + 600@0.4 + 254@0.8
046,27,0.991,0.685,False,2,011@1.0 + 065@0.8
038,4,0.990,0.487,False,3,070@1.0 + 044m@1.0 + 007@1.0
212,3,0.990,0.525,False,3,205@0.8 + 067@0.5 + 205@1.0
701,3,0.990,0.408,False,3,205@0.8 + 095@0.8 + 021m@1.0
199,0,0.990,0.532,False,2,040@0.8 + 004@0.4
110,4,0.990,0.551,False,2,067m@1.0 + 006@0.8
041,34,0.989,0.536,False,3,022@1.0 + 004@0.5 + 022@1.0
089,6,0.989,0.824,True,2,009m@1.0 + 430@0.4
749,0,0.989,0.419,False,3,600@1.0 + 008@0.65 + 607@1.0
356,5,0.989,0.526,False,2,254@1.0 + 254@1.0
529,2,0.988,0.575,False,3,430m@0.8 + 430m@0.8 + 254m@0.4
366,3,0.988,0.605,False,2,306@1.0 + 381@1.0
023,17,0.988,0.800,True,2,040@1.0 + 044@0.65
017,23,0.987,0.550,False,2,001m@1.0 + 065m@0.65
162,2,0.987,0.477,False,3,005@1.0 + 010m@0.4 + 005@1.0
723,1,0.986,0.476,False,3,755@1.0 + 076@1.0 + 008@1.0
581,2,0.985,0.506,False,3,020m@0.8 + 065m@1.0 + 022m@1.0
285,1,0.985,0.590,False,3,280m@1.0 + 004m@0.65 + 306@1.0
013,13,0.985,0.662,False,3,001@1.0 + 430@0.5 + 430@0.65
587,1,0.984,0.704,True,3,008@0.65 + 053m@0.4 + 021m@0.5
144,22,0.984,0.533,False,2,059@1.0 + 700m@1.0
247,1,0.984,0.486,False,3,254@1.0 + 290@0.8 + 050m@1.0
016,11,0.983,0.632,False,1,011m@1.0
517,3,0.983,0.529,False,3,020m@0.8 + 400m@0.4 + 005@1.0
202,20,0.983,0.640,False,3,430@1.0 + 071@0.5 + 205@0.5
117,12,0.983,0.495,False,3,755@0.8 + 021m@0.4 + 008@0.65
236,1,0.982,0.520,False,2,205@1.0 + 205@1.0
566,2,0.982,0.635,False,2,306@1.0 + 254@0.8
591,12,0.981,0.521,False,2,070@1.0 + 027m@1.0
159,2,0.981,0.672,False,2,050@1.0 + 050@1.0
012,5,0.981,0.742,True,2,011@1.0 + 044@1.0
062,31,0.981,0.508,False,2,063m@1.0 + 065@1.0
129,6,0.981,0.555,False,2,040m@1.0 + 040m@1.0
215,11,0.980,0.530,False,3,205@1.0 + 063@0.5 + 020@1.0
777,2,0.980,0.521,False,3,200@1.0 + 022m@0.5 + 021m@0.8
375,3,0.980,0.494,False,3,205@1.0 + 607m@0.4 + 070@1.0
064,18,0.980,0.644,False,2,069@1.0 + 008@0.4
683,2,0.980,0.546,False,3,430m@1.0 + 670@0.65 + 600m@0.5
147,1,0.980,0.784,True,1,070m@1.0
562,1,0.980,0.461,False,3,607m@1.0 + 027m@1.0 + 607@1.0
052,8,0.979,0.741,True,2,011@1.0 + 004@0.8
191,4,0.979,0.578,False,3,200@1.0 + 053@0.5 + 607m@0.8
153,2,0.979,0.654,False,3,400@0.8 + 021@0.5 + 254m@0.5
088,7,0.979,0.534,False,2,067@1.0 + 607@0.5
286,4,0.979,0.610,False,2,306@1.0 + 280@0.8
432,3,0.978,0.585,False,3,067m@1.0 + 006m@0.65 + 063@1.0
141,7,0.978,0.638,False,3,027@1.0 + 200m@0.4 + 739m@0.4
194,1,0.978,0.521,False,3,006@1.0 + 607@0.5 + 022@0.8
507,1,0.977,0.577,False,3,306@1.0 + 381m@0.5 + 067m@0.8
296,2,0.977,0.748,True,2,306@1.0 + 095m@0.8
487,1,0.976,0.606,False,3,430m@1.0 + 053m@0.5 + 020@0.5
655,2,0.976,0.620,False,3,380@1.0 + 059m@0.4 + 006m@1.0
690,6,0.975,0.690,False,2,600@1.0 + 290m@0.8
421,8,0.975,0.485,False,2,290m@0.8 + 400@1.0
316,8,0.975,0.583,False,3,306@0.8 + 050@0.5 + 670m@0.8
087,14,0.974,0.527,False,2,067@1.0 + 607@0.5
637,1,0.974,0.610,False,3,600@1.0 + 670m@0.65 + 053@0.8
720,13,0.973,0.498,False,3,053m@1.0 + 020@0.4 + 021m@0.8
164,2,0.972,0.556,False,3,005@1.0 + 060m@0.4 + 009@1.0
734,8,0.972,0.465,False,3,430m@1.0 + 021m@0.65 + 254m@0.8
024,11,0.972,0.935,True,2,050m@0.8 + 073m@0.5
448,1,0.971,0.598,False,3,280m@1.0 + 021m@0.4 + 306@0.8
130,3,0.971,0.462,False,2,070@1.0 + 021@1.0
081,34,0.971,0.579,False,3,739@1.0 + 067@0.4 + 027@1.0
189,1,0.971,0.629,False,3,200m@1.0 + 070m@0.4 + 200@0.8
693,1,0.971,0.536,False,3,070m@1.0 + 200m@0.4 + 063@1.0
078,8,0.970,0.586,False,2,063m@1.0 + 063m@1.0
231,1,0.970,0.584,False,3,205@1.0 + 011@0.5 + 200m@1.0
372,2,0.970,0.591,False,3,254@1.0 + 040@0.65 + 306@0.65
256,21,0.970,0.647,False,2,254@1.0 + 254m@0.8
260,25,0.969,0.539,False,2,200m@1.0 + 008m@0.8
055,29,0.968,0.791,True,2,006@1.0 + 022m@0.4
206,29,0.968,0.641,False,2,306@1.0 + 008@0.8
518,1,0.968,0.579,False,3,099m@1.0 + 095m@0.8 + 095m@1.0
033,11,0.968,0.487,False,3,430m@1.0 + 099m@0.65 + 002@0.8
133,4,0.968,0.698,False,3,065@1.0 + 522m@0.4 + 069@0.8
325,6,0.968,0.512,False,3,205@1.0 + 053@0.65 + 200@1.0
662,1,0.967,0.587,False,3,020m@0.8 + 020@0.5 + 607@0.8
242,3,0.967,0.527,False,3,205@1.0 + 060m@1.0 + 020m@0.8
295,2,0.966,0.665,False,3,290m@1.0 + 700@0.5 + 600m@0.8
528,0,0.966,0.620,False,3,306@1.0 + 044@1.0 + 380@0.8
104,1,0.966,0.495,False,3,020m@1.0 + 044@0.8 + 020m@1.0
174,2,0.965,0.670,False,2,020m@1.0 + 004@1.0
203,19,0.965,0.557,False,2,205@1.0 + 002m@1.0
294,4,0.965,0.640,False,2,306@1.0 + 290@0.8
281,2,0.964,0.831,True,2,280@1.0 + 040@0.65
732,1,0.964,0.551,False,3,739m@1.0 + 010@1.0 + 254@0.8
501,2,0.964,0.638,False,3,205@1.0 + 050m@0.5 + 050m@1.0
150,5,0.964,0.519,False,3,020@1.0 + 040m@0.8 + 021m@1.0
195,1,0.964,0.576,False,3,755@1.0 + 099m@0.4 + 306@0.8
569,4,0.963,0.669,False,2,069@1.0 + 065m@1.0
653,1,0.963,0.605,False,3,607@1.0 + 005@0.5 + 670@0.65
121,1,0.962,0.589,False,3,073@1.0 + 066m@0.5 + 254m@0.5
741,29,0.962,0.583,False,3,381@1.0 + 027@0.65 + 430m@0.8
534,4,0.961,0.527,False,3,430@1.0 + 073@0.5 + 430m@0.8
456,0,0.961,0.567,False,3,381@1.0 + 300@0.4 + 067@1.0
590,8,0.961,0.746,True,2,200@1.0 + 290@0.8
143,1,0.961,0.638,False,3,025m@0.8 + 095@0.5 + 254m@0.4
222,8,0.961,0.527,False,3,306@1.0 + 430@0.5 + 254@1.0
583,3,0.960,0.537,False,3,200@1.0 + 060m@0.8 + 008@1.0
540,7,0.960,0.565,False,3,205@1.0 + 021m@0.65 + 008m@0.8
135,1,0.960,0.825,True,3,060@0.8 + 010m@0.4 + 004@0.4
322,3,0.960,0.507,False,3,306@1.0 + 430m@0.4 + 008m@1.0
291,12,0.960,0.738,True,2,290@1.0 + 755@0.8
266,1,0.960,0.619,False,2,306@1.0 + 090m@1.0
618,1,0.960,0.625,False,3,607@0.8 + 063@0.5 + 205@0.8
109,4,0.960,0.548,False,3,021m@1.0 + 002@0.65 + 607m@1.0
481,2,0.960,0.512,False,3,020m@0.8 + 020@0.5 + 381@0.8
401,4,0.960,0.748,True,2,600@1.0 + 011@0.5
184,1,0.960,0.593,False,2,400m@1.0 + 254@0.65
526,3,0.960,0.690,False,2,306@1.0 + 020@0.65
188,1,0.959,0.750,True,2,205@1.0 + 027@0.65
393,1,0.959,0.487,False,3,205@1.0 + 021@0.65 + 070m@1.0
