control,sign,coverage,precision,decomposes
1,012,0.981,0.590,False
1,013,0.875,0.779,True
1,014,0.957,0.489,False
1,015,0.937,0.665,False
1,016,0.972,0.672,False
1,017,0.931,0.689,False
1,018,0.987,0.492,False
1,019,0.906,0.617,False
1,023,0.935,0.762,True
1,024,0.980,0.777,True
1,026,0.933,0.703,True
1,028,0.862,0.557,False
1,029,0.925,0.693,False
1,030,0.929,0.453,False
1,032,0.953,0.719,True
1,033,0.912,0.511,False
1,034,0.877,0.563,False
1,035,0.950,0.499,False
1,036,0.862,0.462,False
1,037,0.867,0.702,True
1,038,0.890,0.649,False
1,039,0.880,0.521,False
1,041,0.890,0.620,False
1,042,0.955,0.460,False
1,043,0.928,0.643,False
1,045,0.996,0.511,False
1,046,0.991,0.849,True
1,047,0.877,0.564,False
1,049,0.913,0.742,True
1,051,0.942,0.655,False
1,052,0.941,0.759,True
1,054,0.913,0.629,False
1,055,0.932,0.735,True
1,056,0.990,0.592,False
1,058,0.989,0.658,False
1,061,0.991,0.518,False
1,062,0.903,0.846,True
1,064,0.907,0.912,True
1,068,0.961,0.592,False
1,072,0.897,0.566,False
1,074,0.971,0.503,False
1,075,0.987,0.465,False
1,077,0.939,0.578,False
1,078,0.964,0.524,False
1,079,0.942,0.573,False
1,080,0.983,0.483,False
1,081,0.913,0.772,True
1,082,0.974,0.594,False
1,083,0.910,0.778,True
1,084,0.872,0.679,False
1,085,0.924,0.700,False
1,086,0.917,0.599,False
1,087,0.990,0.476,False
1,088,0.906,0.592,False
1,089,0.962,0.563,False
1,092,0.887,0.753,True
1,094,0.860,0.510,False
1,096,0.916,0.564,False
1,097,0.973,0.449,False
1,098,0.886,0.655,False
1,100,0.911,0.666,False
1,102,0.930,0.620,False
1,104,0.876,0.618,False
1,105,0.887,0.724,True
1,106,0.953,0.691,False
1,107,0.944,0.484,False
1,108,0.956,0.596,False
1,109,0.903,0.641,False
1,111,0.954,0.741,True
1,115,0.984,0.532,False
1,116,0.895,0.628,False
1,117,0.966,0.648,False
1,118,0.966,0.568,False
1,119,0.958,0.508,False
1,120,0.928,0.636,False
1,121,0.882,0.648,False
1,122,0.960,0.504,False
1,123,0.929,0.685,False
1,124,0.894,0.623,False
1,125,0.922,0.436,False
1,126,0.883,0.603,False
1,127,0.914,0.505,False
1,128,0.965,0.692,False
1,129,0.981,0.576,False
1,130,0.958,0.557,False
1,131,0.908,0.648,False
1,132,0.961,0.576,False
1,133,0.970,0.541,False
1,134,0.975,0.523,False
1,135,0.894,0.715,True
