control,sign,coverage,precision,decomposes
1,012,0.930,0.877,True
1,013,0.963,0.929,True
1,014,0.914,0.827,True
1,015,0.992,0.838,True
1,016,1.000,0.880,True
1,017,0.987,0.871,True
1,018,0.906,0.816,True
1,019,0.953,0.748,True
1,023,0.954,0.787,True
1,024,0.980,0.842,True
1,026,0.974,0.751,True
1,028,0.977,0.582,False
1,029,0.918,0.879,True
1,030,0.912,0.648,False
1,032,1.000,0.895,True
1,033,0.968,0.630,False
1,034,0.921,0.666,False
1,035,0.930,0.771,True
1,036,0.989,0.514,False
1,037,0.994,0.824,True
1,038,0.942,0.791,True
1,039,0.958,0.726,True
1,041,0.975,0.766,True
1,042,0.955,0.804,True
1,043,0.997,0.446,False
1,045,0.946,0.886,True
1,046,0.942,1.000,True
1,047,0.914,0.716,True
1,049,0.917,0.956,True
1,051,0.995,0.753,True
1,052,0.932,0.934,True
1,054,0.908,0.785,True
1,055,1.000,0.601,False
1,056,0.972,0.977,True
1,058,0.946,0.911,True
1,061,0.923,0.859,True
1,062,0.973,0.926,True
1,064,0.952,0.893,True
1,068,0.911,0.733,True
1,072,0.923,0.800,True
1,074,0.975,0.831,True
1,075,0.953,0.612,False
1,077,0.951,0.763,True
1,078,0.970,0.772,True
1,079,0.944,0.790,True
1,080,0.974,0.867,True
1,081,0.963,0.845,True
1,082,0.961,0.923,True
1,083,0.995,0.876,True
1,084,0.907,0.829,True
1,085,0.926,0.887,True
1,086,0.971,0.750,True
1,087,0.962,0.709,True
1,088,0.973,0.733,True
1,089,0.931,0.757,True
1,092,0.971,0.845,True
1,094,0.959,0.624,False
1,096,0.951,0.688,False
1,097,0.916,0.795,True
1,098,0.945,0.658,False
1,100,0.951,0.834,True
1,102,0.973,0.874,True
1,104,0.956,0.812,True
1,105,0.900,0.903,True
1,106,0.940,0.904,True
1,107,0.989,0.492,False
1,108,0.897,0.767,True
1,109,0.989,0.558,False
1,111,0.919,0.963,True
1,115,0.966,0.757,True
1,116,0.908,0.680,False
1,117,0.951,0.779,True
1,118,0.932,0.832,True
1,119,0.925,0.849,True
1,120,0.936,0.906,True
1,121,0.994,0.717,True
1,122,0.917,0.790,True
1,123,0.918,0.857,True
1,124,0.961,0.725,True
1,125,0.899,0.648,False
1,126,0.998,0.507,False
1,127,0.967,0.687,False
1,128,0.916,0.863,True
1,129,0.932,0.917,True
1,130,0.940,0.795,True
1,131,0.921,0.852,True
1,132,0.984,0.692,False
1,133,0.998,0.553,False
1,134,0.903,0.783,True
1,135,0.997,0.573,False
1,139,0.945,0.818,True
1,140,0.920,0.905,True
1,141,0.917,0.776,True
1,142,0.932,0.862,True
1,143,0.911,0.765,True
1,144,0.976,0.763,True
1,145,0.991,0.511,False
1,146,0.940,0.790,True
1,147,0.941,0.844,True
1,148,0.972,0.860,True
1,149,0.977,0.928,True
1,150,0.946,0.812,True
1,152,0.977,0.798,True
1,153,0.962,0.789,True
1,154,0.998,0.792,True
1,155,0.955,0.809,True
1,156,0.994,0.656,False
1,157,0.920,0.927,True
1,158,0.974,0.787,True
1,159,0.947,0.829,True
1,160,0.959,0.889,True
1,161,0.939,0.735,True
1,162,0.909,0.807,True
1,163,0.947,0.889,True
1,164,0.984,0.862,True
1,165,0.980,0.780,True
1,166,0.916,0.864,True
1,167,0.959,0.585,False
1,168,0.975,0.775,True
1,169,0.982,0.564,False
1,171,0.977,0.578,False
1,173,0.990,0.662,False
1,174,0.973,0.796,True
1,175,0.908,0.848,True
1,176,0.979,0.595,False
1,177,0.931,0.777,True
1,178,0.922,0.931,True
1,179,0.910,0.749,True
1,180,0.917,0.877,True
1,181,0.979,0.721,True
1,182,0.946,0.938,True
1,183,0.985,0.589,False
1,184,0.958,0.783,True
1,186,0.937,0.772,True
1,187,0.993,0.557,False
1,188,0.969,0.655,False
1,189,0.914,0.883,True
1,190,0.937,0.639,False
1,191,0.955,0.588,False
1,192,0.962,0.624,False
1,193,0.959,0.950,True
1,194,0.992,0.618,False
1,195,0.932,0.820,True
1,196,0.981,0.618,False
1,199,1.000,0.636,False
1,201,0.910,0.876,True
1,202,0.944,0.912,True
1,203,0.989,0.694,False
1,204,0.984,0.649,False
1,206,0.936,0.895,True
1,207,0.965,0.855,True
1,208,0.904,0.842,True
1,209,0.924,0.760,True
1,211,0.922,0.972,True
1,214,0.980,0.951,True
1,215,0.947,0.715,True
1,216,0.987,0.997,True
1,220,0.918,0.865,True
1,222,0.972,0.792,True
1,224,0.928,0.907,True
1,225,0.894,0.952,True
1,226,0.918,0.925,True
1,227,0.910,0.960,True
1,230,0.964,0.613,False
1,231,0.953,0.775,True
1,232,0.930,0.902,True
1,234,0.981,0.652,False
1,235,0.910,0.797,True
1,236,0.923,0.869,True
1,242,0.907,0.844,True
1,243,0.931,0.922,True
1,244,0.931,0.938,True
1,245,0.946,0.874,True
1,246,0.899,0.970,True
1,247,0.964,0.922,True
