sign,coverage,precision,first_part,matched_itself,decomposes
001,0.992,0.925,001,True,True
002,0.986,0.582,020,False,False
002,0.977,0.554,067,False,False
022,0.898,0.828,073,False,True
022,0.976,0.767,073,False,True
700,0.983,0.672,700,True,False
700,1.000,0.675,011,False,False
090,0.935,0.986,091,False,True
040,0.993,0.858,040,True,True
070,0.977,0.791,070,True,True
020,0.967,0.718,022,False,True
020,0.901,0.892,011,False,True
020,0.987,0.822,063,False,True
071,0.971,0.656,071,True,False
071,0.922,0.755,067,False,True
076,0.918,0.813,001,False,True
073,0.972,0.802,011,False,True
522,0.971,0.658,522,True,False
010,0.940,0.858,010,True,True
053,0.911,0.823,053,True,True
027,0.980,0.516,025,False,False
091,0.912,0.960,091,True,True
755,0.958,0.704,755,True,True
059,0.962,0.582,025,False,False
095,0.956,0.601,006,False,False
067,0.914,0.784,067,True,True
067,0.908,0.811,067,True,True
739,0.930,0.632,739,True,False
066,0.954,0.899,066,True,True
044,0.965,0.808,001,False,True
044,0.996,0.631,011,False,False
093,0.970,0.671,005,False,False
093,0.981,0.812,040,False,True
