sign,coverage,precision,first_part,matched_itself,decomposes
001,1.000,0.983,001,True,True
002,1.000,0.853,020,False,True
002,0.950,0.850,067,False,True
022,0.987,0.931,073,False,True
022,0.902,1.000,001,False,True
700,0.977,0.986,700,True,True
700,0.982,0.972,011,False,True
090,0.982,1.000,091,False,True
040,0.978,0.926,004,False,True
070,1.000,0.890,070,True,True
020,0.909,0.953,022,False,True
020,0.994,0.983,011,False,True
020,0.903,0.972,011,False,True
071,0.994,0.863,011,False,True
071,0.962,0.815,071,True,True
076,0.981,0.922,001,False,True
073,0.984,0.963,004,False,True
522,0.938,0.975,522,True,True
010,0.985,0.969,011,False,True
053,0.939,1.000,011,False,True
027,0.975,0.864,025,False,True
091,0.979,0.989,091,True,True
755,0.965,0.937,755,True,True
059,0.943,0.929,025,False,True
095,0.976,0.804,069,False,True
067,0.985,0.916,067,True,True
067,0.994,0.913,067,True,True
739,0.945,0.850,739,True,True
066,0.993,0.967,066,True,True
044,0.962,0.937,004,False,True
044,0.972,0.912,011,False,True
093,0.900,0.922,005,False,True
093,0.971,0.982,040,False,True
