sign,tokens,coverage,precision,decomposes,n_parts,parts
016,11,1.000,0.722,True,1,011@1.0
062,31,1.000,0.907,True,1,011m@1.0
074,25,1.000,0.548,False,2,004@1.0 + 027@1.0
077,16,1.000,0.884,True,1,006m@1.0
087,14,1.000,0.706,True,2,001@1.0 + 430@0.65
134,3,1.000,0.663,False,2,073m@1.0 + 002@0.65
149,3,1.000,0.988,True,1,070@1.0
207,22,1.000,0.990,True,2,200@1.0 + 011@0.5
461,5,1.000,0.548,False,3,430m@0.8 + 093m@0.4 + 306@0.8
464,1,1.000,0.662,False,2,306@1.0 + 059m@0.65
541,1,1.000,0.554,False,2,020m@1.0 + 205@1.0
588,2,1.000,0.819,True,3,053@1.0 + 010m@0.4 + 069@0.65
729,4,1.000,0.515,False,2,020m@1.0 + 607@1.0
674,1,0.998,0.630,False,3,670@1.0 + 025m@0.4 + 002@0.8
777,2,0.998,0.566,False,2,200@1.0 + 025@1.0
407,5,0.998,0.891,True,1,607@1.0
326,23,0.998,0.613,False,2,306@1.0 + 008@0.8
639,1,0.998,0.451,False,2,008@1.0 + 008@1.0
148,3,0.998,0.876,True,1,070@1.0
147,1,0.998,0.880,True,1,070m@1.0
432,3,0.998,0.755,True,2,380@1.0 + 006@0.8
098,8,0.998,0.641,False,3,280@0.8 + 430@0.4 + 430m@0.8
567,2,0.998,0.660,False,2,008@1.0 + 021@1.0
018,1,0.997,0.769,True,1,070@1.0
728,1,0.997,0.792,True,3,670@0.8 + 059m@0.5 + 004@0.5
146,7,0.997,0.545,False,2,073m@1.0 + 093m@1.0
520,7,0.997,0.681,False,2,200m@1.0 + 021m@0.8
745,23,0.997,0.648,False,2,020@1.0 + 095m@1.0
727,2,0.996,0.621,False,3,020@1.0 + 044m@0.4 + 381m@0.8
096,6,0.996,0.461,False,2,008m@1.0 + 021m@1.0
647,1,0.996,0.637,False,2,600@1.0 + 254m@1.0
710,1,0.996,0.993,True,1,065@1.0
092,28,0.996,0.670,False,2,005m@1.0 + 600@0.65
691,1,0.996,0.835,True,3,200@0.8 + 053@0.4 + 290m@0.4
055,29,0.995,0.658,False,2,040m@1.0 + 027@0.8
487,1,0.995,0.774,True,3,430m@0.8 + 020@0.5 + 076@0.4
346,1,0.994,0.724,True,3,306@0.8 + 755m@0.5 + 380m@0.8
