layer,top_n,tokens,H1,H2,H2_shuffled
heads,20,3354,4.127,3.875,4.033
heads,30,4067,4.654,4.275,4.478
heads,50,5108,5.315,4.688,4.918
heads,75,5926,5.800,4.865,5.130
heads,100,6512,6.132,4.938,5.213
heads,150,7214,6.542,4.921,5.216
heads,200,7597,6.784,4.871,5.178
heads,300,8033,7.079,4.783,5.083
units,20,2319,4.127,3.813,4.001
units,30,2828,4.662,4.169,4.413
units,50,3565,5.324,4.495,4.796
units,75,4185,5.827,4.657,4.946
units,100,4642,6.175,4.683,4.986
units,150,5255,6.630,4.646,4.953
units,200,5640,6.922,4.570,4.884
units,300,6147,7.308,4.419,4.748
components,20,5062,4.114,3.721,4.060
components,30,6058,4.628,4.141,4.517
components,50,7411,5.256,4.597,4.998
components,75,8493,5.726,4.810,5.260
components,100,9198,6.033,4.913,5.360
components,150,10079,6.424,4.950,5.418
components,200,10552,6.652,4.929,5.401
components,300,11065,6.921,4.880,5.347
