filler,slots,distinct_heads,share_of_slots,share_of_corpus,enrichment,heads (count)
001,17,10,0.101,0.030,3.3,062(6) 058(2) 280(2) 710(1) 092(1) 700(1) 745(1) 060(1) 290(1) 203(1)
002,8,4,0.047,0.030,1.6,680(2) 022(2) 060(2) 670(2)
020,6,4,0.036,0.006,5.7,710(2) 700(2) 774(1) 290(1)
004,6,5,0.036,0.016,2.2,045(2) 063(1) 384(1) 066(1) 046(1)
090,4,4,0.024,0.007,3.4,710(1) 700(1) 092(1) 385(1)
022,4,3,0.024,0.017,1.4,006(2) 092(1) 046(1)
381,4,2,0.024,0.006,3.7,755(2) 053(2)
004.064,3,2,0.018,0.006,3.1,034(2) 063(1)
400,3,3,0.018,0.004,4.1,035(1) 380(1) 022(1)
017,3,2,0.018,0.002,8.3,320(2) 430(1)
600,3,2,0.018,0.020,0.9,125(2) 007(1)
670,2,2,0.012,0.008,1.5,073(1) 028(1)
206,2,1,0.012,0.002,4.7,073(2)
200,2,1,0.012,0.010,1.2,073(2)
222,2,1,0.012,0.001,22.1,073(2)
451,2,1,0.012,0.002,5.8,073(2)
739,2,2,0.012,0.004,2.7,710(1) 117(1)
061.022.061,2,2,0.012,0.000,44.2,063(1) 384(1)
730,2,1,0.012,0.002,5.1,450(2)
070,2,2,0.012,0.009,1.3,035(1) 091(1)
009,2,2,0.012,0.005,2.6,092(1) 380(1)
005,2,1,0.012,0.013,0.9,092(2)
005.006.010,2,1,0.012,0.000,66.4,380(2)
315,2,1,0.012,0.000,33.2,380(2)
316,2,2,0.012,0.001,11.1,380(1) 091(1)
011,2,1,0.012,0.005,2.2,051(2)
016,2,2,0.012,0.001,11.1,745(1) 203(1)
522,2,2,0.012,0.007,1.8,117(1) 046(1)
588,2,1,0.012,0.000,33.2,060(2)
050,2,2,0.012,0.008,1.5,091(1) 022(1)
069,2,1,0.012,0.002,4.9,097(2)
064,2,1,0.012,0.001,13.3,660(2)
004.052,2,2,0.012,0.000,26.5,046(1) 045(1)
006,2,2,0.012,0.007,1.6,700(1) 028(1)
386.078,2,1,0.012,0.000,66.4,078(2)
606.711,2,1,0.012,0.000,44.2,280(2)
607,2,1,0.012,0.004,3.0,068(2)
551.61,1,1,0.006,0.000,66.4,22(1)
552,1,1,0.006,0.000,66.4,22(1)
551,1,1,0.006,0.001,9.5,22(1)
301.82,1,1,0.006,0.000,66.4,22(1)
8.451,1,1,0.006,0.000,66.4,22(1)
043.050,1,1,0.006,0.000,33.2,063(1)
407,1,1,0.006,0.001,9.5,450(1)
608,1,1,0.006,0.001,5.1,450(1)
071.065.071,1,1,0.006,0.000,16.6,035(1)
010.067,1,1,0.006,0.000,16.6,035(1)
090.001,1,1,0.006,0.000,66.4,380(1)
020.010,1,1,0.006,0.002,2.6,051(1)
048,1,1,0.006,0.006,1.1,051(1)
569,1,1,0.006,0.000,16.6,745(1)
019,1,1,0.006,0.002,3.7,320(1)
004.062,1,1,0.006,0.000,66.4,203(1)
063,1,1,0.006,0.004,1.7,203(1)
044,1,1,0.006,0.004,1.4,203(1)
559,1,1,0.006,0.000,66.4,117(1)
691,1,1,0.006,0.000,66.4,006(1)
074,1,1,0.006,0.002,2.9,060(1)
254,1,1,0.006,0.003,1.8,680(1)
093,1,1,0.006,0.003,2.0,774(1)
666,1,1,0.006,0.001,8.3,600(1)
060.003,1,1,0.006,0.001,7.4,600(1)
053,1,1,0.006,0.006,1.1,430(1)
020.006,1,1,0.006,0.001,11.1,063(1)
618,1,1,0.006,0.000,66.4,063(1)
048.001,1,1,0.006,0.000,66.4,005(1)
010.001,1,1,0.006,0.001,6.0,005(1)
204,1,1,0.006,0.002,3.0,005(1)
205,1,1,0.006,0.004,1.3,005(1)
141,1,1,0.006,0.000,16.6,380(1)
057,1,1,0.006,0.002,2.7,019(1)
107,1,1,0.006,0.000,33.2,019(1)
256.003,1,1,0.006,0.000,33.2,380(1)
633,1,1,0.006,0.000,33.2,380(1)
001.006,1,1,0.006,0.002,2.9,700(1)
430,1,1,0.006,0.008,0.8,700(1)
006.004,1,1,0.006,0.000,33.2,066(1)
001.069,1,1,0.006,0.000,13.3,060(1)
683,1,1,0.006,0.000,33.2,006(1)
027,1,1,0.006,0.004,1.4,006(1)
200.571,1,1,0.006,0.000,66.4,084(1)
730.069,1,1,0.006,0.000,16.6,084(1)
045,1,1,0.006,0.003,1.8,022(1)
360.001,1,1,0.006,0.000,33.2,007(1)
071,1,1,0.006,0.005,1.3,700(1)
530,1,1,0.006,0.003,2.2,090(1)
999,1,1,0.006,0.009,0.7,090(1)
003.246.003,1,1,0.006,0.000,66.4,380(1)
025,1,1,0.006,0.002,3.2,385(1)
660,1,1,0.006,0.002,2.9,022(1)
001.052,1,1,0.006,0.001,5.5,045(1)
000,1,1,0.006,0.029,0.2,070(1)
060,1,1,0.006,0.005,1.2,070(1)
