head,series,tablets,filler_slots,distinct_fillers,fillers (count)
380,5,EGK,12,10,005.006.010(2) 315(2) 090.001(1) 316(1) 141(1) 009(1) 256.003(1) 633(1) 003.246.003(1) 400(1)
073,2,GK,9,5,206(2) 200(2) 222(2) 451(2) 670(1)
700,3,GHI,8,7,020(2) 001(1) 090(1) 001.006(1) 430(1) 071(1) 006(1)
060,3,CHP,7,5,588(2) 002(2) 074(1) 001(1) 001.069(1)
063,2,B,6,6,004.064(1) 043.050(1) 004(1) 061.022.061(1) 020.006(1) 618(1)
092,2,E,6,5,005(2) 001(1) 009(1) 022(1) 090(1)
022,3,BHQ,6,5,002(2) 050(1) 045(1) 400(1) 660(1)
062,3,HPQ,6,1,001(6)
22,1,A,5,5,551.61(1) 552(1) 551(1) 301.82(1) 8.451(1)
710,1,Q,5,4,020(2) 739(1) 001(1) 090(1)
203,2,E,5,5,004.062(1) 063(1) 044(1) 001(1) 016(1)
006,2,HM,5,4,022(2) 691(1) 683(1) 027(1)
450,1,E,4,3,730(2) 407(1) 608(1)
035,1,E,4,4,070(1) 400(1) 071.065.071(1) 010.067(1)
051,1,L,4,3,011(2) 020.010(1) 048(1)
005,2,CE,4,4,048.001(1) 010.001(1) 204(1) 205(1)
046,2,HS,4,4,004(1) 004.052(1) 522(1) 022(1)
280,2,NP,4,2,001(2) 606.711(2)
045,2,PQ,4,3,004(2) 004.052(1) 001.052(1)
745,1,B,3,3,569(1) 001(1) 016(1)
320,1,B,3,2,017(2) 019(1)
117,1,H,3,3,559(1) 739(1) 522(1)
680,1,R,3,2,002(2) 254(1)
091,1,S,3,3,316(1) 050(1) 070(1)
058,1,A,2,1,001(2)
097,1,A,2,1,069(2)
774,1,A,2,2,093(1) 020(1)
600,1,A,2,2,666(1) 060.003(1)
430,1,B,2,2,053(1) 017(1)
384,1,B,2,2,004(1) 061.022.061(1)
290,1,C,2,2,001(1) 020(1)
660,1,C,2,1,064(2)
670,1,E,2,1,002(2)
019,1,E,2,2,057(1) 107(1)
066,1,H,2,2,004(1) 006.004(1)
755,1,H,2,1,381(2)
084,1,H,2,2,200.571(1) 730.069(1)
007,1,H,2,2,360.001(1) 600(1)
090,1,I,2,2,530(1) 999(1)
034,1,N,2,1,004.064(2)
125,1,N,2,1,600(2)
078,1,P,2,1,386.078(2)
053,1,P,2,1,381(2)
385,1,Q,2,2,090(1) 025(1)
068,1,S,2,1,607(2)
028,1,S,2,2,670(1) 006(1)
070,1,S,2,2,000(1) 060(1)
