side,units,cluster,x,y,nn1,s1,nn2,s2
Aa,678,2,0.1181,-0.0680,Ab,0.513,Ra,0.503
Ab,659,2,0.0865,-0.1490,Ra,0.620,Pr,0.606
Br,437,2,0.1182,-0.0426,Er,0.549,Bv,0.502
Bv,510,2,0.0927,-0.0486,Hr,0.606,Hv,0.601
Ca,396,2,-0.0436,-0.1059,Cb,0.607,Ra,0.519
Cb,363,2,-0.1249,-0.1354,Ca,0.607,Ev,0.556
Da,106,2,0.0656,-0.0564,Hv,0.493,Ab,0.457
Db,73,2,0.0555,-0.1085,Ab,0.481,Da,0.444
Er,338,2,0.0763,-0.0738,Br,0.549,Hr,0.484
Ev,309,2,-0.2569,-0.0625,Na,0.631,Sa,0.607
Gr,239,2,-0.4394,-0.0113,Kv,0.669,Kr,0.652
Gv,243,2,0.1067,0.0593,Hv,0.475,Hr,0.458
Hr,586,2,0.1446,-0.0579,Qr,0.837,Pr,0.829
Hv,632,2,0.1590,-0.0419,Pv,0.750,Hr,0.644
Ia,1619,1,0.1095,0.4282,Ta,0.528,Hr,0.384
Kr,82,2,-0.4454,0.0723,Gr,0.652,Kv,0.561
Kv,62,2,-0.5598,0.0204,Gr,0.669,Ev,0.595
La,44,4,-0.1237,0.4486,Hv,0.161,Hr,0.153
Ma,48,2,0.1071,0.0800,Oa,0.419,Bv,0.392
Na,97,2,-0.2464,-0.1544,Ev,0.631,Kv,0.529
Nb,65,3,0.0081,0.1043,Bv,0.282,Hv,0.256
Oa,78,2,0.2311,0.0516,Ab,0.435,Hr,0.428
Pr,605,2,0.1206,-0.0983,Hr,0.829,Qr,0.783
Pv,556,2,0.1735,-0.0308,Hv,0.750,Qv,0.684
Qr,369,2,0.1421,-0.0635,Hr,0.837,Pr,0.783
Qv,331,2,0.1582,0.0143,Pv,0.684,Hv,0.597
Ra,194,2,0.0684,-0.1512,Ab,0.620,Pr,0.582
Rb,161,2,0.0052,-0.1702,Hr,0.531,Pr,0.511
Sa,280,2,-0.0744,-0.0977,Ev,0.607,Ab,0.538
Sb,304,2,0.0933,-0.0233,Hr,0.616,Pr,0.597
Ta,110,1,0.0739,0.4721,Ia,0.528,Sb,0.333
