side,Aa,Ab,Br,Bv,Ca,Cb,Da,Db,Er,Ev,Gr,Gv,Hr,Hv,Ia,Kr,Kv,La,Ma,Na,Nb,Oa,Pr,Pv,Qr,Qv,Ra,Rb,Sa,Sb,Ta
Aa,1.000,0.513,0.332,0.361,0.304,0.365,0.303,0.305,0.297,0.328,0.227,0.259,0.438,0.442,0.220,0.172,0.152,0.092,0.180,0.332,0.138,0.257,0.431,0.379,0.404,0.332,0.503,0.339,0.369,0.404,0.199
Ab,0.513,1.000,0.442,0.513,0.504,0.535,0.457,0.481,0.435,0.507,0.333,0.401,0.604,0.535,0.274,0.247,0.260,0.138,0.295,0.466,0.211,0.435,0.606,0.436,0.538,0.407,0.620,0.500,0.538,0.532,0.214
Br,0.332,0.442,1.000,0.502,0.343,0.413,0.341,0.278,0.549,0.373,0.228,0.285,0.480,0.410,0.243,0.196,0.155,0.096,0.350,0.385,0.196,0.311,0.456,0.349,0.418,0.311,0.403,0.291,0.382,0.343,0.191
Bv,0.361,0.513,0.502,1.000,0.490,0.538,0.446,0.393,0.457,0.518,0.338,0.390,0.606,0.601,0.279,0.304,0.209,0.128,0.392,0.397,0.282,0.390,0.577,0.475,0.553,0.375,0.469,0.382,0.521,0.499,0.285
Ca,0.304,0.504,0.343,0.490,1.000,0.607,0.352,0.340,0.414,0.499,0.352,0.342,0.463,0.495,0.218,0.289,0.323,0.112,0.278,0.417,0.184,0.387,0.486,0.359,0.421,0.303,0.519,0.385,0.409,0.436,0.208
Cb,0.365,0.535,0.413,0.538,0.607,1.000,0.403,0.321,0.387,0.556,0.447,0.328,0.538,0.471,0.229,0.362,0.428,0.127,0.317,0.492,0.184,0.302,0.540,0.364,0.456,0.302,0.525,0.460,0.491,0.502,0.204
Da,0.303,0.457,0.341,0.446,0.352,0.403,1.000,0.444,0.244,0.367,0.310,0.348,0.452,0.493,0.244,0.240,0.196,0.099,0.272,0.362,0.197,0.307,0.446,0.414,0.394,0.362,0.434,0.433,0.385,0.404,0.197
Db,0.305,0.481,0.278,0.393,0.340,0.321,0.444,1.000,0.238,0.328,0.283,0.238,0.385,0.368,0.194,0.206,0.164,0.054,0.279,0.296,0.112,0.336,0.400,0.298,0.335,0.239,0.356,0.417,0.325,0.356,0.124
Er,0.297,0.435,0.549,0.457,0.414,0.387,0.244,0.238,1.000,0.469,0.260,0.352,0.484,0.425,0.194,0.255,0.172,0.077,0.343,0.344,0.173,0.346,0.473,0.344,0.442,0.274,0.421,0.301,0.352,0.433,0.172
Ev,0.328,0.507,0.373,0.518,0.499,0.556,0.367,0.328,0.469,1.000,0.605,0.383,0.490,0.467,0.275,0.533,0.595,0.135,0.323,0.631,0.222,0.319,0.510,0.365,0.428,0.299,0.482,0.414,0.607,0.462,0.250
Gr,0.227,0.333,0.228,0.338,0.352,0.447,0.310,0.283,0.260,0.605,1.000,0.282,0.337,0.329,0.162,0.652,0.669,0.148,0.223,0.513,0.115,0.185,0.333,0.267,0.288,0.241,0.337,0.330,0.414,0.324,0.153
Gv,0.259,0.401,0.285,0.390,0.342,0.328,0.348,0.238,0.352,0.383,0.282,1.000,0.458,0.475,0.255,0.226,0.167,0.119,0.263,0.281,0.177,0.398,0.433,0.417,0.385,0.330,0.392,0.366,0.329,0.458,0.228
Hr,0.438,0.604,0.480,0.606,0.463,0.538,0.452,0.385,0.484,0.490,0.337,0.458,1.000,0.644,0.384,0.289,0.243,0.153,0.308,0.458,0.232,0.428,0.829,0.578,0.837,0.510,0.580,0.531,0.532,0.616,0.310
