side,instances,median_height_px,stroke_ratio,stroke_ratio_iqr,density,status
Br,251,99,0.0252,0.0037,0.183,measured
Bv,283,62,0.0574,0.021,0.273,measured
Ca,237,80,0.0585,0.0136,0.306,measured
Cb,232,91,0.0337,0.0081,0.137,measured
Da,44,116,0.0367,0.0059,0.179,measured
Db,35,126,0.0296,0.0054,0.158,measured
Er,307,54,0.1086,0.037,0.474,measured
Ev,293,63,0.0827,0.0246,0.41,measured
Gr,184,83,0.0587,0.0146,0.35,measured
Gv,192,80,0.0612,0.0147,0.361,measured
Hr,195,14,0.1454,0.06,0.231,too small
Hv,242,14,0.1456,0.0698,0.238,too small
Kr,50,61,0.0533,0.0056,0.259,measured
Kv,21,84,0.0672,0.0522,0.262,measured
Na,46,46,0.0604,0.0165,0.198,measured
Nb,22,49,0.0525,0.0133,0.158,measured
Pr,352,32,0.0648,0.0201,0.25,measured
Pv,307,30,0.0687,0.0255,0.195,measured
Qv,162,39,0.0575,0.0188,0.252,measured
Ra,119,71,0.0699,0.0207,0.305,measured
Rb,102,79,0.0489,0.0221,0.218,measured
Sa,96,24,0.1062,0.0717,0.326,too small
