side,line,position,head,height,width,stroke_px,stroke_ratio,density
Br,Br01,0,595,73,85,2.42,0.0332,0.204
Br,Br01,1,001,86,23,2.36,0.0275,0.218
Br,Br01,2,050,99,38,2.45,0.0248,0.204
Br,Br01,3,004,102,93,2.38,0.0233,0.149
Br,Br01,4,002,70,29,2.3,0.0329,0.285
Br,Br01,5,595,91,34,2.34,0.0257,0.159
Br,Br01,6,050,105,103,2.37,0.0226,0.158
Br,Br01,7,301,90,33,2.48,0.0275,0.158
Br,Br01,8,004,105,98,2.55,0.0242,0.156
Br,Br01,9,002,80,22,2.84,0.0355,0.284
Br,Br01,10,040,83,22,2.86,0.0344,0.279
Br,Br01,11,211,60,33,3.12,0.052,0.216
Br,Br01,12,091,100,89,2.66,0.0266,0.172
Br,Br01,13,200,102,52,2.49,0.0244,0.171
Br,Br01,14,595,110,79,2.49,0.0226,0.165
Br,Br01,15,394,107,50,2.42,0.0226,0.143
Br,Br01,16,004,100,74,2.42,0.0242,0.146
Br,Br01,17,002,112,36,2.61,0.0233,0.22
Br,Br01,18,595,101,96,2.57,0.0255,0.162
Br,Br01,19,050,78,33,2.79,0.0358,0.189
Br,Br01,20,394,109,100,2.63,0.0241,0.188
Br,Br01,21,004,89,29,2.38,0.0268,0.171
Br,Br01,22,002,112,95,2.6,0.0232,0.209
Br,Br01,23,595,93,37,2.62,0.0282,0.21
Br,Br01,24,050,87,34,2.49,0.0286,0.22
Br,Br01,25,301,114,117,2.33,0.0204,0.17
Br,Br01,26,002,97,50,2.3,0.0238,0.156
Br,Br01,28,091,104,78,2.37,0.0227,0.173
Br,Br01,29,595,95,36,2.48,0.0261,0.171
Br,Br01,30,600,101,64,2.41,0.0238,0.143
Br,Br01,31,050,94,30,2.7,0.0287,0.242
Br,Br01,32,381,96,49,2.53,0.0264,0.2
Br,Br01,33,004,103,112,2.47,0.024,0.176
Br,Br01,34,002,80,71,2.27,0.0284,0.172
Br,Br01,35,306,88,73,2.38,0.0271,0.215
