rank,sign,count_full,share_full,cum_share_full,count_one_witness
1,076,584,0.1539,0.1539,577
2,003,352,0.0928,0.2467,247
3,001,234,0.0617,0.3084,176
4,010,211,0.0556,0.3640,150
5,006,166,0.0438,0.4077,131
6,009,117,0.0308,0.4386,95
7,064,109,0.0287,0.4673,80
8,074,103,0.0271,0.4945,85
9,052,87,0.0229,0.5174,63
10,004,65,0.0171,0.5345,51
11,061,61,0.0161,0.5506,47
12,005,60,0.0158,0.5664,54
13,062,55,0.0145,0.5809,46
14,711,55,0.0145,0.5954,41
15,063,49,0.0129,0.6083,40
16,008,49,0.0129,0.6212,36
17,042,46,0.0121,0.6334,39
18,200,45,0.0119,0.6452,34
19,600,43,0.0113,0.6566,31
20,700,42,0.0111,0.6676,37
21,069,42,0.0111,0.6787,31
22,022,40,0.0105,0.6892,34
23,065,35,0.0092,0.6985,31
24,071,35,0.0092,0.7077,32
25,007,34,0.0090,0.7167,30
26,048,31,0.0082,0.7248,23
27,002,31,0.0082,0.7330,29
28,095,31,0.0082,0.7412,18
29,077,30,0.0079,0.7491,28
30,070,30,0.0079,0.7570,25
31,050,28,0.0074,0.7644,21
32,430,26,0.0069,0.7712,25
33,075,23,0.0061,0.7773,23
34,020,23,0.0061,0.7833,17
35,037,23,0.0061,0.7894,21
36,078,23,0.0061,0.7955,17
37,450,21,0.0055,0.8010,15
38,090,21,0.0055,0.8065,20
39,055,19,0.0050,0.8115,16
40,011,18,0.0047,0.8163,15
41,044,18,0.0047,0.8210,16
42,244,17,0.0045,0.8255,10
43,053,17,0.0045,0.8300,17
44,380,17,0.0045,0.8345,16
45,041,16,0.0042,0.8387,14
46,032,15,0.0040,0.8426,12
47,079,14,0.0037,0.8463,14
48,040,13,0.0034,0.8498,11
49,670,11,0.0029,0.8527,10
50,240,11,0.0029,0.8556,8
51,109,11,0.0029,0.8585,10
52,027,11,0.0029,0.8614,8
53,243,10,0.0026,0.8640,7
54,049,10,0.0026,0.8666,6
55,060,10,0.0026,0.8693,8
56,246,10,0.0026,0.8719,4
57,678,9,0.0024,0.8743,9
58,254,9,0.0024,0.8766,7
59,028,9,0.0024,0.8790,9
60,490,9,0.0024,0.8814,9
61,024,8,0.0021,0.8835,8
62,755,8,0.0021,0.8856,5
63,073,8,0.0021,0.8877,8
64,067,8,0.0021,0.8898,7
65,400,7,0.0018,0.8917,5
66,025,7,0.0018,0.8935,7
67,021,7,0.0018,0.8954,5
68,300,7,0.0018,0.8972,6
69,059,7,0.0018,0.8991,7
70,549,7,0.0018,0.9009,6
