rank,sign,count_full,share_full,cum_share_full,count_one_witness
1,001,534,0.0499,0.0499,432
2,002,411,0.0384,0.0884,361
3,004,354,0.0331,0.1215,291
4,600,301,0.0281,0.1496,233
5,200,267,0.0250,0.1746,188
6,022,264,0.0247,0.1993,219
7,700,246,0.0230,0.2223,215
8,005,191,0.0179,0.2402,160
9,006,165,0.0154,0.2556,150
10,090,149,0.0139,0.2695,133
11,040,139,0.0130,0.2825,123
12,380,139,0.0130,0.2955,109
13,430,138,0.0129,0.3084,119
14,007,136,0.0127,0.3211,114
15,020,120,0.0112,0.3324,89
16,280,119,0.0111,0.3435,94
17,050,116,0.0108,0.3543,89
18,070,112,0.0105,0.3648,98
19,300,107,0.0100,0.3748,87
20,670,101,0.0094,0.3843,87
21,008,97,0.0091,0.3933,79
22,011,91,0.0085,0.4019,73
23,048,87,0.0081,0.4100,70
24,076,87,0.0081,0.4181,82
25,073,86,0.0080,0.4262,74
26,381,86,0.0080,0.4342,60
27,021,84,0.0079,0.4421,48
28,071,83,0.0078,0.4498,82
29,522,82,0.0077,0.4575,71
30,010,81,0.0076,0.4651,69
31,027,77,0.0072,0.4723,58
32,060,76,0.0071,0.4794,55
33,009,76,0.0071,0.4865,61
34,400,75,0.0070,0.4935,57
35,067,75,0.0070,0.5005,50
36,003,74,0.0069,0.5074,66
37,205,73,0.0068,0.5143,55
38,755,71,0.0066,0.5209,56
39,065,71,0.0066,0.5275,50
40,053,68,0.0064,0.5339,60
41,306,67,0.0063,0.5402,54
42,066,65,0.0061,0.5462,47
43,091,63,0.0059,0.5521,57
44,095,60,0.0056,0.5577,51
45,739,59,0.0055,0.5633,49
46,059,59,0.0055,0.5688,56
47,044,58,0.0054,0.5742,46
48,081,56,0.0052,0.5794,34
49,607,55,0.0051,0.5846,50
50,069,53,0.0050,0.5895,39
51,290,51,0.0048,0.5943,42
52,045,51,0.0048,0.5991,29
53,099,49,0.0046,0.6037,38
54,254,49,0.0046,0.6082,40
55,063,49,0.0046,0.6128,48
56,034,49,0.0046,0.6174,35
57,093,46,0.0043,0.6217,37
58,450,45,0.0042,0.6259,31
59,062,44,0.0041,0.6300,31
60,025,42,0.0039,0.6340,37
61,606,42,0.0039,0.6379,31
62,206,41,0.0038,0.6417,29
63,385,39,0.0036,0.6454,33
64,079,39,0.0036,0.6490,32
65,530,38,0.0036,0.6526,36
66,144,38,0.0036,0.6561,22
67,260,38,0.0036,0.6597,25
68,301,37,0.0035,0.6631,26
69,386,37,0.0035,0.6666,30
70,208,37,0.0035,0.6701,33
71,605,37,0.0035,0.6735,35
72,049,37,0.0035,0.6770,33
73,041,37,0.0035,0.6804,34
74,730,37,0.0035,0.6839,30
75,760,36,0.0034,0.6873,35
76,631,33,0.0031,0.6904,30
77,204,33,0.0031,0.6934,27
78,710,33,0.0031,0.6965,1
79,047,32,0.0030,0.6995,28
80,074,31,0.0029,0.7024,25
81,202,31,0.0029,0.7053,20
82,015,31,0.0029,0.7082,15
83,046,30,0.0028,0.7110,27
84,305,30,0.0028,0.7138,25
85,055,30,0.0028,0.7166,29
86,440,29,0.0027,0.7193,18
87,741,29,0.0027,0.7221,29
88,660,29,0.0027,0.7248,27
89,326,29,0.0027,0.7275,23
90,630,28,0.0026,0.7301,25
91,451,28,0.0026,0.7327,20
92,092,28,0.0026,0.7353,28
93,072,27,0.0025,0.7379,21
94,360,26,0.0024,0.7403,16
95,057,26,0.0024,0.7427,21
96,030,26,0.0024,0.7452,16
97,256,25,0.0023,0.7475,21
98,017,25,0.0023,0.7498,23
99,209,25,0.0023,0.7522,12
100,384,24,0.0022,0.7544,22
101,680,24,0.0022,0.7567,22
102,061,24,0.0022,0.7589,20
103,320,23,0.0022,0.7611,22
104,470,23,0.0022,0.7632,20
105,745,23,0.0022,0.7654,23
106,431,23,0.0022,0.7675,7
107,077,23,0.0022,0.7697,16
108,203,23,0.0022,0.7718,19
109,420,22,0.0021,0.7739,21
110,207,22,0.0021,0.7759,22
111,770,22,0.0021,0.7780,20
112,028,22,0.0021,0.7800,17
113,068,22,0.0021,0.7821,22
114,019,21,0.0020,0.7841,17
115,084,21,0.0020,0.7860,14
116,532,21,0.0020,0.7880,21
117,080,19,0.0018,0.7898,19
118,064,19,0.0018,0.7915,18
119,078,19,0.0018,0.7933,8
120,604,19,0.0018,0.7951,18
121,445,18,0.0017,0.7968,13
122,220,18,0.0017,0.7985,13
123,056,18,0.0017,0.8001,12
124,013,18,0.0017,0.8018,13
125,244,18,0.0017,0.8035,16
126,117,17,0.0016,0.8051,12
127,379,17,0.0016,0.8067,16
128,023,17,0.0016,0.8083,17
129,599,16,0.0015,0.8098,9
130,330,16,0.0015,0.8113,13
131,029,16,0.0015,0.8128,16
132,720,16,0.0015,0.8143,13
133,087,16,0.0015,0.8158,14
134,086,16,0.0015,0.8173,14
135,382,16,0.0015,0.8188,10
136,591,16,0.0015,0.8203,12
137,608,15,0.0014,0.8217,13
138,405,15,0.0014,0.8231,12
139,460,15,0.0014,0.8245,13
140,499,15,0.0014,0.8259,15
141,22,14,0.0013,0.8272,14
142,551,14,0.0013,0.8285,7
143,734,14,0.0013,0.8298,8
144,215,14,0.0013,0.8311,11
145,376,14,0.0013,0.8324,10
146,2),14,0.0013,0.8337,8
147,571,13,0.0012,0.8349,11
148,240,13,0.0012,0.8362,13
149,016,13,0.0012,0.8374,11
150,024,13,0.0012,0.8386,11
151,390,13,0.0012,0.8398,12
152,054,13,0.0012,0.8410,11
153,316,12,0.0011,0.8421,8
154,291,12,0.0011,0.8433,12
155,026,12,0.0011,0.8444,9
156,773,12,0.0011,0.8455,7
157,214,12,0.0011,0.8466,6
158,421,12,0.0011,0.8478,8
159,051,12,0.0011,0.8489,11
160,302,11,0.0010,0.8499,9
161,226,11,0.0010,0.8509,9
162,595,11,0.0010,0.8520,10
163,520,11,0.0010,0.8530,7
164,033,11,0.0010,0.8540,11
165,510,11,0.0010,0.8550,11
166,124,11,0.0010,0.8561,11
167,031,10,0.0009,0.8570,9
168,736,10,0.0009,0.8579,9
169,324,10,0.0009,0.8589,9
170,540,10,0.0009,0.8598,7
171,222,10,0.0009,0.8608,8
172,037,10,0.0009,0.8617,9
173,726,10,0.0009,0.8626,10
174,65,9,0.0008,0.8635,9
175,711,9,0.0008,0.8643,5
176,014,9,0.0008,0.8651,7
177,126,9,0.0008,0.8660,9
178,097,9,0.0008,0.8668,7
179,246,9,0.0008,0.8677,5
180,088,9,0.0008,0.8685,7
181,211,9,0.0008,0.8694,9
182,666,9,0.0008,0.8702,5
183,216,9,0.0008,0.8710,7
184,123,9,0.0008,0.8719,6
185,493,9,0.0008,0.8727,9
186,043,9,0.0008,0.8736,6
187,052,9,0.0008,0.8744,8
188,304,9,0.0008,0.8752,6
189,308,9,0.0008,0.8761,5
190,224,9,0.0008,0.8769,8
191,035,9,0.0008,0.8778,9
192,633,9,0.0008,0.8786,9
193,098,9,0.0008,0.8795,8
194,356,9,0.0008,0.8803,5
195,201,8,0.0007,0.8810,8
196,461,8,0.0007,0.8818,5
197,535,8,0.0007,0.8825,8
198,575,8,0.0007,0.8833,6
199,109,8,0.0007,0.8840,4
200,500,8,0.0007,0.8848,6
201,752,8,0.0007,0.8855,5
202,590,8,0.0007,0.8863,8
203,141,8,0.0007,0.8870,7
204,116,8,0.0007,0.8878,5
205,102,8,0.0007,0.8885,7
206,407,8,0.0007,0.8893,5
207,480,8,0.0007,0.8900,6
208,20),8,0.0007,0.8908,8
209,684,8,0.0007,0.8915,4
210,406,8,0.0007,0.8923,6
211,146,8,0.0007,0.8930,7
212,4,7,0.0007,0.8937,7
213,298,7,0.0007,0.8943,7
214,774,7,0.0007,0.8950,7
215,610,7,0.0007,0.8956,6
216,570,7,0.0007,0.8963,6
217,140,7,0.0007,0.8969,3
218,036,7,0.0007,0.8976,7
219,721,7,0.0007,0.8983,4
220,8),7,0.0007,0.8989,4
221,4),7,0.0007,0.8996,2
222,790,7,0.0007,0.9002,7
223,534,7,0.0007,0.9009,4
224,690,7,0.0007,0.9015,6
225,11,6,0.0006,0.9021,6
226,325,6,0.0006,0.9026,6
227,664,6,0.0006,0.9032,4
228,232,6,0.0006,0.9038,5
229,255,6,0.0006,0.9043,5
230,096,6,0.0006,0.9049,6
231,383,6,0.0006,0.9055,6
232,039,6,0.0006,0.9060,5
233,370,6,0.0006,0.9066,4
234,378,6,0.0006,0.9071,6
235,401,6,0.0006,0.9077,4
236,276,6,0.0006,0.9083,4
237,602,6,0.0006,0.9088,5
238,309,6,0.0006,0.9094,5
239,110,6,0.0006,0.9099,4
240,230,6,0.0006,0.9105,4
241,128,6,0.0006,0.9111,6
242,089,6,0.0006,0.9116,6
243,129,6,0.0006,0.9122,6
244,168,6,0.0006,0.9127,6
245,161,6,0.0006,0.9133,6
246,190,5,0.0005,0.9138,5
247,678,5,0.0005,0.9142,5
248,160,5,0.0005,0.9147,5
249,366,5,0.0005,0.9152,3
250,446,5,0.0005,0.9156,3
251,375,5,0.0005,0.9161,3
252,085,5,0.0005,0.9166,5
253,410,5,0.0005,0.9170,5
254,094,5,0.0005,0.9175,4
255,742,5,0.0005,0.9180,5
256,012,5,0.0005,0.9185,5
257,580,5,0.0005,0.9189,4
258,675,5,0.0005,0.9194,3
259,133,5,0.0005,0.9199,4
260,235,5,0.0005,0.9203,4
261,083,5,0.0005,0.9208,3
262,166,5,0.0005,0.9213,5
263,100,5,0.0005,0.9217,4
264,032,5,0.0005,0.9222,5
265,191,5,0.0005,0.9227,4
266,132,5,0.0005,0.9231,3
267,545,5,0.0005,0.9236,3
268,536,5,0.0005,0.9241,5
269,371,5,0.0005,0.9245,4
270,685,5,0.0005,0.9250,3
271,3),5,0.0005,0.9255,1
272,162,5,0.0005,0.9259,2
273,270,5,0.0005,0.9264,3
274,372,5,0.0005,0.9269,2
275,455,5,0.0005,0.9273,2
276,724,5,0.0005,0.9278,5
277,466,5,0.0005,0.9283,4
278,589,5,0.0005,0.9287,2
279,150,5,0.0005,0.9292,5
280,472,5,0.0005,0.9297,5
281,8,4,0.0004,0.9300,4
282,1,4,0.0004,0.9304,4
283,539,4,0.0004,0.9308,4
284,103,4,0.0004,0.9312,3
285,737,4,0.0004,0.9315,3
286,321,4,0.0004,0.9319,4
287,593,4,0.0004,0.9323,3
288,387,4,0.0004,0.9327,3
289,303,4,0.0004,0.9330,3
290,311,4,0.0004,0.9334,3
291,286,4,0.0004,0.9338,4
292,746,4,0.0004,0.9342,4
293,165,4,0.0004,0.9345,4
294,697,4,0.0004,0.9349,4
295,771,4,0.0004,0.9353,4
296,038,4,0.0004,0.9357,4
297,569,4,0.0004,0.9360,4
298,558,4,0.0004,0.9364,2
299,263,4,0.0004,0.9368,4
300,780,4,0.0004,0.9372,3
301,624,4,0.0004,0.9375,3
302,307,4,0.0004,0.9379,3
303,733,4,0.0004,0.9383,2
304,225,4,0.0004,0.9387,4
305,594,4,0.0004,0.9390,3
306,042,4,0.0004,0.9394,3
307,315,4,0.0004,0.9398,2
308,281,4,0.0004,0.9401,2
309,671,4,0.0004,0.9405,2
310,107,4,0.0004,0.9409,3
311,294,4,0.0004,0.9413,4
312,5),4,0.0004,0.9416,2
313,609,4,0.0004,0.9420,3
314,776,4,0.0004,0.9424,4
315,082,4,0.0004,0.9428,4
316,592,4,0.0004,0.9431,1
317,588,4,0.0004,0.9435,2
318,554,4,0.0004,0.9439,1
319,10),4,0.0004,0.9443,2
320,322,4,0.0004,0.9446,3
321,702,4,0.0004,0.9450,2
322,464,4,0.0004,0.9454,1
323,504,4,0.0004,0.9458,3
324,120,4,0.0004,0.9461,2
325,729,4,0.0004,0.9465,4
326,075,4,0.0004,0.9469,4
327,6),4,0.0004,0.9473,0
328,125,4,0.0004,0.9476,4
329,669,4,0.0004,0.9480,0
330,7,3,0.0003,0.9483,3
331,394,3,0.0003,0.9486,3
332,498,3,0.0003,0.9488,3
333,27,3,0.0003,0.9491,3
334,701,3,0.0003,0.9494,3
335,583,3,0.0003,0.9497,3
336,058,3,0.0003,0.9500,3
337,748,3,0.0003,0.9502,3
338,735,3,0.0003,0.9505,3
339,242,3,0.0003,0.9508,3
