rank,sign,count_full,share_full,cum_share_full,count_one_witness
1,001,340,0.0318,0.0318,276
2,002,333,0.0311,0.0629,296
3,600,224,0.0209,0.0839,173
4,022,193,0.0180,0.1019,158
5,700,187,0.0175,0.1194,162
6,004,185,0.0173,0.1367,155
7,005,142,0.0133,0.1500,128
8,007,119,0.0111,0.1611,98
9,040,117,0.0109,0.1721,106
10,200,109,0.0102,0.1823,83
11,280,107,0.0100,0.1923,82
12,070,101,0.0094,0.2017,87
13,670,86,0.0080,0.2098,74
14,430,86,0.0080,0.2178,70
15,050,86,0.0080,0.2258,67
16,006,81,0.0076,0.2334,76
17,090,77,0.0072,0.2406,62
18,008,76,0.0071,0.2477,60
19,522,75,0.0070,0.2547,64
20,381,72,0.0067,0.2615,50
21,020,70,0.0065,0.2680,49
22,076,69,0.0065,0.2745,69
23,004.064,65,0.0061,0.2806,50
24,090.076,64,0.0060,0.2865,64
25,053,63,0.0059,0.2924,55
26,755,63,0.0059,0.2983,50
27,048,63,0.0059,0.3042,51
28,011,61,0.0057,0.3099,49
29,060,56,0.0052,0.3152,42
30,021,56,0.0052,0.3204,33
31,091,55,0.0051,0.3255,49
32,009,52,0.0049,0.3304,41
33,081,52,0.0049,0.3353,32
34,071,51,0.0048,0.3400,50
35,739,50,0.0047,0.3447,41
36,205,50,0.0047,0.3494,39
37,380.001,50,0.0047,0.3541,46
38,400,49,0.0046,0.3586,38
39,027,49,0.0046,0.3632,37
40,380.001.003,49,0.0046,0.3678,30
41,044,47,0.0044,0.3722,35
42,066,46,0.0043,0.3765,38
43,034,46,0.0043,0.3808,32
44,607,44,0.0041,0.3849,42
45,095,44,0.0041,0.3890,39
46,059,42,0.0039,0.3930,39
47,430.076,42,0.0039,0.3969,40
48,067,41,0.0038,0.4007,27
49,099,40,0.0037,0.4045,29
50,063,40,0.0037,0.4082,39
51,144,37,0.0035,0.4117,21
52,254,37,0.0035,0.4151,30
53,073.006,37,0.0035,0.4186,30
54,290,36,0.0034,0.4220,28
55,045,36,0.0034,0.4253,18
56,065,36,0.0034,0.4287,26
57,385,35,0.0033,0.4320,30
58,300,34,0.0032,0.4351,28
59,093,34,0.0032,0.4383,28
60,041,33,0.0031,0.4414,30
61,631,32,0.0030,0.4444,29
62,760,32,0.0030,0.4474,31
63,301,30,0.0028,0.4502,20
64,530,30,0.0028,0.4530,28
65,306,29,0.0027,0.4557,27
66,003,29,0.0027,0.4584,26
67,206,28,0.0026,0.4610,19
68,015,28,0.0026,0.4637,13
69,073,27,0.0025,0.4662,23
70,079,27,0.0025,0.4687,20
71,069,27,0.0025,0.4712,18
72,450,27,0.0025,0.4738,21
73,047,27,0.0025,0.4763,23
74,710,27,0.0025,0.4788,0
75,046,26,0.0024,0.4812,24
76,730,26,0.0024,0.4837,21
77,020.010,26,0.0024,0.4861,22
78,440,25,0.0023,0.4885,14
79,306.003,25,0.0023,0.4908,15
80,057,25,0.0023,0.4931,20
81,030,25,0.0023,0.4955,15
82,055,25,0.0023,0.4978,24
83,680,24,0.0022,0.5000,22
84,017,24,0.0022,0.5023,22
85,002.010,24,0.0022,0.5045,17
86,006.074,24,0.0022,0.5068,20
87,092,24,0.0022,0.5090,24
88,741,23,0.0022,0.5112,23
89,001.006,23,0.0022,0.5133,22
90,660,23,0.0022,0.5155,21
91,451,23,0.0022,0.5176,16
92,074,23,0.0022,0.5198,17
93,386,22,0.0021,0.5218,18
94,209,22,0.0021,0.5239,9
95,204,22,0.0021,0.5260,17
96,025,21,0.0020,0.5279,17
97,770,21,0.0020,0.5299,19
98,326,21,0.0020,0.5318,17
99,202,21,0.0020,0.5338,13
100,431,21,0.0020,0.5358,5
101,049,20,0.0019,0.5376,17
102,068,20,0.0019,0.5395,20
103,203,20,0.0019,0.5414,17
104,208,19,0.0018,0.5432,16
105,256,19,0.0018,0.5449,15
106,080,19,0.0018,0.5467,19
107,606,19,0.0018,0.5485,11
108,700.076,19,0.0018,0.5503,19
109,532,19,0.0018,0.5520,19
110,384,18,0.0017,0.5537,18
111,470,18,0.0017,0.5554,15
112,207,18,0.0017,0.5571,18
113,605,18,0.0017,0.5588,16
114,630,18,0.0017,0.5605,15
115,077,18,0.0017,0.5621,11
116,019,18,0.0017,0.5638,14
117,072,18,0.0017,0.5655,12
118,084,17,0.0016,0.5671,12
119,420,16,0.0015,0.5686,16
120,599,16,0.0015,0.5701,9
121,305,16,0.0015,0.5716,11
122,025.009.005,16,0.0015,0.5731,16
123,056,16,0.0015,0.5746,10
124,001.010,16,0.0015,0.5761,10
125,001.062,16,0.0015,0.5776,14
126,071.076,16,0.0015,0.5791,16
127,117,15,0.0014,0.5805,10
128,260.001,15,0.0014,0.5819,11
129,004.430,15,0.0014,0.5833,15
130,591,15,0.0014,0.5847,11
131,745,14,0.0013,0.5860,14
132,011.010,14,0.0013,0.5873,8
133,460,14,0.0013,0.5886,12
134,2),14,0.0013,0.5899,8
135,002.076,14,0.0013,0.5912,14
136,382,14,0.0013,0.5925,8
137,604.076,14,0.0013,0.5938,14
138,001.063,13,0.0012,0.5951,10
139,608,13,0.0012,0.5963,11
140,054,13,0.0012,0.5975,11
141,022.380,13,0.0012,0.5987,13
142,200.001,13,0.0012,0.5999,8
143,376,13,0.0012,0.6011,9
144,22,12,0.0011,0.6023,12
145,316,12,0.0011,0.6034,8
146,004.600,12,0.0011,0.6045,8
147,016,12,0.0011,0.6056,10
148,087,12,0.0011,0.6068,11
149,078,12,0.0011,0.6079,5
150,001.009.005,12,0.0011,0.6090,11
151,001.052,12,0.0011,0.6101,9
152,067.010,12,0.0011,0.6112,7
153,023,12,0.0011,0.6124,12
154,013,12,0.0011,0.6135,10
155,028,12,0.0011,0.6146,10
156,244,12,0.0011,0.6157,10
157,001.076,12,0.0011,0.6169,12
158,260,12,0.0011,0.6180,6
159,606.076,12,0.0011,0.6191,12
160,291,11,0.0010,0.6201,11
161,026,11,0.0010,0.6212,8
162,773,11,0.0010,0.6222,6
163,010.001,11,0.0010,0.6232,8
164,215,11,0.0010,0.6242,8
165,124,11,0.0010,0.6253,11
166,302,10,0.0009,0.6262,8
167,600.004,10,0.0009,0.6271,7
168,029,10,0.0009,0.6281,10
169,093.003,10,0.0009,0.6290,7
170,024,10,0.0009,0.6299,8
171,065.003,10,0.0009,0.6309,6
172,064,10,0.0009,0.6318,10
173,004.003,10,0.0009,0.6328,6
174,062.006,10,0.0009,0.6337,4
175,700.010,10,0.0009,0.6346,9
176,051,10,0.0009,0.6356,9
177,445,9,0.0008,0.6364,6
178,060.003,9,0.0008,0.6372,7
179,014,9,0.0008,0.6381,7
