headword,syllables,source,gloss
mei,2,Churchill/Roussel,"a,  from  that  place,  thence,  hence,"
aa,2,Churchill/Roussel,"cascade,  flood,  to  inundate."
aaki,3,Churchill/Roussel,"to  affirm,  to  assure,  to  avow,  to  confess,"
tae,2,Churchill/Roussel,"aaki,  discreet,  to  deny."
aana,3,Churchill/Roussel,his.
poki,2,Churchill/Roussel,"aana,  legitimate  child."
aanu,3,Churchill/Roussel,"saliva,  spittle,  to  spit."
aaru,3,Churchill/Roussel,to  raise.
aati,3,Churchill/Roussel,to  imitate.
aha,2,Churchill/Roussel,"which,  what."
ma,1,Churchill/Roussel,"aha,  no  te  aha,  ei  aha,  on  account"
range,2,Churchill/Roussel,of  the  Melanesian  forms  of  the  neuter
mutation,4,Churchill/Roussel,in  the  unaccented  syllable  which
ahatu,3,Churchill/Roussel,to  stretch  out.
moe,2,Churchill/Roussel,"vae  ahatu,  to  lie  with  the  legs"
ahau,3,Churchill/Roussel,a  scar.
ahe,2,Churchill/Roussel,"migraine,  headache,     (eahe.)"
aea,3,Churchill/Roussel,form  of  Mangareva  is  repeated  in
ahere,3,Churchill/Roussel,"koroiti,  to  run  lightly."
rava,2,Churchill/Roussel,"ahere,  agile,  without  fixed  abode,"
ahi,2,Churchill/Roussel,"hakapura,  match."
ahiahi,4,Churchill/Roussel,"afternoon,  night."
kai,2,Churchill/Roussel,"ahiahi,  supper."
ki,1,Churchill/Roussel,"aho,  out  of  doors,  outside."
tokerau,4,Churchill/Roussel,"aho,  west."
ahu,2,Churchill/Roussel,"to  transfer,  to  transplant,  to  take  up"
ahuahu,4,Churchill/Roussel,"to  swell,  plump,  elephantiasis,"
vai,2,Churchill/Roussel,"in  the  Paumotu  and  Tahiti,  wai  in"
ai,2,Churchill/Roussel,then.
aia,3,Churchill/Roussel,look!
ainara,4,Churchill/Roussel,"here,  ready  to,  to  place."
aita,3,Churchill/Roussel,no.
aite,3,Churchill/Roussel,"to  represent  (a  causative,  ite),  (haite)."
aka,2,Churchill/Roussel,root.
akarau,4,Churchill/Roussel,"to  bite  at  the  hook,  to  nibble."
akari,3,Churchill/Roussel,"aspect,  physiognomy,  stature,  matter."
akatari,4,Churchill/Roussel,"gift,  pledge,  to  recompense,  to  ran-"
kanoho,3,Churchill/Roussel,to  set  in  order.
akatarika,5,Churchill/Roussel,gain.
akoako,4,Churchill/Roussel,"to  learn,  to  teach,  to  undertake,  to"
aku,2,Churchill/Roussel,ball.
akuaku,4,Churchill/Roussel,noise  when  swallowing.
amo,2,Churchill/Roussel,"a  yoke,  to  carry."
amoamo,4,Churchill/Roussel,"to  feed,  to  graze."
amokio,4,Churchill/Roussel,together.
ana,2,Churchill/Roussel,"cave,  grotto,  hole  in  the  rock."
mee,2,Churchill/Roussel,"koe  ana  ie  ariki,  the  Lord  be  with"
anake,3,Churchill/Roussel,unique.
piri,2,Churchill/Roussel,"mai  te  tagata  ananake,  public."
koona,3,Churchill/Roussel,"ananake,  everywhere."
anani,3,Churchill/Roussel,orange.
orange,3,Churchill/Roussel,would  more  readily  become  oragi.  .
aniani,4,Churchill/Roussel,onion.
anio,3,Churchill/Roussel,lamb  {agneau).
anoano,4,Churchill/Roussel,abyss.
topa,2,Churchill/Roussel,kia  in  te  ao  reign.
hakatopa,4,Churchill/Roussel,"ki  te  ao,  to  confer  rank."
ka,1,Churchill/Roussel,"tu  tokoe  aho,  thy  kingdom  come."
aomai,4,Churchill/Roussel,to  proceed.
apaihoru,5,Churchill/Roussel,"taiiiaroa,  buck."
api,2,Churchill/Roussel,"sluice,  bung."
apitaht,3,Churchill/Roussel,"to  serve,  sers'iceable."
apo,2,Churchill/Roussel,"to-morrow,  the  next  night,   (o  8-/>o)."
apoera,4,Churchill/Roussel,"o  te  po  nei,  to-morrow."
ara,2,Churchill/Roussel,"path,  trail,  road,  way."
veve,2,Churchill/Roussel,"ara,  to  awaken."
araha,3,Churchill/Roussel,"araha  hauha,  to  wait  for,  to  look  for-"
arakea,4,Churchill/Roussel,"abscess,  bubo,  boil,  fester,  scrofula,"
arero,3,Churchill/Roussel,the  tongue  (areto  Q).
