id,tablet,side,line,pos,delimiter,len,entry
0,C,Ca,Ca02,24,380.001,2,067.022f-067.001
1,C,Ca,Ca03,1,380.001,3,022f-254.063-005t
2,C,Ca,Ca03,5,380.001,4,022f-243-001t-004.052x
3,C,Ca,Ca03,10,380.001,4,022f.254-029-074?-017
4,C,Ca,Ca03,15,380.001,2,022f.252-252f
5,C,Ca,Ca03,18,380.001,3,022f.254-050.010-079
6,C,Cb,Cb02,8,380.001,8,067.010f-067-730-670-001-631-571-700
7,C,Cb,Cb02,17,380.001,6,600.064-400-064-660y-064h-660
8,C,Cb,Cb02,24,380.001,5,370-379.013-379.013-000!-001?.006
9,C,Cb,Cb03,3,380.001,3,001.072-077-027.711
10,C,Cb,Cb03,7,380.001,5,003.254-010?.430-254-097a-001
11,C,Cb,Cb03,13,380.001,2,607-255
12,C,Cb,Cb03,16,380.001,4,001.062f-001.008-001.062f-001.062fx
13,C,Cb,Cb03,21,380.001,3,607-001.607-607
14,C,Cb,Cb04,2,380.001,4,090-001-007-053
15,C,Cb,Cb04,7,380.001,4,605.700x-605.700x-605.700x-670
16,C,Cb,Cb04,12,380.001,5,660.005-064h-660.005-064h-660.005
17,E,Ev,Ev02,15,380.001,5,739.400-400.004-700-004-700
18,E,Ev,Ev02,21,380.001,4,022f.071-343-044t-697
19,E,Ev,Ev02,26,380.001,2,600.591.006-400.591
20,E,Ev,Ev03,0,380.001,5,204s-002-001-007-326
21,E,Ev,Ev03,6,380.001,12,070-040.211x?.003-290.095-062?.004?-009-062.006-001-006-001?-006.003-670.711-091.711
22,E,Ev,Ev03,19,380.001,6,007-067.010f-067.010t.490-001t-670-580
23,E,Ev,Ev03,26,380.001,2,245.022f-004.004
24,E,Ev,Ev03,29,380.001,2,022f.071-063.001?
25,E,Ev,Ev03,32,380.001,7,002-760-050-002-760-050-002
26,E,Ev,Ev04,1,380.001,4,088-001-047-001.061?
27,E,Ev,Ev04,6,380.001,5,280-001-280-002-001
28,E,Ev,Ev04,12,380.001,8,001f-057-001-001f-163-200-001.062-522fy
29,E,Ev,Ev04,21,380.001,3,607-607-650y
30,E,Ev,Ev04,25,380.001,1,200.070.003
31,E,Ev,Ev04,27,380.001,3,376s-001-001V
32,E,Ev,Ev05,10,380.001,3,088-047.010-001.061
33,E,Ev,Ev05,14,380.001,4,207-040h-073.006-053
34,E,Ev,Ev05,19,380.001,2,028.200-019
35,E,Ev,Ev05,22,380.001,3,172-631-009:008
36,E,Ev,Ev05,26,380.001,3,091-774-581.011
37,G,Gr,Gr03,6,380.001.003,3,602.009-232-600
38,G,Gr,Gr03,10,380.001.003,6,595.005-122-280-067-059f-069.700
39,G,Gr,Gr03,17,380.001.003,2,002-609
40,G,Gr,Gr03,20,380.001.003,1,597
41,G,Gr,Gr03,22,380.001.003,2,059f-720
42,G,Gr,Gr04,0,380.001.003,3,200-092-001
43,G,Gr,Gr04,4,380.001.003,1,005.006.010
44,G,Gr,Gr04,6,380.001.003,1,315
45,G,Gr,Gr04,8,380.001.003,2,090-001
46,G,Gr,Gr04,11,380.001.003,1,316s
47,G,Gr,Gr04,13,380.001.003,3,602.003-007-093.075
48,G,Gr,Gr04,17,380.001.003,2,002-684
49,G,Gr,Gr04,20,380.001.003,4,019-019-001-000!
50,G,Gr,Gr05,0,380.001.003,2,062x.007-001
51,G,Gr,Gr05,3,380.001.003,5,216s-020-007-320.070-600
52,G,Gr,Gr05,9,380.001.003,6,290.020-079-280-002-280-030a
53,G,Gr,Gr05,16,380.001.003,4,088-001-047-001
54,G,Gr,Gr05,21,380.001.003,9,280-001-521-280-001-521-001-022.061-280
55,G,Gr,Gr05,31,380.001.003,4,001-001.062-001.003-522
56,G,Gr,Gr06,4,380.001.003,3,731s-670-001
57,G,Gr,Gr06,8,380.001.003,2,022.370y-371
58,G,Gr,Gr06,11,380.001.003,4,090-001-607-371
59,G,Gr,Gr06,16,380.001.003,1,256.003
60,G,Gr,Gr06,18,380.001.003,1,633
61,G,Gr,Gr06,20,380.001.003,2,005-066
62,G,Gr,Gr06,23,380.001.003,2,290.001-066
63,G,Gr,Gr06,26,380.001.003,2,003.003.004-215
64,G,Gr,Gr07,0,380.001.003,3,079-450-019.069
65,G,Gr,Gr07,4,380.001.003,5,162-522f-050f-002-450
66,K,Kr,Kr04,0,380.001.003,2,402-009
67,K,Kr,Kr04,3,380.001,3,595.005-122-280
68,K,Kr,Kr04,7,380.001,2,002-409
69,K,Kr,Kr04,10,380.001.003,1,597
70,K,Kr,Kr04,12,380.001.003,4,059f-720-380.022-090f
71,K,Kr,Kr05,1,380.001.003,1,005.006.010
72,K,Kr,Kr05,3,380.001.003,1,315
73,K,Kr,Kr05,5,380.001.003,1,090.001
74,K,Kr,Kr05,7,380.001.003,1,316s
75,K,Kv,Kv02,5,380.001.003,3,062.001-001.003-522
76,K,Kv,Kv02,9,380.001,3,733-670-001
77,K,Kv,Kv02,13,380.001.003,2,371-001
78,K,Kv,Kv03,0,380.001.003,5,090-001-607-376-053
79,K,Kv,Kv03,6,380.001.003,1,003.246.003
80,K,Kv,Kv03,8,380.001.003,1,400V
81,K,Kv,Kv03,10,380.001.003,2,005-066
82,K,Kv,Kv03,13,380.001.003,2,290-001.009
83,K,Kv,Kv04,0,380.001.003,2,003.003.004-215
84,K,Kv,Kv04,3,380.001.003,4,079-450-019-069
85,K,Kv,Kv04,8,380.001.003,4,162-522-050-002.450
86,N,Na,Na02,13,380.001.052,5,401-067-600-600.004-606
87,N,Na,Na02,19,380.001.052,5,356-000!-000!-380-001
88,N,Na,Na03,19,380.001.052,9,400?.022-000!-000!-207?-073.064-053-001.711-200.022-057
89,N,Na,Na04,8,380.001.052,6,207-053-205s-001-290.001-584
90,N,Na,Na04,15,380.001.052,4,607-009.006-607-009.006
91,S,Sa,Sa03,26,380.001,5,555-091-008-053-007
92,S,Sa,Sa03,32,380.001,4,600-062.009-232s-600
