family,tablets,members,line,entry
1,CGKS,4,Cb04,090-001-007-053
1,CGKS,4,Gr06,090-001-607-371
1,CGKS,4,Kv03,090-001-607-376-053
1,CGKS,4,Sa03,555-091-008-053-007
2,EN,4,Ev04,001f-057-001-001f-163-200-001.062-522fy
2,EN,4,Ev05,207-040h-073.006-053
2,EN,4,Na03,400?.022-000!-000!-207?-073.064-053-001.711-200.022-057
2,EN,4,Na04,207-053-205s-001-290.001-584
3,CE,3,Ca02,067.022f-067.001
3,CE,3,Cb02,067.010f-067-730-670-001-631-571-700
3,CE,3,Ev03,007-067.010f-067.010t.490-001t-670-580
4,CE,3,Cb02,600.064-400-064-660y-064h-660
4,CE,3,Cb04,660.005-064h-660.005-064h-660.005
4,CE,3,Ev02,600.591.006-400.591
5,EG,3,Ev04,088-001-047-001.061?
5,EG,3,Ev05,088-047.010-001.061
5,EG,3,Gr05,088-001-047-001
6,CE,2,Cb03,607-001.607-607
6,CE,2,Ev04,607-607-650y
7,EG,2,Ev04,280-001-280-002-001
7,EG,2,Gr05,290.020-079-280-002-280-030a
8,GS,2,Gr03,602.009-232-600
8,GS,2,Sa03,600-062.009-232s-600
9,GK,2,Gr03,595.005-122-280-067-059f-069.700
9,GK,2,Kr04,595.005-122-280
10,GK,2,Gr03,059f-720
10,GK,2,Kr04,059f-720-380.022-090f
11,GK,2,Gr07,079-450-019.069
11,GK,2,Kv04,079-450-019-069
12,GK,2,Gr07,162-522f-050f-002-450
12,GK,2,Kv04,162-522-050-002.450
