series,kind,size,types,types_lo,types_hi,hapax_share,hapax_lo,hapax_hi,top10_share,top10_lo,top10_hi,zipf_top200,zipf_lo,zipf_hi
units,glyphs,8688,2067,,,0.6347,,,0.1887,,,0.8496,,
heads,glyphs,8688,649,,,0.3005,,,0.2742,,,0.9667,,
maori words,reference,8688,862.4467,600.9000,1478.8250,0.4747,0.3858,0.6257,0.3947,0.3537,0.4370,1.1116,1.0147,1.1800
maori syllables,reference,8688,47.1167,46.0000,49.0000,0.0108,0.0000,0.0417,0.5724,0.5380,0.6057,1.2921,1.1442,1.4850
tahitian words,reference,8688,659.9300,522.9000,829.5250,0.4573,0.3982,0.5081,0.4560,0.4276,0.4948,1.2053,1.1378,1.3065
tahitian syllables,reference,8688,41.4900,39.0000,43.0000,0.0322,0.0000,0.0732,0.7440,0.7184,0.7698,1.7237,1.5566,1.8898
Rapa Nui words,Rapa Nui,2947,773,,,0.5602,,,0.2878,,,0.9185,,
Rapa Nui syllables,Rapa Nui,2947,48,,,0.0417,,,0.5680,,,1.1916,,
units at Rapa Nui's size,glyph windows,2947,913.9967,838.0000,958.0000,0.6453,0.5962,0.6776,0.2011,0.1737,0.2214,0.8542,0.7740,0.9335
heads at Rapa Nui's size,glyph windows,2947,382.8967,363.0000,410.0000,0.3681,0.3238,0.3995,0.2947,0.2672,0.3191,0.9934,0.9158,1.0666
