series,tokens,types_mean,types_lo,types_hi
units,724,360,360,360
units,1448,567,567,567
units,2172,793,793,793
units,2896,954,954,954
units,3620,1107,1107,1107
units,4344,1269,1269,1269
units,5068,1446,1446,1446
units,5792,1607,1607,1607
units,6516,1755,1755,1755
units,7240,1872,1872,1872
units,7964,1964,1964,1964
units,8688,2067,2067,2067
heads,724,236,236,236
heads,1448,300,300,300
heads,2172,385,385,385
heads,2896,423,423,423
heads,3620,454,454,454
heads,4344,504,504,504
heads,5068,544,544,544
heads,5792,571,571,571
heads,6516,611,611,611
heads,7240,627,627,627
heads,7964,640,640,640
heads,8688,649,649,649
maori words,724,193.12666666666667,143.9,265.57499999999993
maori words,1448,298.37,216.95,427.04999999999995
maori words,2172,382.65,278.475,567.8249999999997
maori words,2896,454.5566666666667,321.95,695.05
maori words,3620,517.84,361.0,809.6249999999999
maori words,4344,576.1566666666666,399.9,915.1999999999998
maori words,5068,629.2166666666667,447.475,1010.0999999999999
maori words,5792,680.9533333333334,482.9,1100.5749999999998
maori words,6516,729.2366666666667,526.9,1194.725
maori words,7240,775.6533333333333,554.225,1296.525
maori words,7964,820.3766666666667,581.425,1392.5749999999998
maori words,8688,862.4466666666667,600.9,1478.8249999999998
maori syllables,724,42.64,39.0,46.0
maori syllables,1448,44.86666666666667,42.0,47.0
maori syllables,2172,45.7,43.0,48.0
maori syllables,2896,46.13666666666666,44.0,48.0
maori syllables,3620,46.346666666666664,44.0,48.0
maori syllables,4344,46.53333333333333,45.0,48.0
maori syllables,5068,46.66,45.0,48.0
maori syllables,5792,46.79666666666667,45.0,49.0
maori syllables,6516,46.87,46.0,49.0
maori syllables,7240,46.973333333333336,46.0,49.0
maori syllables,7964,47.05,46.0,49.0
maori syllables,8688,47.11666666666667,46.0,49.0
tahitian words,724,163.9,122.475,198.52499999999998
tahitian words,1448,246.04666666666665,185.85,305.0
tahitian words,2172,309.37333333333333,233.475,388.0
tahitian words,2896,363.7,274.95,458.0999999999999
tahitian words,3620,411.6333333333333,305.475,518.525
tahitian words,4344,455.24,347.475,574.05
tahitian words,5068,494.77666666666664,382.475,628.05
tahitian words,5792,531.8366666666667,412.75,675.6499999999994
tahitian words,6516,567.0533333333333,452.85,724.1999999999998
tahitian words,7240,599.93,487.475,763.0
tahitian words,7964,630.6066666666667,506.425,797.0999999999999
tahitian words,8688,659.93,522.9,829.525
tahitian syllables,724,34.96666666666667,31.0,38.0
tahitian syllables,1448,37.626666666666665,34.475,40.0
tahitian syllables,2172,38.68666666666667,36.0,41.52499999999998
tahitian syllables,2896,39.42666666666667,37.0,42.0
tahitian syllables,3620,39.94,38.0,42.0
tahitian syllables,4344,40.27,38.0,43.0
tahitian syllables,5068,40.57,38.0,43.0
tahitian syllables,5792,40.81666666666667,39.0,43.0
tahitian syllables,6516,40.99666666666667,39.0,43.0
tahitian syllables,7240,41.17,39.0,43.0
tahitian syllables,7964,41.34,39.0,43.0
tahitian syllables,8688,41.49,39.0,43.0
