line,barthel_units,metoro_groups,ratio
Aa01,84,101,1.20
Aa02,83,90,1.08
Aa03,75,83,1.11
Aa04,83,93,1.12
Aa05,85,92,1.08
Aa06,88,90,1.02
Aa07,92,112,1.22
Aa08,88,107,1.22
Ab01,78,82,1.05
Ab02,88,92,1.05
Ab03,79,103,1.30
Ab04,81,98,1.21
Ab05,82,98,1.20
Ab06,91,115,1.26
Ab07,83,94,1.13
Ab08,77,93,1.21
Br01,52,44,0.85
Br02,40,45,1.12
Br03,40,41,1.02
Br04,44,37,0.84
Br05,43,33,0.77
Br06,47,58,1.23
Br07,42,49,1.17
Br08,46,49,1.07
Br09,49,56,1.14
Br10,34,36,1.06
Bv01,30,35,1.17
Bv02,46,59,1.28
Bv03,44,51,1.16
Bv04,43,55,1.28
Bv05,40,50,1.25
Bv06,41,48,1.17
Bv07,43,55,1.28
Bv08,43,62,1.44
Bv09,52,63,1.21
Bv10,42,45,1.07
Bv11,44,54,1.23
Bv12,42,63,1.50
Ca01,30,27,0.90
Ca02,26,26,1.00
Ca03,26,29,1.12
Ca04,29,31,1.07
Ca05,33,32,0.97
Ca06,29,25,0.86
Ca07,32,29,0.91
Ca08,30,25,0.83
Ca09,27,26,0.96
Ca10,29,31,1.07
Ca11,33,29,0.88
Ca12,28,29,1.04
Ca13,19,21,1.11
Ca14,25,28,1.12
Cb01,29,27,0.93
Cb02,27,34,1.26
Cb03,22,33,1.50
Cb04,25,29,1.16
Cb05,22,24,1.09
Cb06,29,29,1.00
Cb07,27,30,1.11
Cb08,30,30,1.00
Cb09,29,33,1.14
Cb10,22,30,1.36
Cb11,27,30,1.11
Cb12,24,27,1.12
Cb13,31,31,1.00
Cb14,19,21,1.11
Er01,33,38,1.15
Er02,41,46,1.12
Er03,39,45,1.15
Er04,38,52,1.37
Er05,42,51,1.21
Er06,38,47,1.24
Er07,41,47,1.15
Er08,32,46,1.44
Er09,34,39,1.15
Ev01,40,41,1.02
Ev02,29,45,1.55
Ev03,39,48,1.23
Ev04,42,53,1.26
Ev05,37,44,1.19
Ev06,38,45,1.18
Ev07,43,45,1.05
Ev08,41,41,1.00
