matched_units,runs,side_a,from_a,to_a,side_b,from_b,to_b
64,7,Hr,Hr02@49,Hr04@0,Qr,Qr02@19,Qr03@40
46,6,Gr,Gr02@3,Gr04@8,Kr,Kr02@13,Kr05@5
33,3,Hr,Hr05@43,Hr06@4,Qr,Qr05@35,Qr05@54
25,2,Pv,Pv04@33,Pv04@50,Qv,Qv05@5,Qv05@22
23,2,Hr,Hr06@57,Hr07@12,Pr,Pr06@23,Pr06@42
22,3,Gr,Gr06@19,Gr07@14,Kv,Kv03@9,Kv04@17
19,2,Ca,Ca07@25,Ca08@7,Ca,Ca08@12,Ca08@26
18,2,Hr,Hr06@55,Hr07@10,Qr,Qr06@22,Qr06@41
17,1,Hr,Hr04@32,Hr04@48,Pr,Pr04@19,Pr04@35
16,2,Ca,Ca08@0,Ca08@15,Ca,Ca08@8,Ca08@26
16,2,Pr,Pr05@6,Pr05@24,Qr,Qr05@14,Qr05@31
15,2,Hr,Hr05@24,Hr05@35,Pr,Pr05@6,Pr05@18
15,1,Hv,Hv02@22,Hv02@36,Qv,Qv05@6,Qv05@20
15,1,Hv,Hv07@18,Hv07@32,Pv,Pv08@54,Pv09@3
14,1,Hr,Hr07@31,Hr07@44,Qr,Qr07@16,Qr07@29
14,1,Hr,Hr05@56,Hr06@11,Pr,Pr05@44,Pr05@57
14,2,Hr,Hr07@30,Hr07@45,Pr,Pr06@62,Pr07@14
14,2,Hv,Hv02@15,Hv02@31,Pv,Pv04@27,Pv04@43
14,1,Pv,Pv03@19,Pv03@32,Qv,Qv04@4,Qv04@17
14,1,Pv,Pv07@10,Pv07@23,Qv,Qv08@11,Qv08@24
13,1,Hr,Hr09@13,Hr09@25,Qr,Qr09@10,Qr09@22
13,2,Sb,Sb02@5,Sb02@12,Sb,Sb02@17,Sb02@24
12,1,Hr,Hr02@0,Hr02@11,Pr,Pr01@43,Pr02@5
12,1,Hr,Hr03@13,Hr03@24,Pr,Pr03@6,Pr03@17
12,1,Hr,Hr08@0,Hr08@11,Pr,Pr07@19,Pr07@30
12,1,Hv,Hv09@47,Hv09@58,Pv,Pv10@51,Pv11@6
12,3,Sb,Sb04@34,Sb04@41,Sb,Sb04@38,Sb04@47
12,2,Br,Br01@3,Br01@9,Br,Br01@16,Br01@25
11,1,Hr,Hr02@30,Hr02@40,Qr,Qr02@0,Qr02@10
11,1,Hr,Hr05@20,Hr05@30,Qr,Qr05@10,Qr05@20
11,1,Hr,Hr06@32,Hr06@42,Qr,Qr06@0,Qr06@10
11,1,Ca,Ca07@1,Ca07@11,Ca,Ca07@30,Ca08@8
11,1,Ca,Ca11@9,Ca11@19,Ca,Ca11@27,Ca12@4
10,1,Hr,Hr05@8,Hr05@17,Pr,Pr04@58,Pr04@67
10,1,Ca,Ca07@1,Ca07@10,Ca,Ca08@17,Ca08@26
