matched_units,runs,side_a,from_a,to_a,side_b,from_b,to_b
50,6,Hr,Hr02@54,Hr04@0,Qr,Qr02@24,Qr03@40
27,3,Gr,Gr02@3,Gr03@5,Kr,Kr02@13,Kr03@21
26,3,Hr,Hr05@43,Hr06@4,Qr,Qr05@35,Qr05@54
20,1,Hr,Hr06@57,Hr07@12,Pr,Pr06@23,Pr06@42
20,4,Sb,Sb02@8,Sb02@18,Sb,Sb02@14,Sb02@24
18,1,Pv,Pv04@33,Pv04@50,Qv,Qv05@5,Qv05@22
18,2,Hr,Hr06@55,Hr07@10,Qr,Qr06@22,Qr06@41
17,1,Hr,Hr04@32,Hr04@48,Pr,Pr04@19,Pr04@35
17,3,Gr,Gr06@19,Gr07@7,Kv,Kv03@9,Kv04@11
16,2,Hv,Hv07@18,Hv07@34,Pv,Pv08@54,Pv09@5
16,2,Pr,Pr06@23,Pr06@40,Qr,Qr06@24,Qr06@41
15,2,Hr,Hr05@24,Hr05@35,Pr,Pr05@6,Pr05@18
14,1,Hr,Hr05@56,Hr06@11,Pr,Pr05@44,Pr05@57
14,1,Hr,Hr07@31,Hr07@44,Qr,Qr07@16,Qr07@29
13,1,Hv,Hv09@47,Hv09@59,Pv,Pv10@51,Pv11@7
12,1,Hr,Hr02@0,Hr02@11,Pr,Pr01@43,Pr02@5
12,1,Hr,Hr08@0,Hr08@11,Pr,Pr07@19,Pr07@30
12,2,Gr,Gr03@19,Gr04@8,Kr,Kr04@9,Kr05@5
12,2,Br,Br01@3,Br01@9,Br,Br01@16,Br01@25
11,1,Hr,Hr02@30,Hr02@40,Qr,Qr02@0,Qr02@10
11,1,Hr,Hr05@20,Hr05@30,Qr,Qr05@10,Qr05@20
11,1,Hr,Hr06@32,Hr06@42,Qr,Qr06@0,Qr06@10
11,1,Hv,Hv01@32,Hv02@8,Pv,Pv04@10,Pv04@20
11,1,Ca,Ca07@1,Ca07@11,Ca,Ca07@30,Ca08@8
11,1,Pr,Pr05@40,Pr05@50,Qr,Qr05@44,Qr05@54
10,1,Hr,Hr05@8,Hr05@17,Pr,Pr04@58,Pr04@67
10,1,Hr,Hr07@36,Hr07@45,Pr,Pr07@5,Pr07@14
10,1,Pv,Pv02@16,Pv02@25,Qv,Qv03@2,Qv03@11
10,1,Pv,Pv03@23,Pv03@32,Qv,Qv04@8,Qv04@17
10,1,Hv,Hv02@22,Hv02@31,Pv,Pv04@34,Pv04@43
10,1,Hv,Hv04@24,Hv04@33,Pv,Pv06@24,Pv06@33
10,1,Ca,Ca07@1,Ca07@10,Ca,Ca08@17,Ca08@26
10,1,Ca,Ca07@30,Ca08@7,Ca,Ca08@17,Ca08@26
10,1,Pr,Pr03@11,Pr03@20,Qr,Qr03@5,Qr03@14
10,1,Br,Br09@12,Br09@21,Bv,Bv03@10,Bv03@19
10,1,Gr,Gr07@33,Gr08@8,Gr,Gr08@19,Gr08@28
10,1,Hv,Hv02@22,Hv02@31,Qv,Qv05@6,Qv05@15
10,1,Hv,Hv05@18,Hv05@27,Qv,Qv08@2,Qv08@11
9,1,Hr,Hr01@19,Hr01@27,Pr,Pr01@18,Pr01@26
9,1,Pv,Pv07@15,Pv07@23,Qv,Qv08@16,Qv08@24
9,1,Hr,Hr08@0,Hr08@8,Qr,Qr07@36,Qr07@44
9,1,Hr,Hr09@17,Hr09@25,Qr,Qr09@14,Qr09@22
9,1,Hv,Hv06@18,Hv06@26,Pv,Pv07@63,Pv08@6
9,1,Pr,Pr07@5,Pr07@13,Qr,Qr07@21,Qr07@29
9,1,Pr,Pr07@19,Pr07@27,Qr,Qr07@36,Qr07@44
8,1,Pv,Pv01@7,Pv01@14,Qv,Qv02@30,Qv02@37
8,1,Hv,Hv03@25,Hv03@32,Pv,Pv05@29,Pv05@36
8,1,Hv,Hv05@33,Hv05@40,Pv,Pv07@16,Pv07@23
8,1,Ca,Ca10@20,Ca10@27,Ca,Ca11@13,Ca11@20
8,1,Pr,Pr05@6,Pr05@13,Qr,Qr05@14,Qr05@21
8,1,Hv,Hv05@33,Hv05@40,Qv,Qv08@17,Qv08@24
8,1,Aa,Aa05@5,Aa05@12,Ab,Ab07@24,Ab07@31
8,1,Aa,Aa07@36,Aa07@43,Aa,Aa07@58,Aa07@65
8,1,Er,Er01@26,Er02@0,Er,Er03@8,Er03@15
8,1,Ev,Ev04@0,Ev04@7,Gr,Gr05@15,Gr05@22
8,1,Hv,Hv12@31,Hv12@38,Ra,Ra05@7,Ra05@14
7,1,Hr,Hr03@18,Hr03@24,Pr,Pr03@11,Pr03@17
7,1,Hv,Hv10@8,Hv10@14,Pv,Pv11@18,Pv11@24
7,1,Hv,Hv10@36,Hv10@42,Pv,Pv11@43,Pv11@49
7,1,Ca,Ca10@20,Ca10@26,Ca,Ca11@31,Ca12@4
