matched_units,runs,side_a,from_a,to_a,side_b,from_b,to_b
37,4,Hr,Hr03@11,Hr04@0,Qr,Qr02@40,Qr03@40
28,3,Gr,Gr02@3,Gr03@5,Kr,Kr02@13,Kr03@21
22,3,Hr,Hr05@43,Hr06@4,Qr,Qr05@35,Qr05@54
22,2,Pr,Pr07@5,Pr07@27,Qr,Qr07@21,Qr07@44
18,2,Hr,Hr06@55,Hr07@10,Qr,Qr06@22,Qr06@41
17,3,Gr,Gr06@19,Gr07@7,Kv,Kv03@9,Kv04@11
16,2,Hr,Hr04@32,Hr04@48,Pr,Pr04@19,Pr04@35
15,2,Hr,Hr05@24,Hr05@35,Pr,Pr05@6,Pr05@18
14,1,Hr,Hr07@31,Hr07@44,Qr,Qr07@16,Qr07@29
14,2,Hv,Hv07@18,Hv07@32,Pv,Pv08@54,Pv09@3
13,2,Hv,Hv10@8,Hv10@22,Pv,Pv11@18,Pv11@32
12,2,Gr,Gr03@19,Gr04@8,Kr,Kr04@9,Kr05@5
12,1,Hr,Hr08@0,Hr08@11,Pr,Pr07@19,Pr07@30
12,2,Pv,Pv04@38,Pv04@50,Qv,Qv05@10,Qv05@22
11,1,Hr,Hr05@20,Hr05@30,Qr,Qr05@10,Qr05@20
11,1,Hr,Hr06@32,Hr06@42,Qr,Qr06@0,Qr06@10
11,1,Hr,Hr06@1,Hr06@11,Pr,Pr05@47,Pr05@57
11,1,Hr,Hr06@57,Hr07@3,Pr,Pr06@23,Pr06@33
11,1,Ca,Ca07@1,Ca07@11,Ca,Ca07@30,Ca08@8
10,1,Hr,Hr02@49,Hr02@58,Qr,Qr02@19,Qr02@28
10,1,Pr,Pr03@11,Pr03@20,Qr,Qr03@5,Qr03@14
10,1,Hr,Hr05@8,Hr05@17,Pr,Pr04@58,Pr04@67
10,1,Hr,Hr07@36,Hr07@45,Pr,Pr07@5,Pr07@14
10,1,Ca,Ca07@1,Ca07@10,Ca,Ca08@17,Ca08@26
10,1,Ca,Ca07@30,Ca08@7,Ca,Ca08@17,Ca08@26
10,1,Gr,Gr07@33,Gr08@8,Gr,Gr08@19,Gr08@28
10,1,Hv,Hv02@22,Hv02@31,Qv,Qv05@6,Qv05@15
10,1,Hv,Hv05@18,Hv05@27,Qv,Qv08@2,Qv08@11
10,1,Pv,Pv02@16,Pv02@25,Qv,Qv03@2,Qv03@11
10,1,Pv,Pv03@23,Pv03@32,Qv,Qv04@8,Qv04@17
10,2,Sb,Sb02@8,Sb02@12,Sb,Sb02@17,Sb02@24
9,1,Hr,Hr08@0,Hr08@8,Qr,Qr07@36,Qr07@44
9,1,Hr,Hr09@17,Hr09@25,Qr,Qr09@14,Qr09@22
9,1,Pv,Pv07@15,Pv07@23,Qv,Qv08@16,Qv08@24
9,1,Hv,Hv09@50,Hv09@58,Pv,Pv10@54,Pv11@6
