len,mismatches,side_a,from_a,side_b,from_b,text_a,text_b
15,0,Hr,Hr03@27,Qr,Qr03@15,004-006:042.003a-050.003a-093.003a-027.003a-086.003a-060.003a-093.003a-254c.003a-093j.003a-205iy-072a-450.052-551a.003a-600.003a,004-006:042.003a-050.003a-093.003a-027.003a-086a.003a-060a.003a-093.003a-254e.003a-093.003a-205jy!-072-450.052-551es.003a-600.003a
14,0,Gr,Gr02@3,Kr,Kr02@13,073.006-206s-073.006-200-073.006-222-073V.006-451-073.006-700-720-376-073.006-700x,073.006-206s-073.006-200-073.006-222-073V.006-451-073.006-700-720-376-073.006-700x
14,0,Hr,Hr07@31,Qr,Qr07@16,306.003a-028-027.095-305-045.052x-022bf.343-005kt-099-011-007-004-600-522y-606s,306.003a-028x-027.095-305s-045.027x-022bfy!.243-005kt-099!-011-007-004b-600-522c-606s
12,0,Hr,Hr08@0,Pr,Pr07@19,002d-144f-002a-662-680-005j.010!-005k.052-022bf.243-001t-004.052x-381-022bf.346,002a-144f-002a-662-680-005k.010-005k.052-022.243-001t-004.010x-381-022bf.346
11,0,Ca,Ca07@1,Ca,Ca07@30,040-040-040-040-040-390.041-378-041-670-008.078.711-040,040-040-040-040-040-390.041-378y-041h-670-008.078.711-040
11,0,Hr,Hr05@20,Qr,Qr05@10,631bf-208-200.005j-021h:005-002e-041-220.009h-220.009jh-440-440-440a,631b-208-200.005-021:005-002a-041-220a.009-220a.009-440-440-440
11,0,Hr,Hr06@1,Pr,Pr05@47,200-015-022cf-008-451-015-022cf-005:082bx-015-022cf-008.006,200-015-022cf-008-451-015a-022cf-005:008d-015a-022cf-008.006;015t
11,0,Hr,Hr06@32,Qr,Qr06@0,520-381-008-001.008-739-065ax.306s-431d-200a-276-011-385,520!-381!-008-001.008-739c-065x.306s-431d-200-276-011-385
11,0,Hr,Hr06@57,Pr,Pr06@23,430y-214s-002-203s-027-090j-545-074-376-500-440,430y-214-002-203-027b-090-545-074-376b-500-440
10,0,Ca,Ca07@1,Ca,Ca08@17,040-040-040-040-040-390.041-378-041-670-008.078.711,040-040-040-040-040-390.041-378y-041-670-008.078.711
10,0,Ca,Ca07@30,Ca,Ca08@17,040-040-040-040-040-390.041-378y-041h-670-008.078.711,040-040-040-040-040-390.041-378y-041-670-008.078.711
10,0,Gr,Gr07@33,Gr,Gr08@19,098-007-006-124-006-124-098-007-059f-002,098-007-006-124-006-124-098-007-059f-002.076
10,0,Hr,Hr03@43,Qr,Qr03@31,381-072-450.052-551b.003a-600.003a-385.003a-670-099-007-605s,381-072-450.052-551a.003a-600.003a-385.003a-670.003a-099b-007-605
10,0,Hr,Hr05@8,Pr,Pr04@58,200.001-004.064a-044ax-004-049f-004-044ax-004.064a-202-280,200.001-004.064a-044ax-004-049f-004-044ax-004.064a-202s-280
10,0,Hr,Hr07@36,Pr,Pr07@5,022bf.343-005kt-099-011-007-004-600-522y-606s-609,022bfy.343-005kt-099-011-007-004-600a-522b-606os-609a.063
10,0,Hv,Hv02@22,Qv,Qv05@6,739-040-140-316bs-301-004.064a-004.064a-209d-081-050,739d-040-140-316bs-301-004.064a-004.064a-209b-081-050
10,0,Hv,Hv05@18,Qv,Qv08@2,400y-072-002-003a!-072-002-430d-072-002-200,400!-072a-002d-003a-072a-002d-430-072a-002d-200
10,0,Pr,Pr03@11,Qr,Qr03@5,062y.006-001-062y.006-001t-062y.006-001t-020.064-202.003a-004.600a-600a.004,062.006-001-062.006-001-062.006-001-020Vay.064-202.003a-004-600a
10,0,Pv,Pv02@16,Qv,Qv03@2,020by-004-021e-020bf-280-021d-027-600-209aj-600,020!-004!-021Va-020b?-280?-021e-027-600-209d-600
10,0,Pv,Pv03@23,Qv,Qv04@8,030dx-044y-048.081a-206cs-430b-600-027-700c-011-078y.308,030dx-044ay-048a.008-206-430c-600-027-700-011-078y.308.034!
9,0,Hr,Hr06@55,Qr,Qr06@22,004.064a-087a-430y-214s-002-203s-027-090j-545,004.064a-087-430y-214-002-203-027-090-545
9,0,Hr,Hr07@2,Qr,Qr06@33,500-440-280-002-040-050-216s-001a-366.076t,500-440-280-002a-040-050-216s!-001a-366a.076t
9,0,Hr,Hr08@0,Qr,Qr07@36,002d-144f-002a-662-680-005j.010!-005k.052-022bf.243-001t,002a-144af-002a-662-680-005j.010-005j.052-022bfy.243-001t
9,0,Hr,Hr09@17,Qr,Qr09@14,050-600-430.076-430.076-076:063-004.064a-670-700-470,050b-600-430d!.076!-430d.076-076!.063-004.064a-670-700-470
9,0,Hv,Hv09@50,Pv,Pv10@54,011.010-230y-324.711:711t-034d-046-007-001a-600-205y.571,011.010-230iy!-324!.711!-034d!-046!-007!-001!-600!-205jy!.571!
9,0,Pr,Pr07@5,Qr,Qr07@21,022bfy.343-005kt-099-011-007-004-600a-522b-606os,022bfy!.243-005kt-099!-011-007-004b-600-522c-606s
9,0,Pr,Pr07@19,Qr,Qr07@36,002a-144f-002a-662-680-005k.010-005k.052-022.243-001t,002a-144af-002a-662-680-005j.010-005j.052-022bfy.243-001t
9,0,Pv,Pv07@15,Qv,Qv08@16,045-004-200.050d-001-200.050d-001.200.050d-022bfy-200.050d-022bfy.242a,045-004-200.132-001-200.132a-001.240.132a-022bf-200.132a-022bfy
8,0,Aa,Aa07@36,Aa,Aa07@58,080-004-280-182-048-022bf-025-025ay.009:005,080-004-280-182-048-022cfy-025-025a.009:005
8,0,Ca,Ca10@20,Ca,Ca11@13,002-010f.070-760-040-006-430-047-002,002-010f.070-760-040-006-430-047-002
8,0,Ev,Ev04@0,Gr,Gr05@15,380.001-088-001-047-001.061?-380.001-280-001,380.001.003-088-001-047-001-380.001.003-280-001
8,0,Gr,Gr02@19,Kr,Kr03@7,004-522-700.600-059-004.006-132-056-007,004-522-700.400-059-004.064-132-056-007
8,0,Hr,Hr02@0,Pr,Pr01@43,005j.052-600-123-004-123-630c-066y-004,005j.052-600a-123-004-123-630!-066-004
8,0,Hr,Hr02@33,Qr,Qr02@3,720V.244-381-002a-631-099-721b-022-001a.062,720?.244-381!-002!-631!-099b!-721!-022-001.062
8,0,Hr,Hr04@32,Pr,Pr04@19,606-001t.006-001.006.109a-050-755a-001.063-013.006-065,606a-001t.006-001.006.109a-050-755a-001.063-013b.006-065.006
8,0,Hr,Hr04@41,Pr,Pr04@28,065-026-700-200.070a-057b-040-600-200.015a,065-026-700e.006-200.070a-057a-040a-600a-200.070a
8,0,Hr,Hr05@28,Pr,Pr05@11,440-440-440a-020t.440-205s-205s!-004!.003a!-004!.003a!,440-440a-440a-020V-205-205-004.003ax-004.003ax
8,0,Hr,Hr05@43,Qr,Qr05@35,066-100-066y.009.549-066y.006.549-554-015a-022bfy-551c,066y-100-066y.009s-066y.006-554b-015a-022cf-551d
8,0,Hv,Hv03@25,Pv,Pv05@29,200.202s-522y-254-301-015-301s-200.001-200.063,200.206d-522b-254-301-015a-301-200.001-200.063.000!
8,0,Hv,Hv05@33,Pv,Pv07@16,004-200.050a-001a-200.050a-001.240.050a-022bf-200.050a-022bf,004-200.050d-001-200.050d-001.200.050d-022bfy-200.050d-022bfy.242a
8,0,Hv,Hv05@33,Qv,Qv08@17,004-200.050a-001a-200.050a-001.240.050a-022bf-200.050a-022bf,004-200.132-001-200.132a-001.240.132a-022bf-200.132a-022bfy
8,0,Hv,Hv12@31,Ra,Ra05@7,027-077-034!-004-522y-700-600-059f,027?-077?-034-004-522-700-600-059f
8,0,Pr,Pr05@6,Qr,Qr05@14,002a-041-220.009-220.009-440-440-440a-440a,002a-041-220a.009-220a.009-440-440-440-440b
8,0,Pv,Pv01@7,Qv,Qv02@30,091-005k-005j.010-144f-005.010-200-200-710,091-005j-005j.062-144b-005j-200j-200-710b
7,0,Ca,Ca10@20,Ca,Ca11@31,002-010f.070-760-040-006-430-047,002-010f.070-760-040-006-430y-047
7,0,Ca,Ca11@13,Ca,Ca11@31,002-010f.070-760-040-006-430-047,002-010f.070-760-040-006-430y-047
7,0,Gr,Gr06@25,Kv,Kv03@15,380.001.003-003.003.004-215-380.001.003-079-450-019.069,380.001.003-003.003.004-215-380.001.003-079-450-019
7,0,Hr,Hr03@18,Pr,Pr03@11,062y.006-001-062y.006-001-062y.006-001!-020g.064b,062y.006-001-062y.006-001t-062y.006-001t-020.064
7,0,Hr,Hr03@18,Qr,Qr03@5,062y.006-001-062y.006-001-062y.006-001!-020g.064b,062.006-001-062.006-001-062.006-001-020Vay.064
7,0,Hr,Hr05@24,Pr,Pr05@6,002e-041-220.009h-220.009jh-440-440-440a,002a-041-220.009-220.009-440-440-440a
7,0,Hr,Hr05@52,Qr,Qr05@40,015b-022cf-551d-110y-015b-022cf-551d,015a-022cf-551d-110a-015a-022cf-551d
7,0,Hr,Hr05@56,Qr,Qr05@48,015b-022cf-551d-200-015-022cf-008,015b-022cf-551d-200-015-022cf-008a
7,0,Hr,Hr12@6,Pv,Pv01@24,684a-382-048f-684b-007-600-326,684b-382-048f-684d-007-600o-326
7,0,Hv,Hv04@27,Pv,Pv06@27,034d-700-204y-755a-381fy-755a-381ay,034c-700c-204sy-755ay-381-755a-381ay
7,0,Hv,Hv07@18,Pv,Pv08@54,050-504.003a-144f-020.003a-200-006x.003a-180f,050-504!.003a-144f-020.003a-200-006x.003a-180f
7,0,Hv,Hv07@26,Pv,Pv08@62,006.003a-360a.050-360.244.711-226.041-095dj-001-290,006.003a-360.050-360.244.711-226-095df-001-290k
7,0,Hv,Hv10@8,Pv,Pv11@18,022bfy-022bfy-022bfy-600-072b-002a-002a,022bfy!-022bfy!-022bfy!-600!-072!-002a!-002a!
7,0,Hv,Hv10@36,Pv,Pv11@43,022-050a-007-144f-733a-384.074f-224,022a!-050-007!-144f-733a!-384.074f-224
7,0,Pr,Pr06@23,Qr,Qr06@24,430y-214-002-203-027b-090-545,430y-214-002-203-027-090-545
