len,mismatches,side_a,from_a,side_b,from_b,text_a,text_b
26,1,Hr,Hr03@27,Qr,Qr03@15,004-006:042.003a-050.003a-093.003a-027.003a-086.003a-060.003a-093.003a-254c.003a-093j.003a-205iy-072a-450.052-551a.003a-600.003a-430c-381-072-450.052-551b.003a-600.003a-385.003a-670-099-007-605s,004-006:042.003a-050.003a-093.003a-027.003a-086a.003a-060a.003a-093.003a-254e.003a-093.003a-205jy!-072-450.052-551es.003a-600.003a-630c-381-072-450.052-551a.003a-600.003a-385.003a-670.003a-099b-007-605
17,1,Hr,Hr04@32,Pr,Pr04@19,606-001t.006-001.006.109a-050-755a-001.063-013.006-065-720V-065-026-700-200.070a-057b-040-600-200.015a,606a-001t.006-001.006.109a-050-755a-001.063-013b.006-065.006-721d-065-026-700e.006-200.070a-057a-040a-600a-200.070a
15,1,Ca,Ca07@25,Ca,Ca08@12,378y-041-670y-008-078.711-040-040-040-040-040-390.041-378y-041h-670-008.078.711,378y-041-670-008.078.711-600-040-040-040-040-040-390.041-378y-041-670-008.078.711
15,1,Hr,Hr06@57,Pr,Pr06@23,430y-214s-002-203s-027-090j-545-074-376-500-440-280-002-040-050,430y-214-002-203-027b-090-545-074-376b-500-440-290-002a-040-050
15,1,Hv,Hv02@22,Qv,Qv05@6,739-040-140-316bs-301-004.064a-004.064a-209d-081-050-710x.052.240.069h-034d-027.280by-081-050,739d-040-140-316bs-301-004.064a-004.064a-209b-081-050-450.052!.240!.069h!-034d!-027!.290!-081a!-050!
15,1,Hv,Hv07@18,Pv,Pv08@54,050-504.003a-144f-020.003a-200-006x.003a-180f-309a-006.003a-360a.050-360.244.711-226.041-095dj-001-290,050-504!.003a-144f-020.003a-200-006x.003a-180f-464c-006.003a-360.050-360.244.711-226-095df-001-290k
14,0,Gr,Gr02@3,Kr,Kr02@13,073.006-206s-073.006-200-073.006-222-073V.006-451-073.006-700-720-376-073.006-700x,073.006-206s-073.006-200-073.006-222-073V.006-451-073.006-700-720-376-073.006-700x
14,1,Hr,Hr05@56,Pr,Pr05@44,015b-022cf-551d-200-015-022cf-008-451-015-022cf-005:082bx-015-022cf-008.006,015-022cf-008.061-200-015-022cf-008-451-015a-022cf-005:008d-015a-022cf-008.006;015t
14,0,Hr,Hr07@31,Qr,Qr07@16,306.003a-028-027.095-305-045.052x-022bf.343-005kt-099-011-007-004-600-522y-606s,306.003a-028x-027.095-305s-045.027x-022bfy!.243-005kt-099!-011-007-004b-600-522c-606s
14,1,Pv,Pv03@19,Qv,Qv04@4,030c-030c-002Vd-431e-030dx-044y-048.081a-206cs-430b-600-027-700c-011-078y.308,030c-030c-002Vd-430y!-030dx-044ay-048a.008-206-430c-600-027-700-011-078y.308.034!
14,1,Pv,Pv07@10,Qv,Qv08@11,200.710ax-045-004-045-004.052-045-004-200.050d-001-200.050d-001.200.050d-022bfy-200.050d-022bfy.242a,200-045-004-045-001.052-045-004-200.132-001-200.132a-001.240.132a-022bf-200.132a-022bfy
13,1,Gr,Gr06@19,Kv,Kv03@9,380.001.003-005-066-380.001.003-290.001-066-380.001.003-003.003.004-215-380.001.003-079-450-019.069,380.001.003-005-066-380.001.003-290-001.009-380.001.003-003.003.004-215-380.001.003-079-450-019
13,1,Hr,Hr09@13,Qr,Qr09@10,004-534b-591-385-050-600-430.076-430.076-076:063-004.064a-670-700-470,004-534d-591-381!-050b-600-430d!.076!-430d.076-076!.063-004.064a-670-700-470
13,1,Pv,Pv04@38,Qv,Qv05@10,301-004.064-004.064-209b-081a-050-450.052.240.069h-045af-027.290-081a-050-450-060a,301-004.064a-004.064a-209b-081-050-450.052!.240!.069h!-034d!-027!.290!-081a!-050!-450!-060a
12,1,Hr,Hr02@0,Pr,Pr01@43,005j.052-600-123-004-123-630c-066y-004-066b-006.004-066-022dfy.344,005j.052-600a-123-004-123-630!-066-004-074c-006.004-066-022cf.344
12,1,Hr,Hr03@13,Pr,Pr03@6,558a-065.003a-200.004-022dfy-607a-062y.006-001-062y.006-001-062y.006-001!-020g.064b,558-065.003a-200.004-022cf-307-062y.006-001-062y.006-001t-062y.006-001t-020.064
12,1,Hr,Hr05@43,Qr,Qr05@35,066-100-066y.009.549-066y.006.549-554-015a-022bfy-551c-141h:059x-015b-022cf-551d,066y-100-066y.009s-066y.006-554b-015a-022cf-551d-110a-015a-022cf-551d
12,0,Hr,Hr08@0,Pr,Pr07@19,002d-144f-002a-662-680-005j.010!-005k.052-022bf.243-001t-004.052x-381-022bf.346,002a-144f-002a-662-680-005k.010-005k.052-022.243-001t-004.010x-381-022bf.346
12,1,Hv,Hv09@47,Pv,Pv10@51,011.010-048a-021af-011.010-230y-324.711:711t-034d-046-007-001a-600-205y.571,011.010-048-017-011.010-230iy!-324!.711!-034d!-046!-007!-001!-600!-205jy!.571!
12,1,Pv,Pv04@33,Qv,Qv05@5,200.700h.061h-739-040-140-356-301-004.064-004.064-209b-081a-050-450.052.240.069h,200.700.061-739d-040-140-316bs-301-004.064a-004.064a-209b-081-050-450.052!.240!.069h!
11,0,Ca,Ca07@1,Ca,Ca07@30,040-040-040-040-040-390.041-378-041-670-008.078.711-040,040-040-040-040-040-390.041-378y-041h-670-008.078.711-040
11,1,Ca,Ca11@9,Ca,Ca11@27,002-002-002-290-002-010f.070-760-040-006-430-047,002-002-002-004.763-002-010f.070-760-040-006-430y-047
11,1,Hr,Hr02@30,Qr,Qr02@0,065-001-630c-720V.244-381-002a-631-099-721b-022-001a.062,065!-001!-631a!-720?.244-381!-002!-631!-099b!-721!-022-001.062
11,0,Hr,Hr05@20,Qr,Qr05@10,631bf-208-200.005j-021h:005-002e-041-220.009h-220.009jh-440-440-440a,631b-208-200.005-021:005-002a-041-220a.009-220a.009-440-440-440
