side,line,parity,units,pixels,mean_width,slope,first_fifth,last_fifth
Aa,Aa01,odd,84,2437,24.000,0.444,1.023,1.496
Aa,Aa02,even,83,2286,24.169,0.318,0.858,1.262
Aa,Aa04,even,83,2336,25.096,-0.038,1.032,0.900
Aa,Aa05,odd,85,2319,24.294,0.403,1.126,1.611
Aa,Aa06,even,88,2262,22.761,-0.345,1.348,0.942
Aa,Aa07,odd,92,2263,20.957,-0.427,1.310,0.867
Aa,Aa08,even,88,2153,21.364,-0.195,0.953,0.828
Ab,Ab01,odd,78,2198,24.654,0.084,1.034,1.074
Ab,Ab02,even,88,2273,22.568,0.414,1.066,1.402
Ab,Ab03,odd,79,2398,26.456,-0.306,1.336,1.094
Ab,Ab04,even,81,2247,24.296,-0.191,1.402,1.018
Ab,Ab05,odd,82,2238,23.610,-0.354,0.999,0.905
Ab,Ab07,odd,83,2492,26.458,0.234,1.133,1.253
Ab,Ab08,even,77,2399,26.896,-0.382,1.482,1.010
Br,Br01,odd,52,1165,18.615,-0.356,1.158,1.218
Br,Br02,even,40,1093,24.025,0.044,1.110,1.116
Br,Br03,odd,40,1123,25.025,-1.124,1.679,0.592
Br,Br04,even,44,1161,23.455,-0.184,1.034,0.825
Br,Br05,odd,43,1121,23.581,-0.526,1.091,0.682
Br,Br08,even,46,1196,22.196,0.137,0.831,1.037
Br,Br09,odd,49,1218,21.184,0.360,0.809,1.200
Br,Br10,even,34,942,24.794,-0.162,0.958,0.560
Bv,Bv03,odd,44,1040,20.114,-0.566,1.588,0.856
Bv,Bv04,even,43,1162,23.256,-0.056,1.270,1.159
Bv,Bv05,odd,40,1168,26.025,-0.010,1.102,1.148
Bv,Bv06,even,41,1318,27.927,0.301,0.955,1.325
Bv,Bv08,even,43,1189,24.372,-0.198,1.178,1.122
Bv,Bv09,odd,52,1256,21.154,0.199,1.166,1.156
Bv,Bv10,even,42,1221,25.738,-0.248,1.367,1.324
Bv,Bv11,odd,44,1251,24.955,-0.113,1.150,0.811
Bv,Bv12,even,42,1212,24.952,-0.656,1.245,0.724
