side,line,position,head,print_ink_width,tracing_width,similarity,local_score
Br,Br01,0,595,85,24,0.2397,0.505
Br,Br01,1,001,23,6,0.2222,0.236
Br,Br01,2,050,38,9,0.2464,0.53
Br,Br01,3,004,93,34,0.2828,0.481
Br,Br01,4,002,29,8,0.2327,0.454
Br,Br01,5,595,34,9,0.2599,0.494
Br,Br01,6,050,103,38,0.284,0.309
Br,Br01,7,301,33,8,0.1879,0.316
Br,Br01,8,004,98,32,0.3426,0.263
Br,Br01,9,002,22,6,0.2822,0.33
Br,Br01,10,040,22,9,0.3127,0.421
Br,Br01,11,211,33,8,0.2101,0.368
Br,Br01,12,091,89,32,0.2973,0.3
Br,Br01,13,200,52,16,0.2971,0.273
Br,Br01,14,595,79,25,0.2995,0.341
Br,Br01,15,394,50,18,0.3243,0.361
Br,Br01,16,004,74,24,0.3252,0.408
Br,Br01,17,002,36,10,0.3164,0.434
Br,Br01,18,595,96,32,0.3013,0.28
Br,Br01,19,050,33,8,0.2552,0.296
Br,Br01,20,394,100,36,0.2896,0.26
Br,Br01,21,004,29,10,0.3216,0.264
Br,Br01,22,002,95,33,0.3021,0.286
Br,Br01,23,595,37,13,0.2947,0.414
Br,Br01,24,050,34,10,0.2898,0.43
Br,Br01,25,301,117,38,0.328,0.221
Br,Br01,26,002,50,17,0.3207,0.365
Br,Br01,27,211,86,32,0.2735,0.193
Br,Br01,28,091,78,26,0.3466,0.302
Br,Br01,29,595,36,12,0.2704,0.463
Br,Br01,30,600,64,23,0.3074,0.416
Br,Br01,31,050,30,8,0.3201,0.476
Br,Br01,32,381,49,14,0.2477,0.255
Br,Br01,33,004,112,31,0.2606,0.363
Br,Br01,34,002,71,26,0.295,0.348
Br,Br01,35,306,73,20,0.3078,0.325
Br,Br01,36,325,38,10,0.2419,0.521
Br,Br01,37,430,66,19,0.2681,0.422
Br,Br01,38,053,33,8,0.2521,0.328
Br,Br01,39,430,67,19,0.2242,0.224
Br,Br01,40,017,28,7,0.2462,0.219
Br,Br01,41,430,37,10,0.3053,0.397
Br,Br01,42,004,100,33,0.2323,0.406
Br,Br01,43,002,104,35,0.2177,0.205
Br,Br01,44,208,22,10,0.2021,0.175
Br,Br01,45,200,25,7,0.1575,0.172
Br,Br01,46,002,34,11,0.2043,0.22
Br,Br01,47,022,94,31,0.1834,0.097
Br,Br01,48,305,33,13,0.0303,0.131
Br,Br01,49,095,19,7,0.1502,0.175
Br,Br01,50,001,30,12,0.1453,0.094
Br,Br01,51,069,42,30,0.1849,0.0
Br,Br03,0,360,81,31,0.2577,0.314
Br,Br03,1,008,71,21,0.3319,0.394
Br,Br03,2,330,199,82,0.3632,0.405
Br,Br03,3,330,110,44,0.2774,0.271
Br,Br03,4,330,112,38,0.3036,0.352
Br,Br03,5,330,87,34,0.2728,0.37
Br,Br03,6,330,74,28,0.2992,0.311
Br,Br03,7,231,91,36,0.3415,0.407
Br,Br03,8,330,86,32,0.2737,0.381
Br,Br03,9,330,55,23,0.3061,0.333
Br,Br03,10,330,21,6,0.2801,0.418
Br,Br03,11,016,63,23,0.3363,0.279
Br,Br03,12,330,26,8,0.2986,0.357
Br,Br03,13,002,114,44,0.3323,0.173
Br,Br03,14,330,145,59,0.3342,0.271
Br,Br03,15,330,76,24,0.2804,0.237
Br,Br03,16,006,87,34,0.3072,0.301
