side,line,position,head,print_ink_width,tracing_width,similarity,local_score
Ev,Ev01,4,001,18,6,0.0484,0.225
Ev,Ev01,5,002,13,9,0.2684,0.441
Ev,Ev01,6,034,37,18,0.2001,0.368
Ev,Ev01,7,306,57,32,0.1389,0.393
Ev,Ev01,8,070,31,14,0.2078,0.407
Ev,Ev01,9,521,62,30,0.1977,0.296
Ev,Ev01,10,306,66,36,0.251,0.251
Ev,Ev01,11,070,31,16,0.1724,0.29
Ev,Ev01,12,063,15,8,0.3485,0.366
Ev,Ev01,13,022,16,9,0.314,0.442
Ev,Ev01,14,063,15,9,0.2909,0.468
Ev,Ev01,15,001,15,6,0.25,0.357
Ev,Ev01,16,694,65,37,0.1946,0.361
Ev,Ev01,17,056,28,13,0.1458,0.384
Ev,Ev01,18,034,44,21,0.2545,0.429
Ev,Ev01,19,700,23,9,0.2155,0.386
Ev,Ev01,20,204,65,30,0.2151,0.322
Ev,Ev01,21,005,31,15,0.2373,0.417
Ev,Ev01,22,022,17,8,0.334,0.399
Ev,Ev01,23,068,43,20,0.271,0.348
Ev,Ev01,24,073,48,26,0.2892,0.393
Ev,Ev01,25,005,42,16,0.2516,0.478
Ev,Ev01,26,079,47,20,0.1581,0.379
Ev,Ev01,27,079,49,18,0.1272,0.283
Ev,Ev01,28,300,69,33,0.2329,0.347
Ev,Ev01,29,048,80,38,0.2041,0.344
Ev,Ev01,30,001,83,39,0.1767,0.1
Ev,Ev01,31,379,10,15,0.1067,0.018
Ev,Ev02,0,002,55,18,0.2383,0.326
Ev,Ev02,1,254,67,32,0.2265,0.49
Ev,Ev02,2,522,39,18,0.3854,0.446
Ev,Ev02,3,022,18,8,0.3802,0.53
Ev,Ev02,4,001,43,18,0.4092,0.684
Ev,Ev02,5,077,19,6,0.3353,0.778
Ev,Ev02,6,027,55,25,0.4215,0.504
Ev,Ev02,7,294,91,31,0.2903,0.601
Ev,Ev02,8,002,61,20,0.3198,0.653
Ev,Ev02,9,211,77,29,0.3531,0.576
Ev,Ev02,10,091,33,11,0.3667,0.616
Ev,Ev02,11,071,39,13,0.3395,0.663
Ev,Ev02,12,006,30,10,0.3803,0.655
Ev,Ev02,13,047,88,30,0.2889,0.618
Ev,Ev02,14,380,90,31,0.301,0.619
Ev,Ev02,15,739,59,23,0.3729,0.437
Ev,Ev02,16,400,77,39,0.3558,0.362
Ev,Ev02,17,700,68,30,0.3939,0.461
Ev,Ev02,18,004,26,8,0.3128,0.414
Ev,Ev02,19,700,24,8,0.334,0.43
Ev,Ev02,20,380,29,10,0.1882,0.379
Ev,Ev02,21,022,67,24,0.2604,0.339
Ev,Ev02,22,343,56,20,0.2644,0.358
Ev,Ev02,23,044,107,34,0.2587,0.224
Ev,Ev02,24,697,71,29,0.3899,0.27
Ev,Ev02,25,380,49,23,0.3435,0.385
Ev,Ev02,26,600,103,44,0.313,0.349
Ev,Ev02,27,400,73,31,0.3092,0.343
Ev,Ev02,28,380,32,24,0.181,0.137
Ev,Ev03,0,204,54,31,0.2635,0.37
Ev,Ev03,1,002,23,8,0.2408,0.53
