side,line,position,unit,head,x0,x1,y0,y1,print_ink_width,tracing_width,local_score,orientation,source
Br,Br01,0,595,595,376,461,1241,1316,85,24,0.505,upright,auto
Br,Br01,1,001,001,428,450,1220,1307,22,6,0.241,upright,auto
Br,Br01,2,050.394s,050,471,506,1214,1313,35,9,0.53,upright,auto
Br,Br01,3,004,004,504,600,1212,1311,96,34,0.481,upright,auto
Br,Br01,4,002,002,616,644,1246,1316,28,8,0.454,upright,auto
Br,Br01,5,595.001,595,650,686,1237,1329,36,9,0.494,upright,auto
Br,Br01,6,050,050,695,798,1219,1323,103,38,0.256,upright,auto
Br,Br01,7,301s,301,772,804,1226,1320,32,8,0.268,upright,auto
Br,Br01,8,004,004,807,902,1217,1322,95,32,0.221,upright,auto
Br,Br01,9,002,002,903,924,1180,1262,21,6,0.251,upright,auto
Br,Br01,10,040,040,903,930,1180,1263,27,9,0.311,upright,auto
Br,Br01,11,211,211,937,961,1167,1266,24,8,0.352,upright,auto
Br,Br01,12,091,091,977,1069,1161,1267,92,32,0.209,upright,auto
Br,Br01,13,200,200,1085,1143,1169,1281,58,16,0.276,upright,auto
Br,Br01,14,595.002,595,1127,1206,1157,1266,79,25,0.334,upright,auto
Br,Br01,15,394,394,1180,1242,1166,1264,62,18,0.306,upright,auto
Br,Br01,16,004t,004,1244,1319,1156,1256,75,24,0.408,upright,auto
Br,Br01,17,002,002,1330,1367,1150,1262,37,10,0.434,upright,auto
Br,Br01,18,595.002,595,1371,1463,1153,1263,92,32,0.28,upright,auto
Br,Br01,19,050,050,1437,1469,1185,1263,32,8,0.296,upright,auto
Br,Br01,20,394,394,1493,1590,1152,1258,97,36,0.26,upright,auto
Br,Br01,21,004t,004,1581,1603,1169,1268,22,10,0.192,upright,auto
Br,Br01,22,002,002,1642,1730,1143,1244,88,33,0.286,upright,auto
Br,Br01,23,595.002,595,1734,1773,1154,1243,39,13,0.389,upright,auto
Br,Br01,24,050,050,1773,1808,1150,1247,35,10,0.32,upright,auto
Br,Br01,25,301s.004,301,1766,1867,1182,1294,101,38,0.2,upright,auto
Br,Br01,26,002,002,1909,1952,1165,1268,43,17,0.193,upright,auto
Br,Br01,27,211s:042,211,1950,2038,1163,1269,88,32,0.193,upright,auto
Br,Br01,28,091,091,2060,2136,1134,1238,76,26,0.42,upright,auto
Br,Br01,29,595s,595,2145,2187,1140,1239,42,12,0.43,upright,auto
Br,Br01,30,600,600,2190,2254,1137,1237,64,23,0.365,upright,auto
Br,Br01,31,050,050,2268,2297,1136,1241,29,8,0.317,upright,auto
Br,Br01,32,381,381,2258,2307,1185,1284,49,14,0.255,upright,auto
Br,Br01,33,004,004,2301,2413,1179,1281,112,31,0.363,upright,auto
Br,Br01,34,002,002,2401,2468,1182,1274,67,26,0.348,upright,auto
Br,Br01,35,306,306,2494,2563,1158,1247,69,20,0.325,upright,auto
Br,Br01,36,325,325,2528,2567,1192,1274,39,10,0.529,upright,auto
Br,Br01,37,430,430,2578,2644,1192,1282,66,19,0.422,upright,auto
Br,Br01,38,053,053,2660,2693,1172,1242,33,8,0.293,upright,auto
Br,Br01,39,430,430,2704,2758,1160,1243,54,19,0.299,upright,auto
Br,Br01,40,017,017,2736,2758,1166,1243,22,7,0.219,upright,auto
Br,Br01,41,430,430,2770,2806,1174,1247,36,10,0.194,upright,auto
Br,Br01,42,004,004,2803,2895,1168,1220,92,33,0.145,upright,auto
Br,Br01,43,002,002,2905,3000,1174,1224,95,35,0.114,upright,auto
Br,Br01,44,208,208,3013,3037,1182,1225,24,10,0.132,upright,auto
Br,Br01,45,200,200,3065,3071,1208,1215,6,7,0.043,upright,auto
Br,Br01,46,002,002,3083,3112,1178,1212,29,11,-0.086,upright,auto
Br,Br01,47,022,022,3118,3198,1179,1206,80,31,-0.161,upright,auto
Br,Br01,48,305.074f,305,3211,3234,1184,1199,23,13,-0.043,upright,auto
Br,Br01,49,095,095,3248,3276,1183,1273,0,7,-0.022,upright,auto
Br,Br01,50,001,001,3275,3324,1184,1256,0,12,0.0,upright,auto
Br,Br01,51,069,069,3292,3415,1186,1258,0,30,0.0,upright,auto
Br,Br03,0,360.063,360,37,59,1050,1111,22,31,-1.0,upright,auto
Br,Br03,1,008,008,56,131,1070,1163,75,21,0.322,upright,auto
Br,Br03,2,330.063,330,125,360,1037,1140,235,82,0.09,upright,auto
Br,Br03,3,330.755,330,322,474,1003,1102,152,44,0.236,upright,auto
Br,Br03,4,330.004.064,330,471,586,1017,1121,115,38,0.157,upright,auto
Br,Br03,5,330.043:050,330,575,677,1047,1137,102,34,0.245,upright,auto
Br,Br03,6,330.004,330,653,739,1003,1103,86,28,0.249,upright,auto
Br,Br03,7,231,231,732,836,1005,1100,104,36,0.268,upright,auto
Br,Br03,8,330.015,330,844,952,1002,1106,108,32,0.376,upright,auto
Br,Br03,9,330.569,330,958,1027,1009,1101,69,23,0.42,upright,auto
Br,Br03,10,330,330,1005,1027,1009,1101,22,6,0.395,upright,auto
Br,Br03,11,016,016,1061,1127,985,1073,66,23,0.286,upright,auto
Br,Br03,12,330,330,1123,1157,992,1075,34,8,0.284,upright,auto
Br,Br03,13,002?,002,1118,1252,1000,1097,134,44,0.197,upright,auto
Br,Br03,14,330.020.006,330,1241,1409,971,1078,168,59,0.22,upright,auto
Br,Br03,15,330.749,330,1424,1494,1004,1093,70,24,0.054,upright,auto
Br,Br03,16,006.074f,006,1505,1599,997,1097,94,34,0.159,upright,auto
Br,Br03,17,293s,293,1593,1652,1007,1093,59,16,0.139,upright,auto
Br,Br03,18,008,008,1648,1697,1000,1086,49,16,0.031,upright,auto
Br,Br03,19,068,068,1716,1810,998,1097,94,35,0.151,upright,auto
Br,Br03,20,493,493,1829,1897,977,1062,68,19,0.246,upright,auto
Br,Br03,21,755,755,1872,1948,987,1095,76,25,0.141,upright,auto
Br,Br03,22,381,381,1954,2022,1003,1107,68,21,0.285,upright,auto
Br,Br03,23,004.064,004,2003,2072,1010,1115,69,24,0.242,upright,auto
Br,Br03,24,381,381,2068,2110,1006,1112,42,13,0.355,upright,auto
Br,Br03,25,043:050,043,2137,2220,981,1087,83,31,0.38,upright,auto
Br,Br03,26,384,384,2230,2258,982,1074,28,7,0.369,upright,auto
Br,Br03,27,004,004,2237,2321,976,1083,84,28,0.422,upright,auto
Br,Br03,28,384,384,2317,2405,981,1089,88,32,0.411,upright,auto
Br,Br03,29,061.022.061,061,2438,2517,983,1083,79,30,0.406,upright,auto
Br,Br03,30,384,384,2527,2567,993,1086,40,10,0.445,upright,auto
Br,Br03,31,015,015,2582,2646,989,1085,64,21,0.392,upright,auto
Br,Br03,32,745,745,2666,2700,978,1083,34,12,0.541,upright,auto
Br,Br03,33,569,569,2701,2770,978,1080,69,23,0.452,upright,auto
