side,line,position,unit,head,x0,x1,y0,y1,print_ink_width,tracing_width,local_score,orientation,source
Ev,Ev01,0,022,022,37,61,560,621,0,8,0.197,upright,auto
Ev,Ev01,1,002,002,62,89,578,599,0,8,-0.027,upright,auto
Ev,Ev01,2,034V?,034,100,104,585,587,4,17,0.051,upright,auto
Ev,Ev01,3,002,002,149,170,555,596,21,12,0.313,upright,auto
Ev,Ev01,4,001,001,176,194,578,593,18,6,0.274,upright,auto
Ev,Ev01,5,002,002,207,221,566,597,14,9,0.441,upright,auto
Ev,Ev01,6,034,034,227,265,568,606,38,18,0.368,upright,auto
Ev,Ev01,7,306.003,306,263,339,557,611,76,32,0.352,upright,auto
Ev,Ev01,8,070,070,344,387,559,618,43,14,0.358,upright,auto
Ev,Ev01,9,521s,521,401,465,562,620,64,30,0.379,upright,auto
Ev,Ev01,10,306.003,306,475,541,569,625,66,36,0.251,upright,auto
Ev,Ev01,11,070,070,539,570,568,616,31,16,0.315,upright,auto
Ev,Ev01,12,063?,063,618,633,593,629,15,8,0.366,upright,auto
Ev,Ev01,13,022f,022,641,657,594,628,16,9,0.313,upright,auto
Ev,Ev01,14,063?,063,669,684,599,631,15,9,0.44,upright,auto
Ev,Ev01,15,001,001,669,682,599,631,13,6,0.361,upright,auto
Ev,Ev01,16,694,694,694,770,597,631,76,37,0.361,upright,auto
Ev,Ev01,17,056,056,783,811,600,633,28,13,0.384,upright,auto
Ev,Ev01,18,034,034,813,857,600,635,44,21,0.429,upright,auto
Ev,Ev01,19,700,700,862,886,599,633,24,9,0.386,upright,auto
Ev,Ev01,20,204s,204,890,955,600,637,65,30,0.322,upright,auto
Ev,Ev01,21,005,005,962,993,598,636,31,15,0.417,upright,auto
Ev,Ev01,22,022f,022,997,1014,599,638,17,8,0.399,upright,auto
Ev,Ev01,23,068,068,1021,1064,597,639,43,20,0.348,upright,auto
Ev,Ev01,24,073?.006.003,073,1068,1116,600,637,48,26,0.393,upright,auto
Ev,Ev01,25,005,005,1136,1166,597,635,30,16,0.478,upright,auto
Ev,Ev01,26,079.010?,079,1182,1229,596,631,47,20,0.379,upright,auto
Ev,Ev01,27,079.010?,079,1237,1286,596,624,49,18,0.283,upright,auto
Ev,Ev01,28,300.058,300,1289,1358,588,622,69,33,0.347,upright,auto
Ev,Ev01,29,048?,048,1367,1447,587,618,80,38,0.344,upright,auto
Ev,Ev01,30,001?.006,001,1475,1492,598,607,17,39,0.1,upright,auto
Ev,Ev01,31,379y?,379,1539,1541,593,597,2,15,0.049,upright,auto
Ev,Ev01,32,025,025,1563,1597,589,647,0,11,0.116,upright,auto
Ev,Ev01,33,006,006,1593,1638,590,646,0,14,-0.027,upright,auto
Ev,Ev01,34,254?,254,1620,1727,586,646,0,33,0.0,upright,auto
Ev,Ev01,35,009,009,1704,1753,586,646,0,15,0.0,upright,auto
Ev,Ev01,36,004.064,004,1742,1797,584,643,0,17,0.0,upright,auto
Ev,Ev01,37,050,050,1793,1817,582,643,0,8,0.0,upright,auto
Ev,Ev01,38,001?,001,1823,1845,581,636,0,7,0.0,upright,auto
Ev,Ev01,39,005.037,005,1833,1905,579,638,0,23,0.0,upright,auto
Ev,Ev02,0,002.003,002,1565,1620,524,570,55,18,0.326,flipped,auto
Ev,Ev02,1,254,254,1495,1562,530,574,67,32,0.49,flipped,auto
Ev,Ev02,2,522f,522,1452,1491,525,579,39,18,0.446,flipped,auto
Ev,Ev02,3,022f,022,1424,1442,527,582,18,8,0.53,flipped,auto
Ev,Ev02,4,001.071,001,1372,1415,528,584,43,18,0.684,flipped,auto
Ev,Ev02,5,077,077,1352,1370,528,584,18,6,0.778,flipped,auto
