side_a,side_b,shared_signs,cross_side_penalty,control_penalty_thickened
Hr,Sa,4,-0.0037,0.0004
Hr,Hv,23,-0.0021,0.0058
Ra,Rb,6,-0.0006,-0.0020
Hv,Na,4,0.0002,0.0034
Pv,Ra,9,0.0012,0.0008
Gr,Ra,8,0.0014,0.0003
Bv,Ev,17,0.0025,0.0040
Gr,Sa,5,0.0040,-0.0005
Cb,Rb,7,0.0055,0.0069
Hr,Rb,7,0.0059,0.0077
Cb,Hr,13,0.0060,0.0083
Bv,Pr,19,0.0060,0.0084
Br,Cb,7,0.0062,0.0045
Bv,Cb,15,0.0067,0.0066
Br,Ev,10,0.0077,0.0079
Br,Bv,11,0.0077,0.0078
Pr,Sa,5,0.0079,0.0059
Ra,Sa,4,0.0080,0.0100
Hr,Ra,10,0.0081,0.0090
Bv,Gr,12,0.0082,0.0075
Ev,Gr,11,0.0085,0.0072
Pr,Rb,7,0.0085,0.0070
Ca,Sa,4,0.0087,0.0068
Gr,Hv,11,0.0088,0.0105
Cb,Ev,15,0.0089,0.0103
Pv,Rb,6,0.0089,0.0082
Hv,Rb,8,0.0090,0.0112
Hr,Pv,15,0.0090,0.0180
Bv,Rb,6,0.0103,0.0097
Hv,Pr,20,0.0105,0.0168
Ev,Ra,8,0.0110,0.0094
Pv,Sa,4,0.0110,0.0153
Er,Sa,4,0.0111,0.0076
Gr,Gv,6,0.0112,0.0132
Gr,Pr,10,0.0121,0.0153
Ev,Rb,6,0.0122,0.0109
Qv,Ra,6,0.0122,0.0116
Ev,Gv,11,0.0122,0.0122
Hv,Sa,5,0.0123,0.0117
Pr,Pv,17,0.0124,0.0159
Ca,Er,12,0.0125,0.0143
Bv,Gv,9,0.0132,0.0136
Ca,Gr,8,0.0134,0.0134
Cb,Sa,5,0.0137,0.0114
Bv,Sa,6,0.0142,0.0110
Ca,Rb,5,0.0142,0.0140
Cb,Gr,11,0.0144,0.0147
Hv,Pv,23,0.0145,0.0258
Ev,Sa,5,0.0149,0.0101
Hr,Qv,12,0.0150,0.0160
Cb,Hv,16,0.0151,0.0271
Hv,Ra,11,0.0154,0.0151
Br,Hv,11,0.0156,0.0166
Bv,Hv,21,0.0160,0.0163
Br,Gv,6,0.0162,0.0157
Br,Pv,9,0.0162,0.0216
Gr,Pv,9,0.0163,0.0194
Ca,Cb,15,0.0164,0.0141
Gv,Hv,11,0.0170,0.0185
Cb,Ra,8,0.0171,0.0175
Ev,Hv,17,0.0175,0.0211
Hr,Pr,20,0.0176,0.0235
Gr,Rb,7,0.0178,0.0172
Br,Pr,13,0.0180,0.0217
Gv,Pr,11,0.0182,0.0195
Gr,Hr,11,0.0186,0.0140
Ca,Ev,18,0.0186,0.0204
Hv,Qv,15,0.0190,0.0221
Er,Gr,7,0.0198,0.0182
Ev,Pv,12,0.0198,0.0267
Pr,Ra,10,0.0203,0.0186
Gv,Hr,11,0.0214,0.0134
Br,Qv,9,0.0215,0.0234
Br,Ca,9,0.0220,0.0197
Er,Gv,12,0.0220,0.0221
Cb,Er,10,0.0221,0.0250
Ev,Pr,18,0.0230,0.0240
Br,Er,10,0.0234,0.0239
Bv,Pv,13,0.0235,0.0281
Cb,Gv,6,0.0236,0.0265
Cb,Pr,14,0.0243,0.0312
Bv,Hr,19,0.0244,0.0218
Cb,Qv,5,0.0246,0.0307
Ev,Hr,15,0.0247,0.0199
Er,Qv,10,0.0252,0.0263
Gr,Qv,5,0.0268,0.0266
Bv,Er,16,0.0271,0.0288
Cb,Pv,12,0.0274,0.0374
Gv,Qv,7,0.0281,0.0302
Ca,Hv,17,0.0282,0.0289
Gv,Pv,9,0.0283,0.0303
Er,Ev,15,0.0284,0.0288
Qv,Rb,4,0.0284,0.0283
Ca,Hr,14,0.0285,0.0219
Pv,Qv,14,0.0297,0.0334
Bv,Ra,9,0.0298,0.0291
Er,Ra,8,0.0307,0.0292
Ca,Gv,11,0.0309,0.0319
Er,Pv,13,0.0311,0.0349
Bv,Ca,18,0.0313,0.0321
Er,Hr,15,0.0314,0.0243
Br,Hr,13,0.0315,0.0230
Gv,Rb,4,0.0316,0.0323
Er,Hv,19,0.0316,0.0314
Ca,Qv,7,0.0317,0.0350
Er,Pr,14,0.0327,0.0324
Pr,Qv,10,0.0327,0.0341
Ca,Pv,11,0.0341,0.0395
Er,Rb,6,0.0343,0.0332
Bv,Qv,12,0.0346,0.0368
Ev,Qv,7,0.0374,0.0400
Ca,Pr,16,0.0380,0.0398
Gv,Ra,8,0.0401,0.0389
Ca,Ra,8,0.0414,0.0411
Br,Ra,5,0.0428,0.0423
