side,lines,instances,width_slope,width_slope_inner,slope_odd_lines,slope_even_lines,height_slope,width_first_fifth,width_last_fifth
Br,8,254,0.008,-0.094,-0.248,0.296,-0.028,1.064,1.061
Bv,8,252,0.051,-0.017,0.080,0.030,0.075,1.030,1.089
Ca,10,229,-0.099,-0.235,-0.045,-0.138,0.028,1.097,1.049
Cb,11,208,-0.180,-0.103,-0.104,-0.278,-0.069,1.199,1.030
Da,4,45,0.407,0.425,0.533,0.267,0.133,0.705,1.017
Db,3,35,-0.214,-0.042,nan,-0.333,0.061,1.388,1.246
Er,9,302,0.106,0.244,0.244,-0.051,0.019,0.974,1.063
Ev,8,294,0.217,0.296,0.206,0.228,0.032,0.946,1.122
Gr,7,184,-0.335,-0.326,-0.450,-0.146,-0.053,1.103,0.912
Gv,6,193,-0.078,-0.044,-0.018,-0.130,-0.034,1.076,0.967
Hr,12,312,-0.146,-0.459,-0.628,0.324,-0.022,1.447,1.313
Hv,12,400,0.071,0.084,0.192,-0.066,0.062,1.189,1.183
Kr,3,47,-0.104,-0.166,nan,0.288,-0.085,1.133,0.962
Kv,2,22,0.580,1.277,nan,0.580,-0.092,0.963,1.321
Na,3,48,0.360,0.212,nan,0.169,-0.281,1.191,1.434
Nb,2,24,0.154,0.739,0.154,nan,0.107,1.240,0.950
Pr,10,335,-0.148,-0.065,-0.092,-0.204,0.116,1.217,1.077
Pv,9,322,-0.025,-0.107,0.418,-0.290,-0.104,1.257,1.208
Qv,7,166,-0.001,0.278,-0.267,0.213,0.209,1.152,1.105
Ra,6,121,-0.319,-0.813,-0.224,-0.442,-0.155,1.422,1.048
Rb,6,87,-0.057,-0.217,0.163,-0.299,0.010,1.102,1.119
Sa,5,110,0.130,-0.042,0.267,-0.076,-0.212,1.031,1.237
