sign,instances,sides,within,same_side,cross_side
730,22,10,0.229,0.252,0.227
760,14,4,0.229,0.245,0.217
710,15,3,0.228,0.232,0.226
092,16,4,0.227,0.229,0.226
301,13,7,0.222,0.244,0.218
400,22,11,0.220,0.274,0.214
380,46,11,0.211,0.231,0.206
522,23,13,0.210,0.255,0.206
095,25,10,0.209,0.245,0.204
027,20,8,0.209,0.241,0.205
059,13,7,0.205,0.260,0.195
046,13,7,0.205,0.190,0.207
091,19,10,0.202,0.243,0.199
067,20,11,0.200,0.201,0.200
203,12,4,0.200,0.194,0.205
670,34,14,0.197,0.284,0.186
290,15,8,0.195,0.214,0.193
600,84,16,0.195,0.205,0.194
081,26,9,0.194,0.213,0.191
063,24,4,0.193,0.200,0.187
047,14,7,0.193,0.266,0.180
041,16,5,0.193,0.178,0.197
007,47,17,0.192,0.201,0.191
002,138,18,0.192,0.216,0.190
034,19,9,0.191,0.220,0.188
093,13,8,0.191,0.212,0.189
205,23,11,0.190,0.200,0.190
430,44,16,0.190,0.230,0.186
700,75,15,0.189,0.196,0.188
300,43,7,0.187,0.194,0.183
008,28,11,0.186,0.198,0.185
030,15,6,0.186,0.210,0.181
755,25,8,0.185,0.186,0.185
606,12,5,0.183,0.212,0.177
006,51,18,0.183,0.217,0.181
381,32,10,0.182,0.156,0.186
020,30,11,0.182,0.209,0.179
010,30,7,0.182,0.206,0.178
050,39,13,0.181,0.192,0.180
044,23,12,0.180,0.197,0.179
060,26,9,0.180,0.212,0.174
070,26,11,0.180,0.192,0.178
200,109,16,0.178,0.194,0.176
048,30,8,0.178,0.174,0.178
053,17,10,0.178,0.189,0.177
450,22,6,0.177,0.207,0.170
021,27,7,0.177,0.190,0.174
040,55,13,0.177,0.230,0.169
206,23,10,0.176,0.168,0.177
254,16,11,0.176,0.119,0.182
004,128,16,0.176,0.204,0.173
005,68,14,0.174,0.181,0.173
022,121,16,0.172,0.173,0.172
739,25,12,0.172,0.211,0.168
066,15,5,0.172,0.195,0.166
144,13,4,0.170,0.156,0.176
204,14,8,0.170,0.294,0.150
260,12,7,0.170,0.194,0.168
065,24,8,0.168,0.180,0.166
009,29,11,0.165,0.206,0.162
079,15,9,0.164,0.165,0.164
001,169,18,0.164,0.186,0.162
280,38,15,0.163,0.190,0.161
062,23,11,0.160,0.146,0.161
073,25,9,0.159,0.196,0.154
011,26,11,0.158,0.174,0.155
385,12,5,0.153,0.158,0.153
003,24,13,0.152,0.183,0.150
306,18,9,0.151,0.148,0.152
045,18,5,0.146,0.147,0.145
605,12,6,0.137,0.110,0.141
