word,count,syllables,reduplicated
te,207,1,False
ki,126,1,False
e,104,1,False
to,102,1,False
he,80,1,False
a,64,1,False
o,48,1,False
i,47,1,False
ko,37,1,False
ka,33,1,False
hotu,31,2,False
mai,28,2,False
hanga,26,2,False
nei,24,2,False
tuu,24,2,False
ai,24,2,False
oho,23,2,False
ariiki,23,4,False
matua,22,3,False
ana,22,2,False
ran,22,1,False
no,21,1,False
moko,21,2,False
mahua,21,3,False
kete,20,2,False
uta,20,2,False
rangi,18,2,False
kainga,18,3,False
mata,17,2,False
nui,16,2,False
ia,15,2,False
tau,15,2,False
ma,15,1,False
iti,15,2,False
vai,15,2,False
karata,15,3,False
ava,14,2,False
oroi,14,3,False
era,13,2,False
ahu,13,2,False
ihu,13,2,False
poie,13,3,False
mo,12,1,False
kura,12,2,False
hoa,12,2,False
kiroto,12,3,False
kapu,12,2,False
ane,12,2,False
rato,12,2,False
motu,12,2,False
roto,12,2,False
atu,11,2,False
kokore,11,3,False
rei,10,2,False
eaha,10,3,False
ui,10,2,False
vaha,10,2,False
uri,9,2,False
taua,9,3,False
koe,9,2,False
pu,9,1,False
rau,8,2,False
haka,8,2,False
ha,8,1,False
nauai,8,4,False
hoki,8,2,False
poki,8,2,False
ika,7,2,False
tun,7,1,False
mea,7,2,False
ta,7,1,False
ku,7,1,False
runga,7,2,False
nga,7,1,False
heke,7,2,False
rua,6,2,False
tupa,6,2,False
renga,6,2,False
toto,6,2,True
tea,6,2,False
roa,6,2,False
kava,6,2,False
vie,6,2,False
hina,6,2,False
tangata,5,3,False
tapui,5,3,False
ira,5,2,False
na,5,1,False
aku,5,2,False
iri,5,2,False
maru,5,2,False
atua,5,3,False
piri,5,2,False
kai,5,2,False
kino,5,2,False
tonga,5,2,False
ita,5,2,False
rata,5,2,False
honu,5,2,False
rere,5,2,True
mahatua,5,4,False
too,5,2,False
hara,4,2,False
tae,4,2,False
hora,4,2,False
tapu,4,2,False
ihi,4,2,False
taku,4,2,False
ura,4,2,False
tenga,4,2,False
vake,4,2,False
papa,4,2,True
rai,4,2,False
niu,4,2,False
moa,4,2,False
hiro,4,2,False
tana,4,2,False
tikitehatu,4,5,False
mani,4,2,False
raa,4,2,False
hiva,4,2,False
ina,4,2,False
tahi,4,2,False
puna,4,2,False
orohie,4,4,False
ohau,4,3,False
peu,4,2,False
turu,4,2,False
havea,4,3,False
takatore,4,4,False
kau,4,2,False
are,4,2,False
apina,4,3,False
mataveri,4,4,False
oio,4,3,False
apai,3,3,False
ti,3,1,False
tahoi,3,3,False
ata,3,2,False
tapairu,3,4,False
kia,3,2,False
mao,3,2,False
kote,3,2,False
tapa,3,2,False
matai,3,3,False
ranga,3,2,False
rara,3,2,True
hetu,3,2,False
nuku,3,2,False
oi,3,2,False
taura,3,3,False
tai,3,2,False
an,3,1,False
taka,3,2,False
hai,3,2,False
tara,3,2,False
noho,3,2,False
hiku,3,2,False
hare,3,2,False
pito,3,2,False
takoua,3,4,False
tukouo,3,4,False
poopoo,3,4,True
pauaroroko,3,6,False
korare,3,3,False
tomo,3,2,False
nehe,3,2,False
kahi,3,2,False
han,3,1,False
mua,3,2,False
hata,3,2,False
ati,3,2,False
ite,3,2,False
have,3,2,False
rongo,3,2,False
orongo,3,3,False
oti,3,2,False
riki,3,2,False
ru,3,1,False
hatu,3,2,False
nanangi,3,3,False
makita,3,3,False
rokeaua,3,5,False
rano,3,2,False
hangoteo,3,4,False
nuinui,3,4,True
tuki,3,2,False
haho,3,2,False
huri,3,2,False
avai,3,3,False
takoa,3,3,False
toa,3,2,False
marotiri,3,4,False
toki,3,2,False
honga,2,2,False
ra,2,1,False
matangi,2,3,False
kata,2,2,False
hi,2,1,False
aaku,2,3,False
iru,2,2,False
kairi,2,3,False
muku,2,2,False
tangaroa,2,4,False
tua,2,2,False
oaku,2,3,False
mumu,2,2,True
uka,2,2,False
maua,2,3,False
herunga,2,3,False
noi,2,2,False
mana,2,2,False
pipiri,2,3,False
iringa,2,3,False
manana,2,3,False
mariunga,2,4,False
haieka,2,4,False
panga,2,2,False
horo,2,2,False
uake,2,3,False
ei,2,2,False
ni,2,1,False
katangi,2,3,False
ua,2,2,False
kauaha,2,4,False
eae,2,3,False
manu,2,2,False
pepetangi,2,4,False
taravi,2,3,False
tava,2,2,False
henua,2,3,False
naroko,2,3,False
ngaatu,2,3,False
kuhikia,2,4,False
taaria,2,4,False
hatukuti,2,4,False
hakukuti,2,4,False
manavai,2,4,False
eaa,2,3,False
kumara,2,3,False
tuatea,2,4,False
hua,2,2,False
riku,2,2,False
ature,2,3,False
kea,2,2,False
pane,2,2,False
nae,2,2,False
potupotu,2,4,True
maki,2,2,False
moni,2,2,False
hihi,2,2,True
ton,2,1,False
tiena,2,3,False
horoa,2,3,False
miro,2,2,False
toru,2,2,False
rima,2,2,False
ari,2,2,False
mauri,2,3,False
ono,2,2,False
kope,2,2,False
tutu,2,2,True
toanga,2,3,False
uru,2,2,False
uhi,2,2,False
anavaero,2,5,False
rungavae,2,4,False
tetenga,2,3,False
atama,2,3,False
potu,2,2,False
rikiriki,2,4,True
kavakava,2,4,True
kioe,2,3,False
kiriroa,2,4,False
haha,2,2,True
kauae,2,4,False
parehe,2,3,False
mahaki,2,3,False
kohau,2,3,False
hati,2,2,False
mangeo,2,3,False
miti,2,2,False
punapau,2,4,False
takea,2,3,False
punga,2,2,False
ahoa,2,3,False
raparenga,2,4,False
kuukuu,2,4,True
ringiringi,2,4,True
tavatava,2,4,True
atava,2,3,False
tu,2,1,False
veronga,2,3,False
toremo,2,3,False
poreko,2,3,False
reipua,2,4,False
ariki,2,3,False
hira,2,2,False
pahu,2,2,False
pahenga,2,3,False
kokoma,2,3,False
aroi,2,3,False
anakena,2,4,False
maitaki,2,4,False
tautara,2,4,False
me,2,1,False
ro,2,1,False
maihi,2,3,False
tokerau,2,4,False
hau,2,2,False
au,2,2,False
pua,2,2,False
puoko,2,3,False
vae,2,2,False
vaero,2,3,False
akahanga,2,4,False
rapa,2,2,False
auka,2,3,False
tute,2,2,False
revareva,2,4,True
raua,2,3,False
opipi,2,3,False
ahua,2,3,False
piko,2,2,False
maitakitemoa,2,7,False
raunuku,2,4,False
emu,2,2,False
kena,2,2,False
titaa,2,3,False
akaviri,2,4,False
toitoi,2,4,True
makemake,2,4,True
mati,2,2,False
humu,2,2,False
rui,2,2,False
oioi,2,4,True
hainge,2,3,False
ruanuku,2,4,False
honui,2,3,False
miru,2,2,False
timo,1,2,False
kakaha,1,3,False
piki,1,2,False
roria,1,3,False
aruki,1,3,False
