side,line,orientation,chunks_inlier,chunks,stretch,x_residual,status
Br,Br01,upright,3,16,0.853,4.1,placed
Br,Br02,flipped,1,12,1.0,0.0,placed
Br,Br03,upright,1,12,1.0,0.0,placed
Br,Br04,flipped,0,13,,,not placed
Br,Br05,upright,3,13,1.153,0.3,placed
Br,Br08,flipped,1,14,1.0,0.0,placed
Br,Br09,upright,3,15,1.056,1.2,placed
Br,Br10,flipped,6,10,0.82,4.5,placed
Bv,Bv03,upright,2,13,1.107,0.0,placed
Bv,Bv04,flipped,1,13,1.0,0.0,placed
Bv,Bv05,upright,2,12,1.131,0.0,placed
Bv,Bv06,flipped,2,12,1.064,0.0,placed
Bv,Bv08,flipped,1,13,1.0,0.0,placed
Bv,Bv09,upright,4,16,1.05,2.7,placed
Bv,Bv10,flipped,6,13,1.036,4.0,placed
Bv,Bv11,upright,4,13,1.152,5.5,placed
Bv,Bv12,flipped,6,13,1.165,6.5,placed
Ca,Ca02,flipped,1,7,1.0,0.0,placed
Ca,Ca03,upright,3,7,0.789,4.0,placed
Ca,Ca04,flipped,3,8,0.947,0.4,placed
Ca,Ca05,upright,5,10,1.115,5.4,placed
Ca,Ca08,flipped,5,9,1.172,6.0,placed
Ca,Ca09,upright,0,8,,,not placed
Ca,Ca10,flipped,2,8,1.0,0.0,placed
Ca,Ca11,upright,6,10,0.982,3.5,placed
Ca,Ca12,flipped,6,8,1.022,1.4,placed
Cb,Cb04,flipped,1,7,1.0,0.0,placed
Cb,Cb05,upright,10,6,0.828,7.4,placed
Da,Da02,upright,2,4,0.96,0.0,placed
Da,Da03,flipped,1,4,1.0,0.0,placed
Da,Da04,upright,1,4,1.0,0.0,placed
Da,Da07,flipped,4,3,1.0,5.2,placed
Da,Da08,upright,0,1,,,not placed
Db,Db02,upright,1,3,1.0,0.0,placed
Db,Db04,upright,0,3,,,not placed
Db,Db06,upright,1,3,1.0,0.0,placed
Er,Er01,upright,2,10,0.91,0.0,placed
Er,Er02,flipped,5,12,0.808,6.3,placed
Er,Er03,upright,8,12,1.079,5.2,placed
Er,Er04,flipped,5,11,1.06,4.3,placed
Er,Er05,upright,9,13,0.932,5.8,placed
Er,Er06,flipped,6,11,0.988,4.3,placed
Er,Er07,upright,8,12,0.946,4.1,placed
Er,Er08,flipped,7,9,0.962,4.3,placed
Ev,Ev01,upright,1,12,1.0,0.0,placed
Ev,Ev02,flipped,4,8,0.944,1.9,placed
Ev,Ev03,upright,7,12,0.945,4.7,placed
Ev,Ev04,flipped,6,13,0.912,6.3,placed
Ev,Ev05,upright,2,11,1.0,0.0,placed
Ev,Ev06,flipped,7,11,0.953,2.7,placed
Ev,Ev07,upright,5,13,0.982,4.4,placed
Ev,Ev08,flipped,7,12,0.76,6.7,placed
Gr,Gr07,upright,3,10,1.0,3.7,placed
Gv,Gv02,flipped,5,10,1.015,0.7,placed
Gv,Gv03,upright,7,8,1.0,0.9,placed
Gv,Gv04,flipped,2,10,0.979,0.0,placed
Gv,Gv05,upright,4,9,1.017,0.9,placed
Gv,Gv06,flipped,1,8,1.0,0.0,placed
Gv,Gv07,upright,7,9,1.067,5.5,placed
Gv,Gv08,flipped,11,10,1.021,7.0,placed
Hr,Hr01,upright,6,16,1.025,7.3,placed
Hr,Hr02,flipped,3,19,0.911,2.1,placed
Hr,Hr03,upright,2,16,1.108,0.0,placed
Hr,Hr06,flipped,3,20,1.144,3.6,placed
Hr,Hr07,upright,1,15,1.0,0.0,placed
Hr,Hr08,flipped,2,16,1.053,0.0,placed
Hr,Hr09,upright,2,12,1.041,0.0,placed
Hr,Hr11,upright,4,11,1.168,6.5,placed
Hr,Hr12,flipped,1,4,1.0,0.0,placed
Hv,Hv02,flipped,4,14,0.844,5.3,placed
Hv,Hv03,upright,1,14,1.0,0.0,placed
Hv,Hv04,flipped,2,16,1.0,0.0,placed
Hv,Hv05,upright,3,18,0.843,3.5,placed
Hv,Hv06,flipped,3,17,0.984,0.2,placed
Hv,Hv07,upright,2,16,1.0,0.0,placed
Hv,Hv08,flipped,3,17,0.876,2.2,placed
Hv,Hv09,upright,1,20,1.0,0.0,placed
Hv,Hv10,flipped,4,21,0.91,5.3,placed
Hv,Hv11,upright,1,17,1.0,0.0,placed
Kr,Kr02,flipped,3,6,1.015,3.0,placed
Kr,Kr03,upright,1,6,1.0,0.0,placed
Kr,Kr04,flipped,6,4,0.859,5.3,placed
Kv,Kv02,upright,6,4,0.86,7.7,placed
Kv,Kv04,upright,0,5,,,not placed
Na,Na01,flipped,1,5,1.0,0.0,placed
Nb,Nb01,flipped,1,4,1.0,0.0,placed
Nb,Nb03,flipped,2,4,1.0,0.0,placed
Pr,Pr01,upright,3,15,0.909,3.0,placed
Pr,Pr02,flipped,7,19,0.792,8.2,placed
Pr,Pr03,upright,3,20,0.974,0.5,placed
Pr,Pr04,flipped,2,22,0.987,0.0,placed
Pr,Pr05,upright,4,25,0.969,6.6,placed
Pr,Pr06,flipped,2,20,1.214,0.0,placed
Pr,Pr07,upright,4,19,0.984,3.6,placed
Pr,Pr08,flipped,1,17,1.0,0.0,placed
Pr,Pr09,upright,2,11,1.106,0.0,placed
Pr,Pr10,flipped,2,11,0.892,0.0,placed
Pv,Pv01,flipped,1,6,1.0,0.0,placed
Pv,Pv02,upright,4,11,0.839,5.8,placed
Pv,Pv03,flipped,1,12,1.0,0.0,placed
Pv,Pv04,upright,1,17,1.0,0.0,placed
Pv,Pv06,upright,2,19,1.075,0.0,placed
Pv,Pv07,flipped,1,20,1.0,0.0,placed
Pv,Pv08,upright,3,20,0.811,3.8,placed
Pv,Pv09,flipped,3,16,0.968,0.9,placed
Pv,Pv10,upright,5,17,1.055,5.7,placed
Qv,Qv01,upright,1,14,1.0,0.0,placed
Qv,Qv02,flipped,1,14,1.0,0.0,placed
Qv,Qv03,upright,2,15,1.0,0.0,placed
Qv,Qv04,flipped,1,12,1.0,0.0,placed
Qv,Qv05,upright,2,12,0.985,0.0,placed
Qv,Qv06,flipped,1,9,1.0,0.0,placed
Qv,Qv07,upright,4,10,0.837,7.0,placed
Qv,Qv08,flipped,3,10,0.791,3.8,placed
Ra,Ra02,flipped,1,8,1.0,0.0,placed
Ra,Ra03,upright,3,9,1.0,0.3,placed
Ra,Ra04,flipped,1,7,1.0,0.0,placed
Ra,Ra07,upright,4,7,0.812,5.0,placed
Rb,Rb01,upright,1,2,1.0,0.0,placed
Rb,Rb02,flipped,1,6,1.0,0.0,placed
Rb,Rb03,upright,1,4,1.0,0.0,placed
Rb,Rb04,flipped,1,4,1.0,0.0,placed
Rb,Rb05,upright,1,6,1.0,0.0,placed
Rb,Rb06,flipped,1,9,1.0,0.0,placed
Rb,Rb07,upright,3,8,1.043,3.7,placed
Rb,Rb08,flipped,1,4,1.0,0.0,placed
Rb,Rb09,upright,0,1,,,not placed
Sa,Sa01,flipped,1,10,1.0,0.0,placed
Sa,Sa02,upright,1,9,1.0,0.0,placed
Sa,Sa03,flipped,1,11,1.0,0.0,placed
Sa,Sa04,upright,10,12,0.765,7.0,placed
