line,position,unit,iou,dx,dy,offset_px,offset_rel,hand_width,auto_ink_width,hand_ink_width,where,thin,local_score
Ev02,0,002.003,0.552,1.000,-1.500,1.803,0.030,60,55,60,first fifth,False,0.326
Ev02,1,254,0.560,-0.500,-0.500,0.707,0.007,107,67,107,first fifth,False,0.490
Ev02,2,522f,0.544,-2.000,-1.000,2.236,0.037,60,39,49,first fifth,False,0.446
Ev02,3,022f,0.636,-0.500,-1.000,1.118,0.047,24,18,18,first fifth,True,0.530
Ev02,4,001.071,0.566,-1.500,0.500,1.581,0.027,59,43,49,first fifth,False,0.684
Ev02,5,077,0.282,-5.500,1.000,5.590,0.699,8,19,8,first fifth,True,0.778
Ev02,6,027.711,0.000,-38.000,-2.500,38.082,3.174,12,55,12,middle,True,0.504
Ev02,7,294s,0.071,-63.000,1.000,63.008,0.768,82,91,82,middle,False,0.601
Ev02,8,002.071,0.000,-62.500,1.500,62.518,0.947,66,61,66,middle,False,0.653
Ev02,9,211s,0.000,-69.000,0.000,69.000,1.232,56,77,56,middle,False,0.576
Ev02,10,091,0.000,-53.000,2.500,53.059,0.680,78,33,77,middle,False,0.616
Ev02,11,071,0.030,-26.000,1.500,26.043,0.930,28,39,26,middle,False,0.663
Ev02,12,006,0.000,-37.000,0.500,37.003,0.861,43,30,40,middle,False,0.655
Ev02,13,047.010f.201s,0.282,31.500,0.500,31.504,0.155,203,88,203,middle,False,0.618
Ev02,14,380.001,0.000,-108.000,-3.000,108.042,3.274,33,90,30,middle,False,0.619
Ev02,15,739.400,0.588,0.000,-2.500,2.500,0.033,76,59,76,middle,False,0.437
Ev02,16,400.004,0.576,-2.000,3.500,4.031,0.031,130,77,130,middle,False,0.362
Ev02,17,700,0.566,0.500,0.000,0.500,0.005,99,68,99,middle,False,0.461
Ev02,18,004,0.421,8.000,3.500,8.732,0.323,27,26,27,middle,False,0.414
Ev02,19,700,0.201,-14.000,-2.000,14.142,0.524,27,24,27,middle,False,0.430
