measure,barthel,copies,shape,metoro,consensus,union,max relative change,verdict
copy families,3,3,3,3,3,3,0%,stable
"shared runs, strict",134,145,167,145,137,170,27%,inventory-dependent
distinct heads,649,646,629,645,647,626,4%,stable
heads for 90% of tokens,223,220,204,219,221,201,10%,stable
"adjacency gain, bits",0.289,0.301,0.29,0.276,0.291,0.291,4%,stable
doubling share,0.0558,0.0562,0.0576,0.0605,0.0599,0.062,11%,moves
collocations,73,75,75,72,72,72,3%,stable
"order 2 before 1, ratio",2.17,2.17,2.17,2.17,2.17,2.17,0%,stable
"order 4 before 2, ratio",2.75,2.75,2.75,1.76,1.76,1.76,36%,inventory-dependent
380.1 entries,73,73,73,73,73,73,0%,stable
unique entries share,1.0,1.0,1.0,1.0,1.0,1.0,0%,stable
Staff segments of 3,0.564,0.564,0.564,0.564,0.564,0.564,0%,stable
distinct units,2067,2061,2032,2048,2052,2015,3%,stable
unit hapax share,0.635,0.636,0.636,0.634,0.635,0.637,0%,stable
