sign,tokens,series,bare_pct,attachments_distinct,top_attachments,attaches_to,attached_total,left_collocates,right_collocates,shape_neighbours,shape_class,metoro_word,metoro_p,metoro_occurrences,copy_substitutes,alternation_head,list_entry_member,staff_slots_first_middle_last
001,432,0s,64,42,006(23) 009(16) 062(15),380(83) 260(12) 062(10),176,280 088 062,009 380 007,073(0.76) 065(0.76),001 146,henua,0.70,209,004 025 066,0,48,6/3/4
002,361,0s,82,22,010(20) 076(15) 003(5),010(4) 595(3) 200(2),29,002,002 595 034,083(0.69) 020(0.67),,inoino,0.40,194,,0,11,7/3/9
004,291,0s,53,37,064(54) 430(15) 600(8),600(9) 004(7) 400(3),51,080 081 300,022 760,010(0.78) 062(0.77),004 010 062,hokohuki,0.35,155,001 290,0,3,0/5/0
600,233,600s,74,30,004(9) 076(9) 007(8),004(8) 001(6) 200(4),31,007,,690(0.77) 610(0.75),550 600 690,manu,0.40,79,078 400,1,8,2/12/20
022,219,0s,72,34,380(13) 243(6) 010(4),200(9) 300(4) 061(3),34,015 004 022,203 022 025,024(0.90) 023(0.84),022 023 024 700,hokohuki,0.38,113,,1,9,2/0/0
700,215,700s,75,16,076(19) 010(9) 003(4),006(10) 010(4) 605(3),37,700,700,710(0.83) 023(0.82),022 023 024 700,ika,0.43,58,,2,3,12/7/15
200,188,200s,44,54,200(15) 001(10) 022(9),200(15) 003(7) 001(2),34,200,200,590(0.77) 520(0.72),200 520,henua,0.64,50,013,0,4,4/5/6
005,160,0s,80,19,037(5) 076(5) 010(3),025(16) 001(11) 220(3),54,005,005,095(0.76) 090(0.68),005 095,hau tea,0.81,77,,2,5,2/4/2
006,150,0s,51,29,074(23) 006(10) 700(10),073(35) 001(23) 006(10),131,026,124,060(0.74) 440(0.68),006 060,rima,0.43,55,,2,2,2/9/5
090,133,0s,47,8,076(66) 061(1) 003(1),021(5) 004(4) 600(2),20,090 071,090 070 013,091(0.83) 593(0.76),090 091 769,,,,,0,6,34/2/22
040,123,0s,86,11,003(8) 004(1) 009(1),003(3) 360(2) 300(2),11,040 760,040 390 300,023(0.75) 052(0.73),,marama,0.57,79,003 041,0,2,1/0/2
430,119,400s,59,10,076(41) 061(3) 004(2),004(15) 022(3) 010(2),25,,,506(0.68) 532(0.68),,moa,0.28,40,400 431 630,1,0,15/4/5
007,114,0s,86,6,010(9) 074(2) 052(2),600(8) 010(6) 300(2),30,098 208 001,600 067,166(0.69) 162(0.64),,rei,0.63,43,,1,6,2/0/1
380,109,300s,5,21,001(83) 003(30) 052(7),022(13) 001(1) 061(1),16,001,,110(0.62) 432(0.61),,kiore,0.42,56,,0,2,0/1/2
070,98,0s,89,8,076(4) 052(2) 002(2),010(5) 200(3) 600(2),25,090,,149(0.77) 140(0.74),070 149,vai,0.28,25,660,1,1,2/15/4
280,94,200s,87,6,076(7) 025(1) 063(1),380(1) 027(1) 537(1),4,,001,281(0.78) 590(0.74),280 281,henua,0.33,29,290,2,9,4/4/2
050,89,0s,75,12,010(7) 003(4) 006(3),003(3) 200(3) 380(2),21,755,,015(0.76) 053(0.74),015 050,maitaki,0.39,34,,0,5,0/0/5
020,89,0s,55,10,010(23) 003(5) 006(4),305(6) 010(3) 535(2),17,020,080 020,024(0.77) 700(0.76),020 055,to ragi,0.12,28,,0,1,1/6/3
300,87,300s,32,42,028(8) 022(4) 004(3),001(1) 065(1) 678(1),6,300 040,300 004,503(0.73) 520(0.72),300 503,tagata,0.10,61,,0,0,0/0/2
670,87,600s,85,7,003(5) 700(2) 076(2),004(2) 001(2) 11(1),10,041,008 099,673(0.74) 675(0.67),670 673,moe,0.32,49,,1,6,1/5/3
071,82,0s,61,10,076(19) 065(7) 071(5),071(5) 022(3) 607(2),32,076 090,604 090 010,146(0.65) 160(0.65),,,,,,0,0,11/24/5
076,82,0s,84,9,076(3) 006(2) 053(2),090(66) 430(41) 700(19),577,,071,146(0.74) 015(0.68),,,,,,0,0,19/0/0
008,79,0s,76,12,078(6) 711(6) 003(3),260(4) 001(3) 008(2),36,670,,118(0.70) 517(0.69),,haha,0.15,44,081 551,0,1,1/1/3
073,74,0s,31,12,006(35) 064(8) 076(7),208(2) 203(1) 062(1),8,,,724(0.78) 011(0.77),011 073 724,to,0.10,18,,0,2,5/2/5
011,73,0s,67,13,010(8) 076(5) 003(3),200(3) 220(2) 410(1),15,,,073(0.77) 016(0.72),011 073 724,to ihe,0.30,17,,0,0,1/19/2
522,71,500s,90,6,076(2) 070(1) 700(1),040(1) 062(1),2,,,099(0.67) 774(0.66),,ariki,0.62,26,685,0,5,2/0/1
048,70,0s,73,12,076(5) 062(3) 010(3),320(4) 191(3) 200(3),23,048,048,700(0.82) 045(0.78),045 048 135,mauga,0.38,25,117,0,0,3/1/2
010,69,0s,1,31,001(10) 079(9) 007(6),020(23) 002(20) 001(10),150,072 045 071,760,004(0.78) 062(0.76),004 010 062,manu rere,0.27,30,,0,1,0/9/1
003,66,0s,39,24,003(12) 065(8) 200(7),380(30) 306(15) 003(12),247,385,,518(0.58) 778(0.57),,maro,0.22,40,040,0,4,0/0/1
009,61,0s,67,13,076(5) 006(4) 005(2),025(16) 001(16) 045(7),95,001,,089(0.72) 086(0.70),009 086,ragi,0.39,32,599,0,5,4/0/2
053,60,0s,92,3,009(2) 076(2) 074(1),010(4) 200(4) 076(2),17,,,050(0.74) 001(0.71),,ua,0.33,30,,1,6,2/4/1
381,60,300s,83,7,009(3) 076(2) 072(1),,0,381,381,385(0.67) 741(0.67),,kiore,0.19,23,301 385 451,0,0,2/2/1
027,58,0s,64,9,076(8) 006(4) 711(3),300(2) 510(2) 061(1),8,,077,026(0.84) 058(0.77),026 027 051,kikiu,0.31,18,,0,1,4/3/8
400,57,400s,67,15,004(3) 065(3) 400(2),400(2) 300(1) 739(1),5,,,690(0.71) 590(0.69),,manu,0.45,30,430 600,0,5,1/2/7
091,57,0s,86,8,009(2) 076(2) 325(1),022(1) 540(1) 086(1),4,091 741,091,090(0.83) 769(0.73),090 091 769,henua,0.39,32,,1,3,0/0/2
755,56,700s,89,3,076(5) 075(5) 003(1),004(1) 330(1) 300(1),5,,050,151(0.67) 139(0.65),,ariki,0.34,27,,1,0,1/1/2
059,56,0s,70,9,076(6) 042(2) 450(2),022(1) 290(1) 006(1),7,059,059,145(0.66) 182(0.65),,rima oho,0.09,23,,0,3,4/0/1
060,55,0s,76,7,003(7) 069(2) 002(1),095(3) 254(1) 003(1),8,,,006(0.74) 055(0.71),006 060,oho vae,0.50,34,,1,0,0/0/1
205,55,200s,71,8,076(8) 003(2) 000(2),200(1) 010(1),2,,,201(0.83) 305(0.74),201 205 301,koia ra,0.19,16,,0,1,6/0/6
306,54,300s,50,10,003(15) 074(2) 711(2),300(1) 061(1) 065(1),3,,,206(0.81) 236(0.79),204 206 236 306,haha,0.38,24,,0,0,2/0/2
095,51,0s,76,10,060(3) 003(2) 042(2),028(2) 004(2) 095(2),18,095,095,005(0.76) 571(0.69),005 095,huaga,0.25,36,,0,0,2/0/1
607,50,600s,84,8,071(2) 000(2) 076(2),001(3) 009(1) 004(1),6,607,607,697(0.84) 597(0.77),597 607 697,manu rere,0.09,18,307,0,9,0/1/1
067,50,0s,54,10,010(10) 076(5) 022(3),010(4) 067(1) 062(1),7,067 007,067,569(0.75) 088(0.69),,tu niu,0.19,23,,0,8,3/0/2
065,50,0s,52,16,003(7) 042(5) 065(3),003(8) 071(7) 065(3),31,,,710(0.84) 146(0.78),065 066 710,to maro,0.35,22,,0,0,1/0/0
739,49,700s,84,5,003(4) 400(1) 006(1),380(2) 1(1),3,,,420(0.68) 159(0.66),,maro,0.25,25,,0,1,0/1/0
021,48,0s,69,12,076(8) 090(5) 095(2),300(2) 700(1) 660(1),5,,,109(0.68) 100(0.63),,ihe hoi atu,0.29,8,017,0,0,5/0/3
063,48,0s,81,8,004(2) 061(2) 096(1),001(10) 200(5) 300(2),40,063,063,015(0.72) 160(0.71),063 160,rere toki,0.29,43,,2,1,
066,47,0s,81,9,009(2) 549(2) 203(1),300(1) 073(1) 200(1),4,066,760 066,710(0.80) 065(0.76),065 066 710,rere manu,0.10,28,001 074 117,1,3,1/1/0
044,46,0s,76,13,430(2) 010(1) 340(1),010(3) 300(3) 380(2),16,,,055(0.75) 024(0.71),,rere manu,0.19,25,,0,1,0/1/0
290,42,200s,67,12,001(2) 042(2) 401(1),279(1) 021(1) 001(1),3,,,291(0.80) 220(0.70),220 290 291,haga,0.12,27,004 280,1,5,0/0/1
254,40,200s,75,6,003(4) 077(2) 711(2),022(2) 200(1) 025(1),7,,,253(0.85) 256(0.83),253 254 256 354,tapamea,0.38,19,256,0,2,0/1/1
069,39,0s,46,16,076(5) 006(2) 000(2),001(5) 730(3) 002(2),31,,,580(0.76) 569(0.75),069 450,haga,0.47,11,,0,2,3/5/0
099,38,0s,76,3,076(7) 071(1) 090(1),044(1),1,670,,518(0.71) 592(0.67),099 518,maro,0.27,10,,0,0,4/1/3
093,37,0s,76,3,003(7) 010(1) 075(1),736(1) 370(1) 200(1),3,,,571(0.70) 067(0.68),093 571,atua mago,0.14,12,,0,1,0/3/1
025,37,0s,46,6,009(16) 005(16) 254(1),200(3) 022(1) 290(1),7,022,,676(0.67) 020(0.67),,ragi,0.14,29,001,0,0,
530,36,500s,78,8,71(1) 1(1) 076(1),600(1),1,,,584(0.71) 291(0.70),,,,,,0,0,0/9/0
605,35,600s,46,10,003(6) 032(3) 700(3),,0,605,605,401(0.73) 295(0.71),401 605,maro,0.49,18,,0,3,
760,35,700s,89,2,004(3) 002(1),462(1) 004(1),2,066 010 004,040,255(0.72) 252(0.68),,moko,0.50,23,,0,2,0/4/0
034,35,0s,91,2,006(2) 009(1),077(2) 002(2),4,002,,020(0.66) 038(0.66),,kihikihi,0.20,11,045,0,0,
081,34,0s,94,3,006(1) 003(1) 076(1),200(1) 230(1),2,660,004,773(0.71) 082(0.71),081 773,,,,008,0,0,
041,34,0s,88,4,052(1) 008(1) 074(1),390(7) 083(1) 445(1),14,378,670,020(0.63) 022(0.62),,marama,0.62,27,040,0,0,
208,33,200s,48,10,076(6) 700(2) 073(2),002(1) 077(1) 011(1),4,,007,763(0.71) 594(0.70),,tona henua,0.34,18,,0,0,3/0/2
385,33,300s,91,3,003(1) 076(1) 070(1),048(1) 069(1),2,,003,741(0.73) 382(0.70),,moe,0.10,19,381,1,0,
049,33,0s,52,10,076(6) 006(2) 477(1),002(1) 077(1) 008(1),6,,,094(0.61) 580(0.58),,pu niu,0.36,9,,0,0,5/4/3
079,32,0s,62,7,010(5) 275(2) 074(1),010(9) 008(1) 300(1),14,079,079,571(0.64) 084(0.63),,heu,0.28,17,,0,4,
450,31,400s,68,9,052(4) 074(1) 246(1),001(3) 059(2) 65(1),15,,,069(0.75) 569(0.72),069 450,moe goe,0.08,16,710,1,3,
606,31,600s,35,7,076(13) 074(2) 075(2),,0,,,604(0.79) 603(0.78),602 603 604 606,,,,,0,1,10/0/0
062,31,0s,0,18,001(10) 064(4) 006(4),001(15) 002(3) 048(3),46,,001,024(0.77) 004(0.77),004 010 062,reva ika,0.19,8,,0,5,0/1/0
386,30,300s,60,5,076(7) 003(2) 710(1),163(1),1,,,172(0.69) 482(0.68),,ragi,0.29,10,551,0,0,4/5/2
631,30,600s,97,1,048(1),004(1) 005(1),2,,,600(0.70) 630(0.68),,ua roa,0.38,17,630,0,2,0/0/2
730,30,700s,70,6,069(3) 076(2) 074(1),200(2) 216(1),3,,,723(0.61) 590(0.59),,nuku,0.11,17,,0,1,1/0/1
741,29,700s,79,3,003(3) 042(2) 076(1),,0,,091,745(0.84) 731(0.75),741 745,vaha,0.10,24,742,0,0,0/0/1
206,29,200s,66,6,074(3) 076(3) 711(2),004(1) 091(1),2,,,204(0.83) 306(0.81),204 206 236 306,kiore,0.77,13,,0,0,2/0/1
045,29,0s,62,5,009(7) 037(5) 076(3),390(1) 320(1),2,,010,048(0.78) 074(0.75),045 048 135,to huki,0.23,9,034,2,0,2/0/2
055,29,0s,83,4,076(2) 010(1) 074(1),200(3) 309(2) 190(2),16,,,020(0.76) 044(0.75),020 055,,,,,0,0,2/5/1
092,28,0s,86,2,076(4) 005(1),090(1) 021(1),2,,,769(0.70) 082(0.69),,takaure,0.26,16,,2,1,1/2/1
047,28,0s,82,4,010(3) 076(2) 201(1),200(2) 305(1) 062(1),6,,,150(0.61) 609(0.60),,vai,0.15,14,,0,3,
660,27,600s,78,4,005(3) 000(1) 021(1),004(2),2,064,081,609(0.71) 664(0.70),,manu rere hau tea,0.18,14,070,0,5,0/0/1
046,27,0s,89,2,711(2) 076(1),,0,,,110(0.81) 700(0.75),046 110,haga maro,0.68,11,,2,0,1/0/0
204,27,200s,63,7,074(3) 076(2) 042(1),,0,,,206(0.83) 236(0.80),204 206 236 306,garu,0.27,9,,0,1,0/0/1
