class,members,corpus_tokens
501,215 231 311 315 501,19
576,276 296 406 576 596,14
158,019 155 156 158,20
700,022 023 024 700,462
534,202 232 531 534,31
574,203 302 504 574,32
236,204 206 236 306,111
374,224 323 373 374,11
275,225 235 275 285,12
393,242 282 284 393,8
507,243 244 246 507,24
354,253 254 256 354,65
610,510 570 590 610,31
606,602 603 604 606,55
626,613 622 624 626,8
062,004 010 062,391
724,011 073 724,152
051,026 027 051,78
135,045 048 135,100
057,056 057 058,36
710,065 066 710,98
769,090 091 769,192
143,141 142 143,9
154,152 153 154,4
166,163 165 166,11
771,168 529 771,12
301,201 205 301,89
314,212 216 314,11
291,220 290 291,67
696,263 266 696,6
575,305 505 575,33
583,325 335 583,10
404,397 402 404,3
609,409 410 609,8
695,442 445 695,15
537,535 536 537,16
690,550 600 690,241
698,562 633 698,12
587,569 580 587,9
619,578 594 619,6
697,597 607 697,55
146,001 146,439
095,005 095,211
060,006 060,205
086,009 086,75
013,012 013,18
050,015 050,104
055,020 055,118
039,038 039,9
110,046 110,31
064,052 064,26
160,063 160,53
450,069 450,70
149,070 149,101
117,074 117,37
140,080 140,22
773,081 773,41
088,087 088,21
449,089 449,9
571,093 571,48
518,099 518,39
712,101 712,2
111,105 111,3
130,118 130,4
151,150 151,7
390,181 390,14
585,182 585,3
726,183 726,10
520,200 520,195
226,222 226,17
270,230 270,7
341,245 341,3
255,252 255,7
281,280 281,96
526,286 526,7
294,293 294,5
395,295 395,3
616,298 616,8
763,299 763,2
503,300 503,90
407,307 407,8
748,316 748,11
502,320 502,23
324,322 324,12
336,326 336,23
344,343 344,2
356,346 356,6
405,361 405,13
375,371 375,7
582,376 582,12
384,382 384,32
605,401 605,39
540,465 540,9
636,468 636,2
774,517 774,10
566,524 566,3
539,538 539,6
552,551 552,8
557,556 557,2
666,558 666,7
584,567 584,3
599,591 599,21
734,595 734,18
618,608 618,14
625,621 625,3
646,642 646,2
664,663 664,6
673,670 673,89
684,682 684,5
735,732 735,4
745,741 745,52
743,742 743,6
756,752 756,6
