sign,variants,nn1,s1,nn2,s2,nn3,s3,nn4,s4,nn5,s5
001,2,073,0.760,065,0.758,146,0.747,022,0.737,700,0.735
002,3,083,0.686,020,0.673,132,0.660,581,0.631,103,0.626
003,1,518,0.578,778,0.573,655,0.565,020,0.565,008,0.564
004,1,010,0.781,062,0.767,024,0.714,700,0.711,022,0.708
005,1,095,0.762,090,0.676,150,0.660,092,0.653,070,0.648
006,1,060,0.742,440,0.682,055,0.670,132,0.627,054,0.625
007,1,166,0.692,162,0.635,165,0.616,139,0.614,163,0.610
008,1,118,0.705,517,0.690,151,0.659,518,0.656,020,0.655
009,1,089,0.717,086,0.699,569,0.684,091,0.645,069,0.635
010,2,004,0.781,062,0.759,052,0.741,020,0.720,024,0.712
011,1,073,0.774,016,0.723,724,0.709,001,0.707,004,0.687
012,1,013,0.781,105,0.729,147,0.728,111,0.691,107,0.681
013,2,012,0.781,070,0.737,149,0.692,089,0.672,018,0.665
014,1,151,0.637,140,0.609,150,0.608,070,0.607,755,0.607
015,1,050,0.761,063,0.718,160,0.685,076,0.682,710,0.678
016,1,011,0.723,073,0.584,724,0.561,031,0.553,061,0.553
017,1,046,0.693,700,0.668,710,0.664,045,0.662,023,0.657
018,1,070,0.687,013,0.665,149,0.645,599,0.632,140,0.628
019,1,158,0.863,156,0.832,155,0.812,159,0.747,050,0.675
020,4,024,0.771,700,0.764,055,0.755,022,0.741,045,0.732
021,1,109,0.677,100,0.626,459,0.626,030,0.617,669,0.587
022,3,024,0.901,023,0.836,700,0.799,073,0.766,710,0.765
023,1,024,0.872,022,0.836,700,0.821,710,0.763,040,0.748
024,1,022,0.901,023,0.872,700,0.811,062,0.771,020,0.771
025,1,676,0.673,020,0.669,145,0.640,100,0.629,041,0.619
026,1,027,0.841,152,0.757,051,0.754,154,0.729,153,0.724
027,2,026,0.841,058,0.768,152,0.723,051,0.713,056,0.702
028,1,150,0.651,589,0.645,094,0.640,477,0.637,725,0.630
029,2,141,0.730,143,0.711,153,0.695,142,0.690,420,0.657
030,3,124,0.678,774,0.617,021,0.617,167,0.616,034,0.593
031,2,073,0.639,724,0.632,011,0.618,589,0.615,468,0.615
