stretch,units,triads_76,starts_with_76,first_sign,last_sign,head_signs
1,46,11,True,090,071,090 012 606 064 600 022 093 045 090 175 002 002 002 020 522 027 048 090 755 509 604 022 532 700 076 320 308 022 697 022 020 200 076 072 090 128 021 532 698 298 023 380 090 470 700 071
2,35,12,True,604,002,604 460 050 498 027 093 726 087 011 099 571 070 449 449 076 027 200 076 071 090 606 600 071 001 011 090 430 076 090 071 011 600 046 089 002
3,44,16,True,390,028,390 532 205 320 600 011 386 011 300 027 093 090 430 006 076 011 430 028 011 076 295 070 560 072 010 027 604 600 090 294 430 522 633 530 090 700 071 700 076 532 014 698 386 028
4,9,3,True,571,070,571 022 181 130 017 076 073 381 070
5,28,9,True,090,002,090 070 499 090 600 002 530 202 598 301 382 049 090 440 004 449 073 430 045 090 011 430 071 071 076 021 530 002
6,32,12,True,700,074,700 071 660 045 011 006 532 021 451 770 023 384 011 202 076 220 072 205 087 633 567 023 089 178 386 020 067 004 670 205 008 074
7,24,9,True,099,076,099 724 005 633 071 600 090 011 027 606 600 090 076 384 570 090 020 050 048 070 600 090 535 076
8,51,18,True,604,002,604 012 090 382 004 384 200 160 690 076 157 045 045 092 069 455 600 050 050 497 090 700 011 076 076 090 147 076 076 071 600 009 009 090 061 036 090 070 200 069 530 205 225 071 274 604 532 700 700 430 002
9,8,2,True,606,530,606 530 072 067 004 451 128 530
10,3,1,True,090,073,090 013 073
11,6,3,True,027,038,027 530 076 067 004 038
12,11,3,True,205,499,205 071 205 604 006 095 200 690 129 049 499
13,6,2,True,090,049,090 005 406 011 011 049
14,8,4,True,205,499,205 071 076 385 071 090 087 499
15,25,8,True,023,430,023 146 001 280 160 676 023 022 530 451 430 530 298 076 071 018 049 208 460 051 011 093 205 070 430
16,23,7,True,200,700,200 160 070 205 071 202 604 530 099 146 420 021 600 604 071 011 600 066 245 003 430 006 700
17,12,4,True,071,027,071 010 071 604 148 090 009 002 499 606 146 027
18,16,5,True,071,381,071 010 522 002 726 531 002 532 726 244 073 071 129 129 071 381
19,42,11,True,200,060,200 532 005 076 200 049 076 490 320 020 037 037 097 451 254 600 208 007 146 384 090 090 090 020 087 529 005 005 005 204 022 536 005 128 071 599 606 571 027 530 600 060
20,27,10,True,090,254,090 070 600 021 087 291 090 386 202 028 011 002 021 460 522 090 001 048 048 430 006 129 190 445 009 002 254
21,8,4,True,090,090,090 071 633 020 150 090 087 090
22,8,2,True,090,755,090 071 295 090 013 291 755 755
23,3,1,True,606,185,606 004 185
24,3,1,True,430,381,430 530 381
25,8,3,True,090,532,090 071 007 021 087 224 222 532
26,11,3,True,606,028,606 050 128 071 090 099 522 011 999 004 028
27,10,3,True,208,004,208 020 090 099 070 146 090 071 004 004
28,3,1,True,021,002,021 057 002
29,2,1,True,406,071,406 071
30,8,5,True,604,007,604 076 206 460 600 720 076 007
31,8,2,True,004,298,004 004 220 530 040 076 700 298
32,17,6,True,071,496,071 010 090 178 728 146 208 148 200 366 090 090 505 633 071 071 496
33,26,10,True,072,061,072 010 090 090 020 690 062 513 049 739 208 200 534 723 071 009 090 013 076 006 755 400 001 021 530 061
34,21,8,True,048,726,048 006 076 630 010 006 700 537 099 755 073 076 168 701 302 002 430 090 091 298 726
35,10,4,False,430,300,430 006 202 006 055 600 001 076 534 300
36,9,2,False,606,593,606 010 634 148 069 027 067 149 593
37,12,5,True,755,023,755 150 021 087 755 404 076 001 700 381 023 023
38,3,1,True,090,070,090 013 070
39,6,2,True,202,146,202 073 639 005 020 146
40,21,7,False,129,224,129 129 530 376 499 430 099 071 632 670 404 158 008 720 530 076 055 052 090 001 224
41,6,1,False,607,305,607 600 053 029 070 305
42,12,3,True,404,090,404 712 400 430 055 300 067 149 090 090 090 090
43,7,2,True,009,139,009 600 023 099 090 280 139
44,17,9,True,049,076,049 451 458 604 075 076 600 161 076 002 430 076 044 095 240 001 076
45,12,6,True,076,076,076 071 430 001 076 604 048 600 400 222 071 076
46,8,3,True,069,073,069 095 001 069 570 720 070 073
47,6,2,True,090,021,090 070 027 141 729 021
48,8,3,True,604,071,604 090 220 670 021 090 001 071
49,9,3,True,099,538,099 532 700 076 168 472 470 533 538
50,9,3,True,008,067,008 142 461 076 168 600 090 280 067
51,8,2,True,194,518,194 700 001 001 074 049 149 518
52,9,3,True,090,073,090 070 532 084 670 700 090 607 073
53,12,3,True,240,010,240 700 535 440 073 631 024 384 372 090 002 010
54,6,2,True,076,090,076 068 430 522 071 090
55,8,2,True,451,430,451 027 430 071 500 041 420 430
56,3,1,True,069,050,069 280 050
57,14,6,True,445,076,445 430 630 386 700 280 420 065 381 006 002 514 071 076
58,11,3,True,029,631,029 022 280 280 326 532 631 499 532 631 631
59,3,1,True,499,501,499 532 501
60,10,3,True,499,073,499 053 200 070 472 729 071 037 037 073
61,15,5,True,048,282,048 069 499 071 400 002 430 168 090 470 533 001 022 074 282
62,8,4,True,630,720,630 001 024 480 730 095 670 720
63,16,6,True,021,052,021 607 755 607 090 057 600 161 090 070 071 600 205 076 092 052
64,15,6,True,069,700,069 200 023 440 532 100 004 290 062 076 099 204 503 057 700
65,6,2,True,472,050,472 075 440 024 090 050
66,12,5,True,045,071,045 600 087 700 076 720 070 701 214 298 700 071
67,5,2,True,604,600,604 700 604 071 600
68,2,1,True,050,002,050 002
69,3,1,True,076,535,076 092 535
70,3,1,True,208,244,208 532 244
71,21,8,True,090,071,090 057 600 700 076 177 700 057 741 430 532 200 059 074 379 002 244 280 001 532 071
72,6,2,True,700,519,700 480 600 005 420 519
73,5,2,True,006,040,006 073 430 006 040
74,3,1,True,002,382,002 240 382
75,18,6,True,076,006,076 053 472 021 386 001 150 001 526 383 280 472 790 445 027 061 193 006
76,5,3,True,406,090,406 076 755 090 090
77,6,2,True,720,600,720 070 091 430 053 600
78,17,4,True,090,440,090 057 240 059 001 176 504 430 060 379 064 379 064 002 048 019 440
79,9,2,True,741,048,741 009 076 304 006 070 024 631 048
