segment,length,head_signs
1,1,090
2,4,012 606 064 600
3,3,022 093 045
4,6,090 175 002 002 002 020
5,3,522 027 048
6,3,090 755 509
7,4,604 022 532 700
8,8,076 320 308 022 697 022 020 200
9,7,076 072 090 128 021 532 698
10,3,298 023 380
11,4,090 470 700 071
12,4,604 460 050 498
13,3,027 093 726
14,3,087 011 099
15,4,571 070 449 449
16,3,076 027 200
17,3,076 071 090
18,3,606 600 071
19,2,001 011
20,2,090 430
21,2,076 090
22,3,071 011 600
23,3,046 089 002
24,3,390 532 205
25,3,320 600 011
26,3,386 011 300
27,3,027 093 090
28,2,430 006
29,3,076 011 430
30,2,028 011
31,1,076
32,3,295 070 560
33,3,072 010 027
34,3,604 600 090
35,3,294 430 522
36,3,633 530 090
37,3,700 071 700
38,3,076 532 014
39,3,698 386 028
40,5,571 022 181 130 017
41,1,076
42,3,073 381 070
43,3,090 070 499
44,4,090 600 002 530
45,3,202 598 301
46,3,382 049 090
47,3,440 004 449
48,3,073 430 045
49,3,090 011 430
50,2,071 071
51,4,076 021 530 002
52,3,700 071 660
53,1,045
54,1,011
55,3,006 532 021
56,3,451 770 023
57,3,384 011 202
58,3,076 220 072
59,3,205 087 633
60,3,567 023 089
61,3,178 386 020
62,3,067 004 670
63,3,205 008 074
64,3,099 724 005
65,3,633 071 600
66,3,090 011 027
67,3,606 600 090
68,3,076 384 570
69,3,090 020 050
70,3,048 070 600
71,2,090 535
72,1,076
73,3,604 012 090
74,3,382 004 384
75,3,200 160 690
76,4,076 157 045 045
77,3,092 069 455
78,4,600 050 050 497
79,3,090 700 011
80,1,076
81,1,076
82,2,090 147
83,1,076
84,5,076 071 600 009 009
85,3,090 061 036
86,3,090 070 200
87,3,069 530 205
88,3,225 071 274
89,3,604 532 700
90,3,700 430 002
91,3,606 530 072
92,5,067 004 451 128 530
93,3,090 013 073
94,2,027 530
95,1,076
96,3,067 004 038
97,3,205 071 205
98,5,604 006 095 200 690
99,3,129 049 499
100,3,090 005 406
101,3,011 011 049
102,2,205 071
103,1,076
104,2,385 071
105,3,090 087 499
106,3,023 146 001
107,3,280 160 676
108,4,023 022 530 451
109,3,430 530 298
110,4,076 071 018 049
111,2,208 460
112,3,051 011 093
113,3,205 070 430
114,3,200 160 070
115,3,205 071 202
116,3,604 530 099
117,4,146 420 021 600
118,4,604 071 011 600
119,3,066 245 003
120,3,430 006 700
121,3,071 010 071
122,3,604 148 090
123,3,009 002 499
124,3,606 146 027
125,4,071 010 522 002
126,2,726 531
127,2,002 532
128,1,726
129,7,244 073 071 129 129 071 381
130,3,200 532 005
131,3,076 200 049
132,3,076 490 320
133,4,020 037 037 097
134,3,451 254 600
135,5,208 007 146 384 090
136,1,090
137,7,090 020 087 529 005 005 005
138,7,204 022 536 005 128 071 599
139,2,606 571
140,4,027 530 600 060
141,3,090 070 600
142,3,021 087 291
143,3,090 386 202
144,1,028
145,1,011
146,4,002 021 460 522
147,4,090 001 048 048
148,2,430 006
149,3,129 190 445
150,3,009 002 254
151,2,090 071
152,3,633 020 150
153,2,090 087
154,1,090
155,3,090 071 295
156,5,090 013 291 755 755
157,3,606 004 185
158,3,430 530 381
159,3,090 071 007
160,3,021 087 224
161,2,222 532
162,5,606 050 128 071 090
163,5,099 522 011 004 028
164,3,208 020 090
165,3,099 070 146
166,4,090 071 004 004
167,3,021 057 002
168,2,406 071
169,1,604
170,1,076
171,3,206 460 600
172,1,720
173,2,076 007
174,5,004 004 220 530 040
175,3,076 700 298
176,3,071 010 090
177,3,178 728 146
178,3,208 148 200
179,2,366 090
180,3,090 505 633
181,3,071 071 496
182,3,072 010 090
183,2,090 020
184,3,690 062 513
185,3,049 739 208
186,2,200 534
187,3,723 071 009
188,2,090 013
189,2,076 006
190,2,755 400
191,4,001 021 530 061
192,2,048 006
193,1,076
194,3,630 010 006
195,3,700 537 099
196,2,755 073
197,4,076 168 701 302
198,3,002 430 090
199,4,091 298 726 430
200,1,006
201,2,202 006
202,3,055 600 001
203,6,076 534 300 606 010 634
204,3,148 069 027
205,3,067 149 593
206,2,755 150
207,3,021 087 755
208,1,404
209,2,076 001
210,4,700 381 023 023
211,3,090 013 070
212,3,202 073 639
213,4,005 020 146 129
214,3,129 530 376
215,2,499 430
216,4,099 071 632 670
217,3,404 158 008
218,2,720 530
219,3,076 055 052
220,6,090 001 224 607 600 053
221,3,029 070 305
222,3,404 712 400
223,3,430 055 300
224,6,067 149 090 090 090 090
225,4,009 600 023 099
226,3,090 280 139
227,3,049 451 458
228,2,604 075
229,1,076
230,2,600 161
231,1,076
232,2,002 430
233,3,076 044 095
234,2,240 001
235,1,076
236,2,076 071
237,2,430 001
238,1,076
239,4,604 048 600 400
240,2,222 071
241,1,076
242,2,069 095
243,3,001 069 570
244,3,720 070 073
