sign,nn1,s1,nn2,s2,nn3,s3
001,053,0.432,073,0.421,065,0.420
002,020,0.386,175,0.381,510,0.375
003,002,0.338,518,0.336,517,0.325
004,010,0.446,074,0.422,045,0.419
005,090,0.405,593,0.398,070,0.397
006,060,0.419,055,0.411,440,0.403
007,150,0.398,080,0.382,151,0.382
008,517,0.378,034,0.372,118,0.366
009,089,0.424,086,0.419,569,0.401
010,062,0.448,004,0.446,052,0.434
011,073,0.407,724,0.404,024,0.395
012,013,0.442,147,0.407,111,0.401
013,012,0.442,070,0.414,149,0.406
014,093,0.382,070,0.379,591,0.378
015,063,0.416,160,0.400,053,0.400
016,011,0.375,017,0.325,037,0.317
017,103,0.389,700,0.379,046,0.362
018,080,0.397,149,0.390,070,0.387
019,158,0.444,156,0.430,155,0.406
020,022,0.404,174,0.400,100,0.390
021,109,0.380,459,0.373,100,0.358
022,023,0.455,024,0.452,073,0.433
023,022,0.455,040,0.447,024,0.443
024,022,0.452,023,0.443,700,0.428
025,676,0.397,145,0.380,020,0.379
026,027,0.439,051,0.433,143,0.409
027,026,0.439,058,0.423,051,0.401
028,150,0.381,589,0.374,410,0.364
029,724,0.418,153,0.405,159,0.404
030,517,0.374,774,0.357,581,0.353
031,120,0.363,468,0.354,354,0.352
032,110,0.388,046,0.383,109,0.376
033,509,0.357,642,0.348,651,0.346
034,599,0.392,020,0.383,039,0.377
035,092,0.363,654,0.357,082,0.352
036,639,0.323,038,0.319,770,0.318
037,724,0.401,061,0.368,040,0.367
038,039,0.388,167,0.385,512,0.381
039,512,0.390,038,0.388,034,0.377
040,023,0.447,724,0.429,055,0.418
041,020,0.389,022,0.372,025,0.366
042,376,0.329,487,0.322,531,0.318
043,209,0.328,168,0.321,771,0.320
044,135,0.397,074,0.390,053,0.389
045,048,0.447,046,0.426,023,0.422
046,110,0.445,045,0.426,700,0.420
047,150,0.355,349,0.347,410,0.344
048,045,0.447,023,0.421,700,0.420
049,123,0.389,066,0.385,773,0.379
050,053,0.403,015,0.397,156,0.387
051,026,0.433,027,0.401,143,0.388
052,010,0.434,064,0.430,053,0.421
053,001,0.432,052,0.421,010,0.410
054,159,0.406,055,0.394,053,0.381
055,023,0.426,040,0.418,052,0.411
056,058,0.428,057,0.421,027,0.392
057,056,0.421,058,0.396,027,0.384
058,056,0.428,027,0.423,057,0.396
059,145,0.392,676,0.384,790,0.379
060,006,0.419,053,0.406,055,0.403
061,040,0.387,724,0.384,062,0.375
062,010,0.448,724,0.420,040,0.417
063,015,0.416,160,0.403,040,0.403
064,052,0.430,077,0.407,023,0.401
065,710,0.443,066,0.434,001,0.420
066,123,0.450,065,0.434,710,0.431
067,569,0.423,568,0.409,580,0.400
068,085,0.384,131,0.382,149,0.373
069,569,0.405,440,0.396,580,0.391
070,149,0.457,150,0.431,146,0.423
071,010,0.399,066,0.383,075,0.375
072,550,0.384,280,0.377,260,0.374
073,022,0.433,724,0.429,066,0.424
