side_a,side_b,shared_signs,cross_side_penalty,control_penalty_thickened
Gr,Ra,10,-0.0037,0.0036
Ev,Rb,9,-0.0032,0.0039
Gr,Gv,7,-0.0026,0.0074
Ca,Ra,14,-0.0024,0.0025
Gr,Qr,10,-0.0016,0.0042
Pv,Qv,31,-0.0015,0.0057
Qv,Ra,14,-0.0014,0.0050
Pr,Rb,13,-0.0006,0.0049
Bv,Ra,16,0.0000,0.0041
Bv,Rb,11,0.0001,0.0037
Hr,Qr,36,0.0002,0.0084
Br,Rb,9,0.0006,0.0037
Gv,I,15,0.0021,0.0043
Gr,Na,5,0.0022,0.0045
Ra,Rb,10,0.0025,0.0070
Ab,Rb,13,0.0025,0.0058
Bv,Kr,4,0.0028,0.0062
Ab,Ra,18,0.0030,0.0088
Cb,Pr,23,0.0032,0.0064
Hv,Pv,41,0.0033,0.0108
Pr,Qr,31,0.0036,0.0106
Qr,Rb,10,0.0037,0.0082
Gr,Rb,9,0.0038,0.0096
Br,Qv,14,0.0040,0.0083
I,Qr,34,0.0045,0.0088
Pv,Ra,16,0.0045,0.0114
Gr,I,15,0.0047,0.0107
Br,Gr,7,0.0048,0.0060
Qv,Rb,9,0.0049,0.0123
Ca,Er,16,0.0049,0.0105
Gv,Qr,9,0.0050,0.0087
Hr,Rb,14,0.0050,0.0122
Hr,Pr,42,0.0052,0.0134
Ca,Rb,11,0.0053,0.0113
Cb,Gr,12,0.0053,0.0059
Cb,Pv,19,0.0055,0.0088
Br,Gv,11,0.0056,0.0112
Ab,Gr,10,0.0056,0.0055
Cb,Qv,13,0.0059,0.0122
Ev,Qv,14,0.0059,0.0149
Pr,Qv,25,0.0060,0.0102
Aa,I,41,0.0062,0.0098
Ab,Qr,22,0.0065,0.0103
Br,Cb,13,0.0066,0.0107
Aa,Bv,23,0.0067,0.0087
Ab,I,43,0.0067,0.0103
Cb,Qr,15,0.0068,0.0106
Qr,Qv,20,0.0069,0.0118
Br,Ev,14,0.0069,0.0141
Gr,Pv,10,0.0069,0.0112
Aa,Rb,11,0.0072,0.0111
