side,lines,instances,width_slope,width_slope_inner,slope_odd_lines,slope_even_lines,height_slope,width_first_fifth,width_last_fifth
Aa,8,678,-0.058,-0.100,-0.043,-0.073,0.015,1.112,1.055
Ab,8,659,-0.095,-0.121,-0.047,-0.141,0.037,1.198,1.126
Br,9,395,-0.005,-0.116,-0.265,0.221,-0.035,1.087,1.150
Bv,10,437,0.029,0.005,0.041,0.021,-0.040,1.120,1.083
Ca,12,339,-0.032,-0.181,0.063,-0.126,0.005,1.099,1.033
Cb,11,293,-0.081,-0.038,-0.039,-0.131,-0.003,1.152,1.111
Da,4,58,0.471,0.980,0.443,0.498,0.108,0.806,1.176
Db,4,53,-0.403,0.177,nan,-0.506,-0.046,1.273,0.846
Er,9,338,-0.078,-0.010,0.021,-0.204,-0.009,0.992,0.942
Ev,8,309,0.166,0.276,0.056,0.281,0.009,0.936,1.029
Gr,7,200,-0.362,-0.452,-0.424,-0.273,-0.094,1.143,0.832
Gv,7,221,-0.006,0.026,-0.056,0.030,-0.075,1.063,0.995
Hr,12,586,-0.007,-0.025,-0.803,0.769,-0.010,1.485,1.156
Hv,12,632,-0.196,-0.253,-0.362,-0.038,0.015,1.433,1.159
I,14,1619,-0.068,-0.066,0.042,-0.182,-0.032,1.036,0.982
Kr,3,60,0.043,0.029,nan,0.219,-0.039,0.854,0.914
Kv,3,50,0.408,-0.170,nan,0.337,0.060,1.135,1.372
La,1,44,-0.369,-0.085,nan,nan,-0.405,1.249,0.751
Na,4,79,0.286,0.117,0.370,0.208,-0.026,1.272,1.579
Nb,2,33,1.237,1.037,1.237,nan,0.052,0.983,1.968
Pr,11,605,-0.198,-0.141,-0.366,-0.011,-0.000,1.232,1.093
Pv,10,500,-0.145,-0.233,-0.078,-0.202,0.022,1.264,1.146
Qr,7,318,0.056,-0.070,-0.105,0.183,-0.028,1.097,1.132
Qv,8,324,0.035,0.004,-0.074,0.155,-0.011,1.185,1.308
Ra,7,186,-0.448,-0.578,-0.534,-0.342,-0.067,1.616,1.068
Rb,8,160,-0.513,-0.171,-0.855,-0.207,-0.082,1.316,0.950
Sa,5,186,-0.178,-0.197,-0.415,0.212,-0.016,1.261,1.097
