sign,instances,sides,within,same_side,cross_side
376,13,9,0.302,0.280,0.305
382,15,5,0.301,0.301,0.301
591,13,6,0.298,0.330,0.293
092,25,7,0.295,0.346,0.284
046,27,11,0.285,0.320,0.280
608,14,9,0.280,0.312,0.278
431,22,9,0.280,0.289,0.278
080,18,4,0.279,0.262,0.289
379,15,9,0.278,0.263,0.281
204,28,11,0.278,0.273,0.278
015,29,8,0.277,0.302,0.271
056,15,12,0.275,0.270,0.276
070,83,17,0.273,0.265,0.275
755,63,17,0.271,0.309,0.269
203,22,9,0.267,0.254,0.272
326,25,11,0.267,0.247,0.269
741,27,5,0.265,0.302,0.228
571,13,7,0.265,0.267,0.264
007,108,22,0.265,0.276,0.264
084,18,8,0.264,0.296,0.259
680,22,12,0.264,0.290,0.259
062,41,20,0.263,0.271,0.263
053,56,17,0.262,0.246,0.263
099,39,13,0.261,0.245,0.263
144,36,9,0.261,0.264,0.260
499,15,1,0.260,0.260,nan
710,33,5,0.259,0.286,0.249
280,109,25,0.259,0.270,0.258
019,15,9,0.258,0.277,0.256
604,19,3,0.256,0.257,0.253
599,15,7,0.255,0.237,0.259
117,16,6,0.255,0.277,0.248
385,29,10,0.255,0.257,0.254
072,26,7,0.254,0.264,0.252
079,33,16,0.254,0.324,0.249
290,44,17,0.254,0.288,0.251
607,42,19,0.253,0.267,0.253
450,42,15,0.252,0.267,0.250
400,64,19,0.252,0.264,0.251
360,26,10,0.252,0.255,0.251
081,43,11,0.252,0.280,0.246
381,76,15,0.251,0.281,0.248
720,16,6,0.251,0.269,0.244
093,41,15,0.250,0.259,0.249
380,124,20,0.249,0.287,0.245
760,34,9,0.249,0.307,0.237
047,25,12,0.249,0.300,0.242
067,72,20,0.248,0.265,0.247
059,40,13,0.248,0.295,0.242
054,12,5,0.248,0.232,0.252
532,21,1,0.248,0.248,nan
208,34,15,0.247,0.227,0.249
013,17,10,0.246,0.305,0.238
214,12,7,0.246,0.327,0.233
010,69,15,0.246,0.240,0.247
205,64,19,0.245,0.259,0.244
630,27,14,0.245,0.259,0.244
600,265,23,0.244,0.239,0.245
522,66,21,0.244,0.270,0.242
260,32,10,0.244,0.292,0.238
008,78,18,0.243,0.250,0.243
202,29,10,0.243,0.246,0.242
606,40,12,0.243,0.245,0.242
254,47,18,0.242,0.276,0.240
551,14,4,0.242,0.276,0.231
451,26,11,0.240,0.235,0.241
009,73,18,0.240,0.237,0.240
300,99,20,0.239,0.221,0.242
034,47,15,0.238,0.223,0.240
017,22,11,0.238,0.292,0.234
670,88,23,0.238,0.249,0.237
002,354,26,0.238,0.258,0.236
071,83,7,0.238,0.236,0.243
739,52,18,0.237,0.287,0.234
090,136,17,0.235,0.237,0.234
244,18,9,0.235,0.281,0.231
087,16,8,0.235,0.262,0.224
460,12,7,0.235,0.205,0.239
045,47,16,0.235,0.238,0.234
700,209,24,0.234,0.249,0.233
027,70,17,0.234,0.252,0.232
440,29,9,0.234,0.260,0.230
770,16,9,0.233,0.241,0.233
005,166,21,0.233,0.227,0.234
305,25,11,0.233,0.261,0.230
530,32,6,0.232,0.235,0.228
055,24,8,0.232,0.211,0.239
730,32,15,0.232,0.242,0.231
076,80,6,0.231,0.235,0.215
023,15,2,0.231,0.226,0.267
020,112,21,0.231,0.236,0.231
386,34,8,0.231,0.230,0.231
073,74,18,0.230,0.229,0.230
256,22,10,0.230,0.226,0.230
021,82,12,0.230,0.240,0.228
430,125,22,0.229,0.241,0.227
605,34,10,0.229,0.250,0.226
040,112,20,0.229,0.282,0.224
011,84,17,0.228,0.226,0.229
091,55,18,0.228,0.232,0.228
050,102,20,0.228,0.249,0.227
420,19,11,0.227,0.243,0.225
061,20,11,0.226,0.234,0.226
631,32,9,0.225,0.230,0.225
206,36,17,0.225,0.227,0.225
068,22,7,0.225,0.221,0.226
048,81,16,0.225,0.221,0.225
095,51,16,0.225,0.232,0.224
066,61,14,0.225,0.233,0.224
306,57,20,0.224,0.217,0.225
301,34,11,0.224,0.245,0.222
030,22,13,0.224,0.246,0.222
006,123,23,0.223,0.233,0.222
773,12,8,0.223,0.291,0.219
200,233,24,0.223,0.216,0.223
445,17,9,0.222,0.258,0.219
029,16,7,0.222,0.197,0.227
734,12,8,0.220,0.245,0.218
004,314,25,0.218,0.214,0.218
057,20,12,0.218,0.243,0.215
215,13,9,0.218,0.242,0.216
470,20,13,0.217,0.232,0.216
041,32,12,0.217,0.238,0.214
069,44,17,0.217,0.219,0.217
384,21,7,0.217,0.226,0.215
044,51,16,0.217,0.228,0.216
065,60,13,0.217,0.238,0.214
049,32,11,0.216,0.234,0.211
063,46,8,0.215,0.205,0.220
330,16,6,0.214,0.194,0.232
060,70,18,0.213,0.240,0.211
074,29,14,0.213,0.241,0.211
745,21,5,0.213,0.202,0.216
207,19,13,0.212,0.205,0.213
086,14,8,0.212,0.231,0.207
022,230,23,0.209,0.220,0.209
001,463,26,0.208,0.235,0.206
209,23,8,0.207,0.213,0.206
077,23,12,0.206,0.208,0.206
220,18,9,0.206,0.197,0.206
660,19,6,0.205,0.211,0.203
064,17,8,0.204,0.220,0.202
025,38,11,0.202,0.213,0.196
078,16,7,0.200,0.202,0.200
028,18,10,0.200,0.200,0.200
320,14,6,0.198,0.199,0.197
016,13,8,0.195,0.182,0.197
22,14,1,0.188,0.188,nan
003,54,20,0.179,0.197,0.178
