side,untyped,units,lines,best_lag,best_lag_z,lag1_z,kl_line_first,p_lines,internal_cover,internal_cover_shuffled,nearest_group,nearest_sim,aff_copied H/P/Q,aff_copied G/K,aff_delimited lists,aff_triadic,aff_refrains,stroke_share,attached_share,sign76_share,doubled_share,distinctive
Aa,True,678,8,2,18.24,10.44,4.124,0.46,0.549,0.358,copied H/P/Q,0.404,0.404,0.184,0.34,0.21,0.344,0.209,0.255,0.0,0.06,4(x12.8) 22(x12.8) 65(x12.8) 11(x12.8) 025(x7.6)
Ab,True,659,8,2,11.37,6.67,3.573,0.465,0.765,0.655,copied H/P/Q,0.521,0.521,0.28,0.51,0.244,0.47,0.297,0.347,0.0,0.059,742(x13.2) 741(x8.6) 360(x4.1) 631(x4.0) 605(x3.4)
Br,False,437,10,2,14.94,3.78,3.383,0.355,0.6,0.414,refrains,0.446,0.404,0.193,0.379,0.217,0.446,0.185,0.252,0.009,0.037,330(x16.8) 595(x11.9) 016(x9.0) 063(x8.3) 745(x7.8)
Bv,True,510,12,2,9.77,6.2,3.241,0.39,0.525,0.387,copied H/P/Q,0.531,0.531,0.284,0.493,0.282,0.486,0.202,0.373,0.008,0.047,054(x7.7) 405(x7.1) 320(x5.4) 326(x5.2) 385(x5.2)
Ca,False,396,14,1,13.71,13.71,1.827,0.965,0.73,0.618,delimited lists,0.483,0.421,0.321,0.483,0.213,0.398,0.247,0.247,0.0,0.124,378(x21.9) 390(x12.8) 041(x7.1) 047(x7.1) 760(x6.3)
Cb,False,363,14,2,11.66,6.19,2.37,0.565,0.645,0.539,delimited lists,0.536,0.445,0.412,0.536,0.216,0.434,0.289,0.278,0.0,0.069,086(x10.3) 760(x6.8) 003(x5.8) 095(x5.6) 660(x5.3)
Da,True,106,8,3,4.81,1.68,2.688,0.35,0.481,0.293,copied H/P/Q,0.427,0.427,0.249,0.374,0.221,0.33,0.236,0.245,0.0,0.047,007(x3.6) 200(x3.1) 600(x2.8) 700(x2.3) 002(x1.8)
Db,True,73,6,1,6.44,6.44,3.105,0.17,0.247,0.173,copied H/P/Q,0.337,0.337,0.218,0.322,0.159,0.291,0.356,0.37,0.0,0.123,007(x5.2) 002(x1.6)
Er,False,338,9,2,11.09,4.11,2.595,0.455,0.814,0.711,refrains,0.491,0.407,0.229,0.393,0.183,0.491,0.213,0.325,0.012,0.071,203(x16.2) 063(x9.6) 300(x7.4) 204(x4.8) 041(x4.5)
Ev,False,309,8,2,9.33,2.76,2.862,0.62,0.608,0.495,copied G/K,0.578,0.427,0.578,0.573,0.263,0.435,0.243,0.343,0.003,0.049,035(x15.6) 092(x8.0) 380(x5.7) 400(x3.0) 009(x2.3)
Gr,False,239,8,6,8.52,-1.33,3.303,0.15,0.699,0.607,copied G/K,0.661,0.299,0.661,0.466,0.158,0.271,0.234,0.326,0.008,0.017,098(x31.8) 124(x29.7) 380(x10.0) 059(x4.5) 007(x3.5)
Gv,True,243,8,2,10.71,6.63,3.45,0.365,0.44,0.316,copied H/P/Q,0.416,0.416,0.225,0.333,0.241,0.365,0.152,0.354,0.169,0.066,033(x22.8) 044(x3.9) 048(x3.1) 700(x2.7) 200(x2.3)
Hr,False,586,12,4,12.57,9.98,2.937,0.71,0.546,0.463,copied H/P/Q,0.68,0.68,0.29,0.496,0.347,0.527,0.198,0.304,0.012,0.065,551(x10.6) 015(x7.9) 202(x3.7) 065(x3.6) 066(x3.2)
Hv,False,632,12,2,15.94,12.88,2.855,0.905,0.672,0.442,copied H/P/Q,0.64,0.64,0.264,0.48,0.302,0.469,0.163,0.29,0.002,0.071,117(x8.0) 144(x6.9) 084(x5.9) 209(x5.7) 081(x4.4)
Ia,False,1619,14,1,4.35,4.35,3.473,0.52,0.749,0.726,triadic,0.528,0.337,0.166,0.231,0.528,0.262,0.093,0.402,0.343,0.03,532(x5.4) 128(x5.4) 499(x5.4) 690(x5.4) 129(x5.4)
Kr,False,82,5,2,6.98,-0.93,2.827,0.58,0.439,0.241,copied G/K,0.607,0.26,0.607,0.393,0.194,0.254,0.183,0.402,0.0,0.012,380(x10.7) 073(x8.6)
Kv,False,62,5,13,3.13,-1.57,2.715,0.27,0.435,0.45,copied G/K,0.615,0.221,0.615,0.451,0.132,0.181,0.21,0.323,0.0,0.016,380(x15.4) 001(x2.6)
La,True,44,1,2,6.53,1.28,3.874,1.0,0.386,0.262,copied H/P/Q,0.131,0.131,0.114,0.118,0.107,0.098,0.114,0.159,0.0,0.068,051(x125.7)
Ma,True,48,9,2,3.88,2.09,1.935,0.05,0.375,0.407,refrains,0.321,0.26,0.146,0.292,0.184,0.321,0.438,0.083,0.0,0.125,006(x12.1)
