side,lag,observed,shuffled_mean,z
Aa,1,0.0606,0.0119,10.44
Aa,2,0.0784,0.0115,18.24
Aa,3,0.0356,0.0116,6.31
Aa,4,0.0534,0.0118,10.26
Aa,5,0.0401,0.0117,6.72
Aa,6,0.0536,0.0117,9.66
Aa,7,0.0328,0.0118,5.70
Aa,8,0.0388,0.0116,6.80
Aa,9,0.0224,0.0111,2.93
Aa,10,0.0329,0.0115,5.22
Aa,11,0.0255,0.0117,3.72
Aa,12,0.0345,0.0115,5.61
Aa,13,0.0226,0.0118,2.84
Aa,14,0.0181,0.0117,1.50
Aa,15,0.0196,0.0115,2.10
Aa,16,0.0196,0.0119,1.82
Aa,17,0.0242,0.0119,2.90
Aa,18,0.0212,0.0115,2.20
Aa,19,0.0197,0.0118,1.83
Aa,20,0.0122,0.0120,0.03
Aa,21,0.0274,0.0116,3.94
Aa,22,0.0259,0.0120,3.35
Aa,23,0.0153,0.0112,1.04
Aa,24,0.0336,0.0120,5.41
Aa,25,0.0184,0.0111,1.73
Aa,26,0.0138,0.0117,0.54
Aa,27,0.0154,0.0117,0.90
Aa,28,0.0215,0.0119,2.52
Aa,29,0.0077,0.0115,-0.96
Aa,30,0.0185,0.0118,1.77
Aa,31,0.0201,0.0114,1.96
Aa,32,0.0093,0.0118,-0.58
Aa,33,0.0171,0.0118,1.25
Aa,34,0.0217,0.0110,2.69
Aa,35,0.0171,0.0115,1.37
Aa,36,0.0202,0.0114,2.13
Aa,37,0.0218,0.0111,2.72
Aa,38,0.0203,0.0118,1.94
Aa,39,0.0156,0.0113,1.05
Aa,40,0.0157,0.0120,0.97
Aa,41,0.0204,0.0122,1.84
Aa,42,0.0173,0.0116,1.46
Aa,43,0.0126,0.0117,0.21
Aa,44,0.0126,0.0118,0.19
Aa,45,0.0142,0.0113,0.64
Aa,46,0.0174,0.0118,1.43
Aa,47,0.0095,0.0117,-0.53
Aa,48,0.0143,0.0111,0.81
Aa,49,0.0223,0.0115,2.44
Aa,50,0.0159,0.0120,0.92
Aa,51,0.0239,0.0112,3.48
Aa,52,0.0112,0.0121,-0.22
Aa,53,0.0112,0.0115,-0.08
Aa,54,0.0224,0.0114,2.79
Aa,55,0.0161,0.0116,1.03
Aa,56,0.0113,0.0114,-0.04
Aa,57,0.0129,0.0117,0.28
Aa,58,0.0081,0.0117,-0.81
Aa,59,0.0162,0.0120,0.95
Aa,60,0.0097,0.0113,-0.43
Ab,1,0.0593,0.0221,6.67
Ab,2,0.0837,0.0221,11.37
Ab,3,0.0549,0.0220,5.96
Ab,4,0.0366,0.0220,2.57
Ab,5,0.0550,0.0221,5.90
Ab,6,0.0214,0.0222,-0.14
Ab,7,0.0322,0.0214,2.02
Ab,8,0.0169,0.0224,-0.97
Ab,9,0.0338,0.0217,2.07
Ab,10,0.0324,0.0220,1.82
Ab,11,0.0370,0.0223,2.75
Ab,12,0.0263,0.0219,0.82
Ab,13,0.0155,0.0224,-1.24
Ab,14,0.0264,0.0220,0.75
Ab,15,0.0404,0.0219,3.49
Ab,16,0.0171,0.0225,-0.87
Ab,17,0.0218,0.0219,-0.02
Ab,18,0.0218,0.0228,-0.19
Ab,19,0.0234,0.0219,0.27
Ab,20,0.0266,0.0218,0.80
Ab,21,0.0298,0.0218,1.40
Ab,22,0.0251,0.0218,0.57
Ab,23,0.0173,0.0215,-0.73
Ab,24,0.0236,0.0215,0.35
Ab,25,0.0189,0.0223,-0.63
Ab,26,0.0427,0.0228,3.48
Ab,27,0.0190,0.0227,-0.69
Ab,28,0.0301,0.0219,1.47
Ab,29,0.0222,0.0226,-0.07
Ab,30,0.0223,0.0218,0.09
Ab,31,0.0271,0.0214,1.15
Ab,32,0.0255,0.0222,0.54
Ab,33,0.0335,0.0215,2.19
Ab,34,0.0224,0.0216,0.15
Ab,35,0.0272,0.0220,0.93
Ab,36,0.0321,0.0211,1.98
Ab,37,0.0241,0.0219,0.39
Ab,38,0.0209,0.0215,-0.11
Ab,39,0.0161,0.0221,-1.02
Ab,40,0.0194,0.0220,-0.42
Ab,41,0.0210,0.0222,-0.19
Ab,42,0.0194,0.0221,-0.48
Ab,43,0.0162,0.0219,-0.95
Ab,44,0.0179,0.0213,-0.66
Ab,45,0.0261,0.0214,0.72
Ab,46,0.0228,0.0216,0.21
Ab,47,0.0212,0.0219,-0.10
Ab,48,0.0295,0.0223,1.16
Ab,49,0.0295,0.0219,1.34
Ab,50,0.0213,0.0218,-0.09
Ab,51,0.0296,0.0218,1.41
Ab,52,0.0148,0.0225,-1.24
Ab,53,0.0215,0.0222,-0.13
Ab,54,0.0198,0.0221,-0.39
Ab,55,0.0149,0.0216,-1.07
Ab,56,0.0133,0.0219,-1.31
Ab,57,0.0133,0.0216,-1.37
Ab,58,0.0133,0.0221,-1.45
Ab,59,0.0200,0.0216,-0.28
Ab,60,0.0217,0.0222,-0.09
Br,1,0.0367,0.0150,3.78
Br,2,0.1011,0.0153,14.94
Br,3,0.0438,0.0155,5.38
Br,4,0.0970,0.0147,14.31
Br,5,0.0602,0.0146,8.13
Br,6,0.0487,0.0141,5.67
Br,7,0.0488,0.0149,6.05
Br,8,0.0559,0.0147,6.65
Br,9,0.0631,0.0148,8.79
Br,10,0.0258,0.0150,1.95
Br,11,0.0469,0.0147,5.51
Br,12,0.0306,0.0148,2.91
Br,13,0.0401,0.0146,4.90
Br,14,0.0213,0.0145,1.17
Br,15,0.0308,0.0152,2.65
Br,16,0.0238,0.0147,1.64
Br,17,0.0286,0.0154,2.29
Br,18,0.0310,0.0148,2.82
Br,19,0.0120,0.0147,-0.44
Br,20,0.0288,0.0156,2.04
Br,21,0.0120,0.0146,-0.43
Br,22,0.0193,0.0155,0.61
Br,23,0.0217,0.0156,1.03
Br,24,0.0315,0.0149,2.76
Br,25,0.0267,0.0150,1.76
Br,26,0.0243,0.0152,1.53
Br,27,0.0122,0.0152,-0.48
Br,28,0.0122,0.0145,-0.39
Br,29,0.0294,0.0148,2.55
Br,30,0.0197,0.0155,0.70
Br,31,0.0049,0.0148,-1.55
Br,32,0.0173,0.0150,0.40
Br,33,0.0124,0.0148,-0.40
Br,34,0.0223,0.0152,1.21
Br,35,0.0124,0.0156,-0.55
Br,36,0.0125,0.0148,-0.41
Br,37,0.0100,0.0145,-0.75
Br,38,0.0125,0.0156,-0.54
Br,39,0.0201,0.0152,0.78
Br,40,0.0076,0.0151,-1.22
Br,41,0.0101,0.0157,-0.91
Br,42,0.0152,0.0154,-0.04
Br,43,0.0076,0.0158,-1.43
Br,44,0.0153,0.0149,0.07
Br,45,0.0128,0.0147,-0.34
Br,46,0.0128,0.0149,-0.37
Br,47,0.0103,0.0149,-0.82
Br,48,0.0154,0.0148,0.11
Br,49,0.0180,0.0153,0.44
Br,50,0.0181,0.0148,0.60
Br,51,0.0207,0.0142,1.12
Br,52,0.0052,0.0148,-1.68
Br,53,0.0104,0.0154,-0.79
Br,54,0.0209,0.0144,1.11
Br,55,0.0079,0.0154,-1.21
Br,56,0.0105,0.0149,-0.71
Br,57,0.0053,0.0148,-1.46
Br,58,0.0079,0.0158,-1.25
Br,59,0.0026,0.0150,-2.00
Br,60,0.0186,0.0151,0.52
Bv,1,0.0472,0.0137,6.20
Bv,2,0.0630,0.0137,9.77
Bv,3,0.0276,0.0129,2.88
Bv,4,0.0277,0.0137,2.81
Bv,5,0.0257,0.0134,2.54
Bv,6,0.0238,0.0136,2.10
Bv,7,0.0199,0.0132,1.36
Bv,8,0.0139,0.0139,0.01
Bv,9,0.0140,0.0131,0.17
Bv,10,0.0140,0.0134,0.11
Bv,11,0.0100,0.0131,-0.65
Bv,12,0.0201,0.0134,1.23
Bv,13,0.0322,0.0136,4.08
Bv,14,0.0181,0.0129,1.04
Bv,15,0.0162,0.0131,0.62
Bv,16,0.0061,0.0137,-1.53
Bv,17,0.0081,0.0130,-0.93
Bv,18,0.0122,0.0130,-0.15
Bv,19,0.0102,0.0132,-0.59
Bv,20,0.0224,0.0137,1.74
Bv,21,0.0204,0.0134,1.37
Bv,22,0.0123,0.0134,-0.23
Bv,23,0.0144,0.0128,0.32
Bv,24,0.0123,0.0134,-0.21
Bv,25,0.0144,0.0135,0.18
Bv,26,0.0227,0.0130,1.99
Bv,27,0.0186,0.0130,1.10
Bv,28,0.0270,0.0137,2.61
Bv,29,0.0187,0.0132,1.06
Bv,30,0.0146,0.0134,0.21
Bv,31,0.0125,0.0134,-0.17
Bv,32,0.0126,0.0130,-0.09
Bv,33,0.0084,0.0135,-1.05
Bv,34,0.0105,0.0131,-0.50
Bv,35,0.0232,0.0131,1.91
Bv,36,0.0127,0.0138,-0.21
Bv,37,0.0127,0.0143,-0.29
Bv,38,0.0064,0.0140,-1.49
Bv,39,0.0127,0.0132,-0.09
Bv,40,0.0213,0.0130,1.57
Bv,41,0.0064,0.0139,-1.34
Bv,42,0.0171,0.0135,0.78
Bv,43,0.0107,0.0136,-0.55
Bv,44,0.0172,0.0132,0.76
Bv,45,0.0086,0.0130,-0.92
Bv,46,0.0108,0.0132,-0.46
Bv,47,0.0086,0.0128,-0.79
Bv,48,0.0152,0.0135,0.29
Bv,49,0.0087,0.0129,-0.84
Bv,50,0.0174,0.0133,0.73
Bv,51,0.0174,0.0130,0.93
Bv,52,0.0284,0.0132,2.92
Bv,53,0.0175,0.0135,0.76
Bv,54,0.0044,0.0136,-1.71
Bv,55,0.0176,0.0130,0.75
Bv,56,0.0242,0.0130,2.31
Bv,57,0.0177,0.0130,0.89
Bv,58,0.0111,0.0133,-0.40
Bv,59,0.0244,0.0133,2.00
Bv,60,0.0222,0.0135,1.62
Ca,1,0.1241,0.0240,13.71
Ca,2,0.0914,0.0235,9.00
Ca,3,0.0738,0.0236,6.69
Ca,4,0.0612,0.0247,4.33
Ca,5,0.0512,0.0242,3.84
Ca,6,0.0385,0.0242,1.77
Ca,7,0.0823,0.0252,7.58
Ca,8,0.0851,0.0241,8.47
Ca,9,0.0904,0.0234,8.51
Ca,10,0.0907,0.0244,8.54
Ca,11,0.1039,0.0237,9.94
Ca,12,0.0573,0.0233,5.23
Ca,13,0.0366,0.0243,1.61
Ca,14,0.0262,0.0246,0.21
Ca,15,0.0394,0.0227,2.27
Ca,16,0.0447,0.0240,2.93
Ca,17,0.0501,0.0234,3.67
Ca,18,0.0847,0.0239,8.17
Ca,19,0.0796,0.0246,6.97
Ca,20,0.0718,0.0238,6.73
Ca,21,0.0400,0.0247,2.07
Ca,22,0.0535,0.0234,4.05
Ca,23,0.0268,0.0246,0.28
Ca,24,0.0188,0.0246,-0.71
Ca,25,0.0135,0.0251,-1.63
Ca,26,0.0568,0.0236,4.45
Ca,27,0.0515,0.0243,3.35
Ca,28,0.0571,0.0238,4.55
Ca,29,0.1117,0.0239,11.99
Ca,30,0.0574,0.0234,4.60
Ca,31,0.0356,0.0240,1.62
Ca,32,0.0302,0.0252,0.68
Ca,33,0.0331,0.0244,1.09
Ca,34,0.0304,0.0236,0.91
Ca,35,0.0277,0.0245,0.40
Ca,36,0.0278,0.0233,0.54
Ca,37,0.0613,0.0248,4.72
Ca,38,0.0447,0.0240,2.68
Ca,39,0.0700,0.0246,5.33
Ca,40,0.0478,0.0240,2.85
Ca,41,0.0310,0.0242,0.81
Ca,42,0.0226,0.0245,-0.22
Ca,43,0.0198,0.0236,-0.49
Ca,44,0.0284,0.0254,0.40
Ca,45,0.0228,0.0242,-0.18
Ca,46,0.0486,0.0246,3.13
Ca,47,0.0487,0.0242,3.10
Ca,48,0.0603,0.0245,4.68
Ca,49,0.0548,0.0246,4.08
Ca,50,0.0289,0.0242,0.53
Ca,51,0.0319,0.0243,0.90
Ca,52,0.0320,0.0237,0.96
Ca,53,0.0262,0.0232,0.41
Ca,54,0.0292,0.0232,0.77
Ca,55,0.0323,0.0247,0.91
Ca,56,0.0265,0.0242,0.28
Ca,57,0.0383,0.0234,1.73
Ca,58,0.0355,0.0240,1.42
Ca,59,0.0326,0.0245,0.97
Ca,60,0.0298,0.0247,0.61
Cb,1,0.0691,0.0211,6.19
Cb,2,0.1080,0.0220,11.66
Cb,3,0.0583,0.0211,4.57
Cb,4,0.0529,0.0211,4.42
Cb,5,0.0726,0.0216,6.90
Cb,6,0.0588,0.0213,4.71
Cb,7,0.0534,0.0216,3.94
Cb,8,0.0592,0.0217,5.45
Cb,9,0.0480,0.0213,3.30
Cb,10,0.0453,0.0217,3.11
Cb,11,0.0568,0.0213,4.58
Cb,12,0.0370,0.0211,2.16
Cb,13,0.0371,0.0218,1.95
Cb,14,0.0401,0.0220,2.43
Cb,15,0.0489,0.0210,4.04
Cb,16,0.0288,0.0214,0.97
Cb,17,0.0289,0.0217,0.94
Cb,18,0.0667,0.0205,5.71
Cb,19,0.0262,0.0208,0.78
Cb,20,0.0379,0.0210,2.41
Cb,21,0.0234,0.0209,0.34
Cb,22,0.0469,0.0224,2.97
Cb,23,0.0324,0.0212,1.54
Cb,24,0.0383,0.0206,2.36
Cb,25,0.0473,0.0212,3.42
Cb,26,0.0237,0.0215,0.27
Cb,27,0.0417,0.0218,2.40
Cb,28,0.0388,0.0211,2.26
Cb,29,0.0120,0.0201,-1.19
Cb,30,0.0420,0.0209,2.79
Cb,31,0.0151,0.0222,-0.94
Cb,32,0.0272,0.0209,0.87
Cb,33,0.0333,0.0211,1.53
Cb,34,0.0274,0.0209,0.83
Cb,35,0.0213,0.0213,0.01
Cb,36,0.0336,0.0212,1.55
Cb,37,0.0337,0.0216,1.53
Cb,38,0.0277,0.0215,0.88
Cb,39,0.0309,0.0210,1.21
Cb,40,0.0279,0.0206,0.94
Cb,41,0.0342,0.0224,1.43
Cb,42,0.0156,0.0213,-0.75
Cb,43,0.0406,0.0212,2.56
Cb,44,0.0251,0.0211,0.50
Cb,45,0.0283,0.0217,0.82
